areacd,disability_3a-001,disability_3a-002
E00083053,15.1,84.9
E00083054,7.9,92.1
E00083056,15.8,84.2
E00083057,10.7,89.3
E00083058,10.3,89.7
E00083059,13,87
E00083060,12.4,87.6
E00083061,12.3,87.7
E00083062,10.2,89.8
E00083063,8.9,91.1
E00083065,12.9,87.1
E00083066,11.7,88.3
E00083067,13.8,86.2
E00083068,11.2,88.8
E00083069,9.4,90.6
E00083070,13.9,86.1
E00083071,19.5,80.5
E00083073,12.9,87.1
E00083074,15.1,84.9
E00083075,10.3,89.7
E00083076,10.8,89.2
E00083077,15,85
E00083078,12.8,87.2
E00083079,13.6,86.4
E00083080,15.6,84.4
E00083082,8.1,91.9
E00083083,20.9,79.1
E00083084,14.4,85.6
E00083085,15.1,84.9
E00083086,11.9,88.1
E00083087,10.4,89.6
E00083088,9.6,90.4
E00083089,14.7,85.3
E00083090,16.4,83.6
E00083091,12.1,87.9
E00083092,9.3,90.7
E00083093,16.4,83.6
E00083094,7.7,92.3
E00083095,21.1,78.9
E00083096,13.3,86.7
E00083097,20,80
E00083098,13.9,86.1
E00083099,13.1,86.9
E00083100,10.8,89.2
E00083101,15.7,84.3
E00083102,15.5,84.5
E00083103,16.4,83.6
E00083104,11.5,88.5
E00083105,13.9,86.1
E00083106,13.6,86.4
E00083108,8.6,91.4
E00083109,11.5,88.5
E00083110,14.8,85.2
E00083112,6.6,93.4
E00083113,8.3,91.7
E00083114,7.5,92.5
E00083115,8.8,91.2
E00083116,8.6,91.4
E00083117,6.1,93.9
E00083120,12.9,87.1
E00083121,9.4,90.6
E00083122,9.4,90.6
E00083123,26.4,73.6
E00083124,8.7,91.3
E00083125,9,91
E00083127,9.8,90.2
E00083129,18.9,81.1
E00083130,21.2,78.8
E00083132,15.2,84.8
E00083134,7.4,92.6
E00083154,10.8,89.2
E00083155,11.5,88.5
E00083156,12,88
E00083157,6.7,93.3
E00083158,14.9,85.1
E00083159,17,83
E00083160,17.9,82.1
E00083162,12,88
E00083163,15,85
E00083164,11.7,88.3
E00083165,7.8,92.2
E00083166,12.1,87.9
E00083167,13.8,86.2
E00083168,12,88
E00083169,15.2,84.8
E00083170,9.7,90.3
E00083171,13,87
E00083172,13.9,86.1
E00083173,9.6,90.4
E00083174,9.3,90.7
E00083175,14.4,85.6
E00083176,8.6,91.4
E00083177,10.3,89.7
E00083178,10.1,89.9
E00083179,9.9,90.1
E00083180,12,88
E00083181,13.2,86.8
E00083182,10.3,89.7
E00083183,11.9,88.1
E00083184,6.5,93.5
E00083185,11.4,88.6
E00083186,7.4,92.6
E00083187,15,85
E00083188,11,89
E00083192,7.9,92.1
E00083193,8.4,91.6
E00083194,10.4,89.6
E00083195,9.2,90.8
E00083196,8.7,91.3
E00083197,9.3,90.7
E00083198,25.6,74.4
E00083199,10.6,89.4
E00083200,10,90
E00083202,14.8,85.2
E00083203,13.1,86.9
E00083204,12.6,87.4
E00083205,13.8,86.2
E00083207,6.4,93.6
E00083232,8.1,91.9
E00083233,9.6,90.4
E00083234,9.7,90.3
E00083235,9.4,90.6
E00083236,13.7,86.3
E00083237,9.8,90.2
E00083238,9.5,90.5
E00083239,7.6,92.4
E00083240,12.5,87.5
E00083241,9.4,90.6
E00083242,17.8,82.2
E00083243,14.1,85.9
E00083244,5.4,94.6
E00083245,9.7,90.3
E00083246,16,84
E00083247,6.4,93.6
E00083248,10,90
E00083249,11.6,88.4
E00083250,9.7,90.3
E00083251,9.2,90.8
E00083252,10.7,89.3
E00083253,15.4,84.6
E00083254,10.1,89.9
E00083255,10,90
E00083256,12.8,87.2
E00083257,10.1,89.9
E00083280,11,89
E00083281,15.5,84.5
E00083282,22,78
E00083283,8.4,91.6
E00083284,10.3,89.7
E00083285,15.5,84.5
E00083286,13.9,86.1
E00083287,7.3,92.7
E00083288,13.1,86.9
E00083289,13.7,86.3
E00083290,15.5,84.5
E00083291,10.2,89.8
E00083292,12.4,87.6
E00083293,12.2,87.8
E00083294,15.1,84.9
E00083295,17.5,82.5
E00083296,13.2,86.8
E00083297,11,89
E00083298,14.7,85.3
E00083299,12.8,87.2
E00083300,14.4,85.6
E00083301,13,87
E00083302,8.8,91.2
E00083303,7.9,92.1
E00083304,11.4,88.6
E00083305,14.6,85.4
E00083306,9.9,90.1
E00083307,19.6,80.4
E00083308,11.8,88.2
E00083309,14.2,85.8
E00083310,6,94
E00083311,15.1,84.9
E00083348,12.8,87.2
E00083387,10.6,89.4
E00083388,11.6,88.4
E00083389,7.7,92.3
E00083390,10.9,89.1
E00083391,8.2,91.8
E00083392,6.6,93.4
E00083393,9.4,90.6
E00083394,17.1,82.9
E00083395,14.4,85.6
E00083396,9.1,90.9
E00083397,8.8,91.2
E00083398,12.3,87.7
E00083399,13.9,86.1
E00083400,12.4,87.6
E00083401,10.4,89.6
E00083402,13.9,86.1
E00083403,13.3,86.7
E00083404,12.5,87.5
E00083406,10.8,89.2
E00083407,11.2,88.8
E00083408,9.4,90.6
E00083409,10.6,89.4
E00083410,8.5,91.5
E00083411,15.3,84.7
E00083412,9,91
E00083413,20.6,79.4
E00083722,12.3,87.7
E00083723,11.9,88.1
E00083731,12,88
E00083732,14.2,85.8
E00089568,11.2,88.8
E00089569,11.5,88.5
E00089570,15.9,84.1
E00089571,9.7,90.3
E00089572,8.7,91.3
E00089573,8.7,91.3
E00089582,19.1,80.9
E00089583,20.6,79.4
E00089584,9.6,90.4
E00089585,11.4,88.6
E00089586,12.3,87.7
E00089587,8.1,91.9
E00089588,10.5,89.5
E00089590,9.3,90.7
E00089591,10.8,89.2
E00089592,14,86
E00089593,8,92
E00089594,28.4,71.6
E00089596,15.1,84.9
E00089598,11.5,88.5
E00089599,17.3,82.7
E00089600,13,87
E00089601,9.6,90.4
E00089605,7.2,92.8
E00089608,8,92
E00089618,9.9,90.1
E00089650,10.1,89.9
E00089651,14.1,85.9
E00089652,16.1,83.9
E00089653,22.6,77.4
