geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00130843,16.7,22.7,44.9,15.7
E00130844,27.1,34.1,25.3,13.5
E00130846,12.6,26.9,49.6,10.9
E00130875,20,29.5,40,10.5
E00130876,39.7,19.9,28.8,11.6
E00130879,35.2,23.9,25.6,15.3
E00130880,26.2,30,29.5,14.3
E00130881,36.4,27.9,18.2,17.5
E00130882,31.2,27.6,26.1,15.1
E00130893,44.1,22,18.6,15.3
E00130900,14.9,24.4,43.5,17.3
E00130901,39.3,27.7,24.3,8.7
E00130902,21.6,21.6,46.8,9.9
E00130903,27.3,22.7,40.7,9.3
E00130904,22.8,23.3,39.1,14.9
E00130905,24.4,26,39.4,10.2
E00130906,18.8,26.7,47,7.4
E00130908,25.5,24,40.6,9.9
E00130909,25.6,19.7,41.6,13
E00130910,30.2,20.8,41.5,7.5
E00130911,17.3,22.3,50.5,10
E00130912,37,21.7,27.7,13.6
E00130913,25,23.6,34.3,17.1
E00130914,23.1,25.9,35.7,15.4
E00130915,19.9,24.9,48.8,6.5
E00130916,27.9,24.4,33.7,14
E00130918,14.4,31.4,47.9,6.4
E00130919,34.8,26.1,33.9,5.2
E00130921,30.9,24.4,28.5,16.3
E00130922,24,25.1,41.3,9.5
E00130923,26,22.1,40.4,11.5
E00130924,24.2,31.9,28.6,15.4
E00130925,27.2,28.6,35.7,8.5
E00130926,37.6,21.2,28.5,12.7
E00130927,38.3,23.4,26.3,12
E00130928,24.2,24.2,40.1,11.5
E00130929,25.8,29.4,33.6,11.1
E00130930,28.4,25.2,37.4,9
E00130931,33.8,23.6,30.4,12.2
E00130932,36,29.3,13.3,21.3
E00130933,37.1,26.8,16.5,19.6
E00130934,40.2,17.8,22.4,19.5
E00130935,37.3,20.6,29.4,12.7
E00130937,36.8,26.3,26.3,10.5
E00130938,23.8,28.8,35,12.5
E00130939,36.1,21,24.4,18.5
E00130941,44.6,18.8,20.4,16.1
E00130942,36.3,25.8,25.8,12.1
E00137088,51.4,13,22.6,13
E00137089,50.4,14.4,23,12.2
E00137090,34.3,26,26,13.6
E00137091,51.5,14,18.7,15.8
E00137092,39.1,18.9,29,13
E00137093,36.7,19.9,27.6,15.8
E00137094,31.8,20.8,37.5,9.9
E00137096,44.7,14.1,23.5,17.6
E00137097,40.6,20.3,23.3,15.8
E00137098,51.5,20.6,16.4,11.5
E00137099,52.8,13.6,24,9.6
E00137100,44.4,26.6,12.4,16.6
E00137101,49,21.4,20.7,9
E00137102,44.9,22,16.5,16.5
E00137103,50,16.9,16.2,16.9
E00137104,61.4,14.9,13.2,10.5
E00137105,56.6,16.4,9.4,17.6
E00137106,45.1,18.8,20.3,15.8
E00137126,56.8,21.4,10.4,11.5
E00137127,58.5,18.7,12.2,10.6
E00137128,68.2,15.6,8.9,7.3
E00137138,40,21.7,24.4,13.9
E00137139,51.9,18,21.2,9
E00137140,52.5,16.3,18.8,12.4
E00137142,62.2,14.6,11,12.2
E00137143,53.7,18.5,15.7,12
E00137144,53.3,16.7,16.7,13.3
E00137145,49.5,20,14,16.5
E00137146,53.9,15.5,14,16.6
E00137149,54.4,18.7,13.5,13.5
E00137150,54,17.3,13.7,15.1
E00137151,59.5,18.3,6.1,16
E00137152,59.2,15.5,11.2,14.1
E00137153,64,15.1,11.5,9.4
E00137155,36.3,26.4,28.6,8.8
E00137156,38,21.3,24.1,16.7
E00137157,72.5,13.8,4.8,9
E00137158,58.6,15.1,7.9,18.4
E00137159,61.7,15.6,5.4,17.4
E00137160,55.4,18,15.1,11.5
E00137161,66,15.6,8.5,9.9
E00137162,59.4,15.8,10.9,13.9
E00137163,58,21,9.1,11.9
E00137238,53.4,19.8,16,10.7
E00137302,38.2,11.5,42,8.3
E00137303,41.4,11.2,34.3,13
E00137304,38.8,17.6,31.2,12.4
E00137305,27.9,9.7,52.1,10.3
E00137306,15.5,24.5,46.4,13.6
E00137307,17.6,29.4,40.6,12.4
E00137308,29.2,15,44.2,11.5
E00137309,26.4,17.6,47.2,8.8
E00137310,28.8,12.4,45.1,13.7
E00137318,22.8,32.1,31.5,13.6
E00137319,30,24.2,30.7,15.2
E00137320,25.9,19,44.4,10.7
E00137321,21,37.1,30.8,11.2
E00137322,20.9,25.8,42.2,11.1
E00137323,22.6,28.8,35.6,13
E00137324,17.1,23.7,49.3,9.9
E00137325,21.7,30.4,38.3,9.6
E00137326,27.9,33.6,21.4,17.1
E00137327,25.2,28.8,32.5,13.5
E00137328,24.1,26.7,36.9,12.3
E00137329,34.8,30.5,21.3,13.4
E00137330,27.4,23.4,29.9,19.4
E00137332,30.1,24.1,35.5,10.2
E00137333,8.4,34.3,46.9,10.5
E00137334,12.8,38.5,39.1,9.5
E00137335,8.5,29.8,45.4,16.3
E00137342,11.8,26.1,50.4,11.8
E00137343,15.3,34,35.3,15.3
E00137344,10.3,22.6,59.4,7.7
E00137345,13.3,26.5,49.7,10.5
E00137346,19.2,30.8,41.3,8.7
E00137347,9.7,38.7,41.6,10.1
E00137348,8.5,41.8,37.3,12.4
E00137411,33.6,17.6,35.2,13.6
E00137412,34,12,35.7,18.3
E00137413,35.3,19.7,28,17
E00137414,39.4,13.9,36.1,10.6
E00137416,35.4,15.4,34.1,15.1
E00137418,28.6,18.6,40,12.9
E00137419,38.7,16.6,33.1,11.6
E00137420,39.1,15.9,33.3,11.6
E00137421,44,14.7,29.3,12.1
E00137422,25.4,28.4,32.8,13.4
E00137423,25.9,15.6,46.5,11.9
E00137424,31.1,14.1,41.8,13
E00137425,19.4,18.4,50,12.2
E00137426,15.5,20.4,54.9,9.2
E00137427,21.7,33.6,34.3,10.5
E00137428,7.7,30.9,47.5,13.8
E00137429,13.6,27.2,50.3,8.9
E00137430,8.7,34,44,13.3
E00137431,5.3,34.2,53.9,6.6
E00137432,11.8,30.4,49,8.8
E00137433,11,36.8,38.1,14.2
E00137434,26.6,30.8,22.4,20.3
E00137435,14.7,29.7,44,11.7
E00137436,20.2,32.6,38.2,9
E00137437,19.4,30.1,38.7,11.8
E00137438,14.2,25.8,48.3,11.7
E00137439,26,18.6,40.1,15.3
E00137440,17,27.8,45.3,9.9
E00137441,20.3,32.9,31.6,15.2
E00137442,15.3,27.1,45.1,12.5
E00137443,21,21.5,44.8,12.7
E00137455,12.3,28.6,44.2,14.9
E00137456,5.4,35.9,42.4,16.3
E00137457,8,31.5,51.7,8.8
