areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00000029,79.7,17.9,1.6,0.8
E00000030,82,17.3,0.7,0
E00000031,83.3,15.4,1.3,0
E00000032,70.5,24.5,3.6,1.4
E00008742,65.5,32.1,1.8,0.6
E00008743,68.2,31.8,0,0
E00008744,63.6,34.6,0,1.9
E00008745,75.2,23.3,1,0.5
E00008746,66.2,30.1,3.7,0
E00008747,70.7,29.3,0,0
E00008748,58.3,37,3.1,1.6
E00008828,77.1,20,2.9,0
E00008829,70.3,27.7,2,0
E00008833,77.1,20.5,2.4,0
E00008834,85.9,11.9,1.1,1.1
E00008840,68.5,26.2,4.8,0.6
E00008841,66.4,26.4,5.7,1.4
E00008842,68.5,26.4,5.1,0
E00008844,69.2,24.8,5.3,0.8
E00008846,69.3,28.2,1.5,1
E00008847,61.3,33.3,4.5,0.9
E00008848,61,29.3,6.5,3.3
E00008849,66.4,29,4.7,0
E00008850,64.1,33.1,2.8,0
E00008851,67.8,27,4.3,0.9
E00008852,74.9,22.9,2.3,0
E00008853,78.8,19.2,1,1
E00008854,64.4,33.3,0.8,1.5
E00008856,67,27.8,5.2,0
E00008857,74.9,21.9,2.7,0.5
E00008858,73.2,22,4.7,0
E00008859,72.9,23.3,3.1,0.8
E00008860,78.3,18,3.7,0
E00008861,73.4,23.7,2.9,0
E00008864,82.5,17.5,0,0
E00008865,73.9,21,4.2,0.8
E00008867,78.1,19.4,1.9,0.6
E00008868,82.5,16.5,1,0
E00008869,62,37,0.9,0
E00008870,69.5,26,3.8,0.8
E00008872,80.3,15.8,3.3,0.7
E00008874,85.6,11.5,2.4,0.5
E00008878,68.6,28.5,2.9,0
E00008880,72.9,22.6,4.5,0
E00008881,76.5,23.5,0,0
E00008882,67.7,28,3.7,0.6
E00008883,71.8,22.8,4.7,0.7
E00008884,79.8,17.8,2.3,0
E00008887,76.1,21.4,2.6,0
E00008893,70.1,24.7,4.1,1
E00008894,63.7,29.2,5.3,1.8
E00008895,73.4,20.2,5.6,0.8
E00008897,73.2,22.5,4.3,0
E00008898,74,20.5,5.5,0
E00008899,72,22.9,5.1,0
E00008900,80.5,18.3,0.8,0.4
E00008901,73.9,21.6,4.5,0
E00008902,80.4,18.7,0,0.9
E00009176,52.4,43.5,3.2,0.8
E00009177,41.7,50,7.5,0.8
E00009178,61.9,32.2,5.1,0.8
E00021141,61.2,25.9,9.5,3.4
E00021143,66.4,29.2,4.4,0
E00021145,60.2,29.6,8.2,2
E00021146,65.9,29.3,2.4,2.4
E00021147,52.6,38.2,7.9,1.3
E00021148,66.7,26.9,6.5,0
E00021149,69,31,0,0
E00021150,70.1,23.4,6.5,0
E00021151,69.7,23.7,3.3,3.3
E00021152,67.5,23.6,8.3,0.6
E00021153,66.7,28.3,4.3,0.7
E00021154,69.3,25.8,4.3,0.6
E00021155,72.8,27.2,0,0
E00021156,81.4,17.9,0.7,0
E00021157,55.8,35.6,5.8,2.9
E00021158,58.4,31.7,6.9,3
E00021159,66,28.7,5.3,0
E00021160,59.4,37.7,2.8,0
E00021161,64.2,29.7,5.4,0.7
E00021162,66.7,28.3,2,3
E00021163,68.3,26.1,4.3,1.2
E00021164,67.1,26,6.8,0
E00021165,68.3,26.8,4.2,0.7
E00021166,66.1,23.7,8.5,1.7
E00021167,65.4,28.6,6,0
E00021168,80.1,17.6,2.3,0
E00021169,62.7,33.9,2.8,0.6
E00021170,66.7,26.1,6.5,0.7
E00021172,58.8,37,3.4,0.8
E00021173,64.6,30.3,4.6,0.6
E00021174,80.8,18.3,0.8,0
E00021175,68.2,28.2,2.4,1.2
E00021176,62.7,30.3,5.6,1.4
E00021177,56.1,35.6,8.3,0
E00021179,68.7,27.5,3.1,0.8
E00021180,75.2,22.4,2.4,0
E00021181,81,17.1,1,1
E00021182,76.7,20,3.3,0
E00021183,76.1,21.8,1.4,0.7
E00021184,77.3,22.7,0,0
E00021185,52.7,39.5,7,0.8
E00021186,70.6,24.1,4.7,0.6
E00021187,58.7,37,3.3,1.1
E00021188,66.7,28.6,3.8,1
E00021189,56.4,35.9,6.8,0.9
E00021190,75.6,20.4,3.6,0.4
E00021191,84.1,15.9,0,0
E00021192,58.7,34.9,6.4,0
E00021193,80.6,14.8,4.5,0
E00021194,60,37.1,2.9,0
E00021195,48.6,42.2,6.4,2.8
E00021196,53.7,42.6,3.7,0
E00021198,62.9,29.9,3.1,4.1
E00021199,67,25.5,7.5,0
E00021200,72.6,24.8,2.6,0
E00021201,73.5,25.7,0.9,0
E00021202,64.9,32,3.1,0
E00021203,73.8,23.5,2,0.7
E00021204,61.6,31.4,5.2,1.7
E00021205,66.7,28.8,4.5,0
E00021206,71.2,28.8,0,0
E00021207,80.9,17,0.7,1.4
E00021208,67.9,27.4,4.7,0
E00021209,50.7,42.7,6.7,0
E00021210,54.4,32.9,8.9,3.8
E00021211,69.9,25.9,3.5,0.7
E00021212,51.4,40.5,2.7,5.4
E00021213,63.8,28.5,7.7,0
E00021214,67.3,29.8,1.8,1.2
E00021215,72.1,23.6,3.6,0.6
E00021216,77.9,18.1,2,2
E00021441,50.4,42.3,7.3,0
E00021442,36.7,50.8,11.7,0.8
E00021443,53.1,39.6,7.3,0
E00021448,54.9,36.1,7.5,1.5
E00021449,60.9,29.7,9.4,0
E00021450,51.5,41.2,7.4,0
E00021451,58.5,35.6,5.9,0
E00021452,77.7,21.4,1,0
E00021453,55.6,40.3,4,0
E00021454,57.5,34.9,5.7,1.9
E00021455,67.9,27,5.1,0
E00021458,78.2,18.4,2,1.4
E00021459,66.9,30.6,2.4,0
E00021460,71,25.9,3.1,0
E00021461,70.8,28.3,0,0.9
E00021462,73.2,20.3,5.7,0.8
E00021463,58.2,33.6,7.4,0.8
E00021464,69.4,25.6,4.1,0.8
E00021465,50,43.5,5.6,0.8
E00021468,73.9,21.7,3.5,0.9
E00021469,69.7,24.8,4.1,1.4
E00021470,58.8,34.3,5.9,1
E00021471,60.5,34.7,4,0.8
E00021475,67.3,29.8,3,0
E00021561,81.3,17.1,1.6,0
E00021562,61.6,29,7.2,2.2
E00021564,58.7,33.1,8.3,0
E00021566,61.2,29.5,7,2.3
E00021567,61.2,36.8,2,0
