areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00018337,51.6,26.5,10,7.3,4.5
E00018340,63.3,29.4,3.9,3.4,0
E00018341,47,30.5,10.7,6.2,5.5
E00018344,58.4,27.6,3.8,5.7,4.6
E00018345,59.1,31.8,4,1.3,3.8
E00018347,47.5,23.7,18.9,5.8,4
E00018349,56.6,31.3,4.5,5.3,2.4
E00018355,49.5,27.1,10,7.9,5.4
E00018356,48.2,30.4,9.6,7.3,4.4
E00018357,58.1,22.1,11.1,5.8,2.9
E00018359,58,31.9,5.7,3,1.4
E00018361,52.4,32.7,10.1,3.4,1.4
E00018362,53.6,26.4,6.5,7.8,5.7
E00018363,48.8,32.6,9.1,7.3,2.2
E00018365,48.5,32,8.6,6.9,4.1
E00018366,47.9,37.7,9.1,3.3,2
E00018367,52.6,29.8,8.4,5.9,3.3
E00018368,54,29,7.8,6.9,2.3
E00018370,47.3,36,6.8,4.8,5.3
E00018371,50,30.5,6.8,5.9,6.8
E00018372,49.2,37.9,7.4,2.5,3
E00018373,56.1,27.2,5.8,5.8,5
E00018374,56.3,36,3.2,4.1,0.5
E00018375,61.4,28.5,4.8,2.5,2.7
E00018376,56.4,31.5,8.8,2.2,1.1
E00018377,46.1,36.9,8.6,3.3,5.1
E00018378,65.6,27.6,1.8,3.2,1.8
E00018379,60,33.6,3,1.9,1.5
E00018380,51.8,31.7,8.4,4.8,3.4
E00018381,41.7,25.1,9.2,13,11.1
E00018382,46.5,37,5.1,8,3.4
E00018383,38.9,33.7,11.2,11.8,4.4
E00018384,37.5,39.2,10.2,5.5,7.6
E00018385,49.9,36.1,5.3,3.8,5
E00018386,49.5,36.1,6.6,5.2,2.5
E00018387,48.2,33.7,8.5,6.2,3.3
E00018389,42.6,33.3,10.3,8.7,5
E00018390,54.2,34.5,4.2,5.3,1.9
E00018392,70.6,20.3,3.2,4.1,1.9
E00018393,51,30.7,14.2,2.5,1.5
E00018394,59.9,32.3,4.5,1.5,1.7
E00018395,57.7,24.5,8.7,3.2,5.8
E00018396,71.1,23.4,3.6,0.2,1.7
E00018397,61.1,29.3,2.8,4.2,2.5
E00018398,56.2,37.9,5.2,0.5,0.3
E00018399,62.3,24,5.6,2.2,5.9
E00018400,56,36.5,2.5,1.4,3.6
E00018401,40.6,29.3,11,14.8,4.3
E00018402,53.9,31.3,5.8,6,3.1
E00018403,56.6,26.7,7,6.2,3.5
E00018404,57.8,36.7,2,2.5,0.9
E00018405,66.6,17.9,10.1,3.3,2.1
E00018406,72.1,19.1,4.1,3.8,0.8
E00018407,79.8,15.8,2.8,1.3,0.5
E00018408,63.7,28.3,5,2.2,0.8
E00018409,63.2,22.6,4.7,6.3,3.1
E00018410,77.8,14.8,2.8,2.1,2.5
E00018411,69.8,16.2,6.7,5.1,2.2
E00018412,64.6,21.6,7.8,3.1,2.9
E00018413,83.8,13.6,0.9,1.4,0.3
E00018414,76.9,12.8,4.7,4.7,1
E00018415,79.2,15.6,3.6,1.1,0.5
E00018416,72.1,19.2,3.5,3.5,1.7
E00018417,80.1,13.2,2.7,2.7,1.3
E00018418,84.2,13.7,2.2,0,0
E00018419,77.9,17.6,2.4,0.6,1.5
E00018420,79.9,12.5,5.4,1.1,1.1
E00018421,67.5,17,4.8,4.4,6.3
E00018422,80.2,12,2.3,2.7,2.7
E00018423,65.5,19.8,8.9,2.7,3.1
E00018424,58.5,20.9,10.3,3.5,6.8
E00018425,71.6,21.5,5.4,1.1,0.3
E00018426,68.9,24.4,2.6,3.4,0.8
E00018427,55,24.8,8.8,7.3,4.2
E00018428,76.4,18.2,4.4,1,0
E00018429,61.3,28.2,6.3,2.8,1.4
E00018430,62.2,23.2,6.3,3.9,4.5
E00018431,68.1,17.8,4.2,6.3,3.6
E00018432,61.9,25,5.8,2.5,4.7
E00018433,64.5,24.8,3.8,5.4,1.5
E00018434,72.8,17.4,5.5,3.5,0.9
E00018435,67,20.4,9.3,2.7,0.6
E00018436,75.6,19.8,2.1,0,2.5
E00018437,71.8,18.9,3.1,2.7,3.4
E00018438,68.3,22.1,4.6,3,2
E00018439,75.7,18.5,3.4,1.8,0.6
E00018440,62.8,23.2,6.7,5,2.3
E00018441,67.7,20.7,3.4,3.7,4.6
E00018477,75,15.1,3.8,4,2.1
E00018478,68,22.8,4.7,3.4,1
E00018480,71.9,18.3,6.4,2.1,1.2
E00018481,68.7,19.5,5.7,3.7,2.4
E00018482,71.4,18.2,3.5,6.6,0.3
E00018483,66.1,17.7,8.8,5.3,2.1
E00018484,57.4,25.4,7.8,7.4,2
E00018485,82.8,16.3,0.6,0,0.3
E00018486,81.1,14.3,1.9,1.6,1.2
E00018488,75.3,13.2,6.3,2.4,2.8
E00018489,81.5,16.4,0.9,0.3,0.9
E00018490,76.6,18.4,3.1,0.4,1.5
E00018491,73.2,16.4,6.8,2.3,1.4
E00018492,75.1,20.1,2.4,1.2,1.2
E00018494,65.6,23.2,3.9,3.1,4.2
