geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
W00008256,53.7,46.3
W00008257,72.1,27.9
W00008258,54.2,45.8
W00008260,33.3,66.7
W00008261,36.8,63.2
W00008262,18.7,81.3
W00008263,45.2,54.8
W00008264,45.4,54.6
W00008265,29.3,70.7
W00008266,8.3,91.7
W00008278,58.3,41.7
W00008279,63,37
W00008280,68,32
W00008281,67.5,32.5
W00008282,59.9,40.1
W00008283,64.2,35.8
W00008288,38.3,61.7
W00008289,30.5,69.5
W00008290,37.6,62.4
W00008291,55.4,44.6
W00008292,45.3,54.7
W00008293,46.5,53.5
W00008294,48.1,51.9
W00008295,26.7,73.3
W00008296,41.1,58.9
W00008297,37.2,62.8
W00008298,34.8,65.2
W00008299,56.7,43.3
W00008300,62.1,37.9
W00008301,70,30
W00008302,49.8,50.2
W00008303,68.4,31.6
W00008304,62.7,37.3
W00008305,63.8,36.2
W00008306,60.9,39.1
W00008320,57.4,42.6
W00008321,51.6,48.4
W00008322,50.8,49.2
W00008323,45.2,54.8
W00008324,43.9,56.1
W00008325,61.8,38.2
W00008326,35.8,64.2
W00008327,50.8,49.2
W00009803,46.8,53.2
W00009804,56.5,43.5
W00009805,39.2,60.8
W00009807,59.2,40.8
W00009808,55.3,44.7
W00009810,67.1,32.9
W00009811,51.8,48.2
W00009813,54,46
W00009815,48.8,51.2
W00009816,67.4,32.6
W00010328,48.3,51.7
W00010337,58.9,41.1
W00010348,43.4,56.6
W00010353,68,32
