geography_code,disability_3a-001,disability_3a-002
E00053355,12.1,87.9
E00053390,14.3,85.7
E00053394,16.7,83.3
E00053395,11.3,88.7
E00053396,16,84
E00053905,14.8,85.2
E00054305,10,90
E00054306,12.4,87.6
E00054307,11.9,88.1
E00054309,13,87
E00054310,17.8,82.2
E00054311,16.1,83.9
E00054312,11.1,88.9
E00054313,13.9,86.1
E00054315,17.7,82.3
E00054317,14.5,85.5
E00054318,13.7,86.3
E00054319,10.3,89.7
E00054320,10.2,89.8
E00054321,15.6,84.4
E00054322,13.2,86.8
E00054323,15.4,84.6
E00054324,9.3,90.7
E00054325,10.2,89.8
E00054326,15.7,84.3
E00054327,14.2,85.8
E00054328,14.5,85.5
E00054329,26.5,73.5
E00054331,18.3,81.7
E00054332,15.5,84.5
E00054333,11.1,88.9
E00054334,22.9,77.1
E00054335,18.9,81.1
E00054336,16.2,83.8
E00054337,15.2,84.8
E00054338,8.7,91.3
E00054339,10.3,89.7
E00054340,11.9,88.1
E00054341,11.4,88.6
E00054342,17.1,82.9
E00056750,14.4,85.6
E00056751,10.9,89.1
E00056752,9.8,90.2
E00056753,32.9,67.1
E00056754,14.5,85.5
E00056755,18.8,81.2
E00056756,16.9,83.1
E00056757,10.6,89.4
E00056758,10.4,89.6
E00056759,12.4,87.6
E00056760,13.3,86.7
E00056761,14,86
E00056762,15.3,84.7
E00056763,15.3,84.7
E00056764,11.3,88.7
E00056765,10.9,89.1
E00056766,13.5,86.5
E00056767,21.3,78.7
E00056768,14.2,85.8
E00056769,22.3,77.7
E00056770,17.5,82.5
E00056771,18.9,81.1
E00056772,11,89
E00056773,13.8,86.2
E00056775,13.3,86.7
E00056776,23.5,76.5
E00056777,16.2,83.8
E00056778,15.2,84.8
E00056779,13,87
E00056780,14.7,85.3
E00056781,16.9,83.1
E00056782,18.3,81.7
E00056783,14,86
E00056784,14.5,85.5
E00056787,19.4,80.6
E00056788,19.8,80.2
E00056789,25.7,74.3
E00056790,21.1,78.9
E00056792,16.2,83.8
E00056793,9.8,90.2
E00056794,13.4,86.6
E00056795,27.9,72.1
E00056796,24.6,75.4
E00056797,15.3,84.7
E00056798,13.9,86.1
E00056799,27.3,72.7
E00056800,38.8,61.2
E00056801,14.4,85.6
E00056802,11.3,88.7
E00056803,17.7,82.3
E00056804,7.9,92.1
E00056805,28.5,71.5
E00056806,31.7,68.3
E00056807,14.4,85.6
E00056808,14.4,85.6
E00056809,23.2,76.8
E00056810,9.5,90.5
E00056811,8.8,91.2
E00056812,25.7,74.3
E00056813,7.4,92.6
E00056814,21.8,78.2
E00056815,7.2,92.8
E00056816,33.1,66.9
E00056817,13.2,86.8
E00056818,11.7,88.3
E00056819,32.4,67.6
E00056820,22.8,77.2
E00056821,10,90
E00056822,9.9,90.1
E00056823,20.8,79.2
E00056825,23.5,76.5
E00056827,21.4,78.6
E00056828,13.7,86.3
E00056829,15.8,84.2
E00056830,21,79
E00056831,16.2,83.8
E00056832,11.9,88.1
E00056833,11.9,88.1
E00056834,11.5,88.5
E00056835,14.4,85.6
E00056836,11.8,88.2
E00056837,17.3,82.7
E00057334,12.3,87.7
E00057335,19.1,80.9
E00057336,14.6,85.4
E00057337,13.4,86.6
E00057338,26.1,73.9
E00057339,17,83
E00057342,12.5,87.5
E00057343,14.4,85.6
E00057349,12.2,87.8
E00057350,17.9,82.1
E00057351,25.5,74.5
E00057352,12.3,87.7
E00057353,9.6,90.4
E00057354,12.4,87.6
E00057355,11.7,88.3
E00057356,27.8,72.2
E00057357,27.6,72.4
E00057358,13.7,86.3
E00057359,13.3,86.7
E00057361,12.2,87.8
E00057362,13.3,86.7
E00057363,39.9,60.1
E00057364,37.7,62.3
E00057365,15.3,84.7
E00057366,27.6,72.4
E00057367,15.4,84.6
E00057368,25,75
E00057369,29.6,70.4
E00057370,22.5,77.5
E00057372,17.7,82.3
E00057374,19.4,80.6
E00057375,18.8,81.2
E00057376,16.6,83.4
E00057378,10.9,89.1
E00057379,11.3,88.7
E00057380,11.3,88.7
E00057384,16.4,83.6
E00057713,12.6,87.4
E00058304,21.7,78.3
E00058305,23.1,76.9
E00058306,16.9,83.1
E00058307,16.7,83.3
E00058309,19,81
E00058310,16.6,83.4
E00058311,13.9,86.1
E00058312,9.5,90.5
E00058313,13.7,86.3
