areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
W00002284,95.9,3.3,0.3,0,0.5
W00002285,95.8,4.2,0,0,0
W00002286,98,2,0,0,0
W00002287,93.9,3,0.9,1.2,0.9
W00002478,91.8,7.8,0.4,0,0
W00002479,100,0,0,0,0
W00002480,96.3,3.3,0.4,0,0
W00002481,94.5,0.7,0.7,2.6,1.5
W00002482,99.7,0.3,0,0,0
W00002483,96.3,2.6,0.7,0.4,0
W00002484,96.8,2.5,0.6,0,0
W00002485,92,5.2,0,1.1,1.7
W00002486,94.9,3.2,0.9,0.5,0.5
W00002487,89.9,3.9,0,5.7,0.4
W00002488,84.4,4.1,3,6.3,2.2
W00002505,97,2.6,0.4,0,0
W00002506,94.3,5.3,0.4,0,0
W00002507,92.7,6.3,0.3,0.6,0
W00002508,98.7,1.3,0,0,0
W00002509,92.2,5.3,0.8,1.2,0.4
W00002510,96.8,2,0.8,0.4,0
W00002511,96.8,2.8,0,0.5,0
W00002598,98.4,1.2,0,0,0.4
W00002736,84,6.8,2.6,2.9,3.7
W00002737,82.2,5.1,1.1,9.1,2.5
W00002738,74.3,6.5,2.7,8,8.4
W00002739,66.2,8.7,4,10.5,10.5
W00002740,73.1,10.3,1.1,8.9,6.6
W00002741,76.3,8.3,2.1,6.6,6.6
W00002742,59.2,6.1,6.1,10.8,17.8
W00002743,79.8,5.1,0.3,7.7,7.1
W00002744,84,4.3,1.9,2.3,7.4
W00002745,78.4,10.3,1,7.2,3.1
W00002746,73.7,5.4,4.6,12,4.2
W00002747,87,5.1,1.4,2.3,4.2
W00002748,79.6,5.2,4,5.5,5.8
W00002751,76.8,5.4,2.7,5.8,9.4
W00002752,80.5,6,1.8,4.5,7.2
W00002753,95.5,3.9,0.3,0.3,0
W00002754,95.4,3.5,0.8,0.4,0
W00002755,95.4,3.7,0.6,0,0.3
W00002756,92.1,3.9,1.5,1.2,1.2
W00002757,92.5,4.7,2.3,0.5,0
W00002758,88.5,8.2,1.6,1.2,0.4
W00002759,94.2,2.5,1.8,0.7,0.7
W00002760,87.6,2.3,6.8,1.1,2.3
W00002761,92.7,3.5,2.8,0,1
W00002762,95.7,4,0.3,0,0
W00002763,79.3,5.4,2.9,4.3,8.2
W00002764,80.9,8.5,2.1,3.4,5.1
W00002765,79.4,4.7,0.9,7.3,7.7
W00002766,77.9,7.1,3.2,5.3,6.4
W00002767,83.9,6.2,4.3,0,5.7
W00002768,91.3,4,0,0,4.8
W00002769,86.9,8.3,2.8,1.4,0.7
W00002770,90.3,7.2,0.7,1,0.7
W00002771,74.4,7,5.1,7.5,5.9
W00002781,93.4,5.9,0,0.7,0
W00002782,97.2,2.4,0.4,0,0
W00002784,97.2,2.5,0.3,0,0
W00002785,98,1.4,0,0,0.6
W00002791,95.2,4.5,0,0.3,0
W00002797,96.2,2.9,0.6,0.3,0
W00002798,96.9,3.1,0,0,0
W00002799,97.2,1.2,1.2,0,0.4
W00002805,80.4,11.8,3.9,3.5,0.4
W00002806,88.3,9.6,0.9,1.2,0
W00002807,86.8,10.2,1.5,0.8,0.8
W00002808,90.4,6.7,2.4,0.5,0
W00002809,96.7,2.5,0.4,0,0.4
W00002811,90.7,4.2,0,1.5,3.5
W00002812,84.1,5.9,3.8,0.3,5.9
W00002813,83,14.5,2,0.5,0
W00002814,87.5,8.4,2.6,0.3,1.3
W00002815,88.1,7.8,3.1,1,0
W00002816,84.9,1.7,2.7,6.2,4.5
W00002818,76.5,7.7,4.4,5.5,6
W00002819,89.4,6.5,1.4,2.8,0
W00002825,92.2,6.1,0.8,0.4,0.4
W00002826,90,3.5,0.6,0,5.9
W00002827,87.2,9.4,1.3,0.4,1.7
W00002828,85.1,10.8,0,2.9,1.3
W00002829,90.2,4.9,1.6,2.2,1.1
W00002831,77.5,2.8,1,2.3,16.4
W00002851,94.3,5.5,0.2,0,0
W00002852,94.2,4.4,0.3,0.3,0.7
W00002853,94.6,5,0,0.4,0
W00002854,94.6,1.2,1.6,2.7,0
W00002855,93.4,2.8,0,1.4,2.4
W00002856,96.7,2.2,0.6,0,0.6
W00002857,96.8,3.2,0,0,0
W00002858,97.2,2.8,0,0,0
W00002859,97.3,2.2,0.5,0,0
W00002860,98.1,0.8,0.8,0,0.4
W00002861,96.5,3.5,0,0,0
W00002862,95.4,4.3,0.3,0,0
W00002863,96.8,3.2,0,0,0
W00002864,98.1,1.9,0,0,0
W00002865,96.3,2.9,0.8,0,0
W00002866,98.8,1.2,0,0,0
W00002867,98,1.6,0,0,0.4
W00002868,94.3,4.6,1.1,0,0
W00002869,96.5,3.5,0,0,0
W00002870,94.9,4.6,0,0.5,0
