areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
W00000014,2.8,36.1,52.8,8.3
W00000015,3.5,14.8,42.6,39.1
W00000016,11.2,11.2,43.9,33.6
W00000017,8.1,37.4,35.4,19.2
W00000018,2,12,70,16
W00000019,8.5,36.2,29.8,25.5
W00000020,23.6,29.2,38.7,8.5
W00000021,5.3,25.5,43.6,25.5
W00000032,17.7,20.4,46.9,15
W00000033,2.5,20.8,56.7,20
W00000034,4.9,34.4,36.1,24.6
W00000035,0.6,16.6,33.7,49.1
W00000036,0.9,10.5,57,31.6
W00000048,9.7,37,31.8,21.4
W00000049,19,27.8,31.7,21.4
W00000050,33.6,29.9,26.1,10.4
W00000051,3.9,9.2,40.1,46.7
W00000057,1.3,6.3,33.5,58.9
W00000058,0.8,19.4,40.3,39.5
W00000059,0.8,20.2,63.6,15.5
W00000060,1.6,16.3,39.8,42.3
W00000061,0.8,14,38,47.3
W00000062,1.8,10.9,50.9,36.4
W00000063,2.4,25.2,41.5,30.9
W00000070,0,10.8,41.3,47.9
W00000071,0,14.3,49.7,36.1
W00000072,0,8.8,51.3,39.8
W00000073,5.3,24.8,42.5,27.4
W00000074,8.6,35.2,48.6,7.6
W00000127,3,24.6,47,25.4
W00000128,18.3,13.5,62.7,5.6
W00000129,6.8,44.4,33.8,15
W00000130,2.5,25.3,46.8,25.3
W00000131,1.9,30.8,41.3,26
W00000174,12.1,22.4,54.3,11.2
W00000175,4.2,17.4,37.1,41.3
W00000176,9.9,24,49.6,16.5
W00000177,0.9,35.2,47.2,16.7
W00000178,11,21.9,36.8,30.3
W00000179,6.3,25.4,42.9,25.4
W00000213,1.5,20,53.3,25.2
W00000214,1.4,26.8,55.6,16.2
W00000215,1.6,42.2,40.6,15.6
W00000216,0.8,12.9,58.3,28
W00000217,3.2,22.6,53.2,21
W00000218,22,22,49.6,6.5
W00000219,0.8,10.4,53.6,35.2
W00000254,7.1,32.3,39.4,21.2
W00000255,5.3,35.8,37.7,21.2
W00000256,3.8,13.5,63.5,19.2
W00000257,4.1,24.3,56.8,14.9
W00000258,5.1,21.9,38.2,34.8
W00000259,0,21.6,61.9,16.4
W00000260,10.5,15.8,60.2,13.5
W00000261,13,44.2,29,13.8
W00000262,0,14,54.5,31.5
W00000264,15.3,31.3,51.9,1.5
W00000265,11.8,30.7,36.2,21.3
W00000266,0,14.7,48.3,37.1
W00000267,3.3,25.2,50.4,21.1
W00000268,2.2,14.4,56.7,26.7
W00000269,3.4,18.2,52.3,26.1
W00000270,0,20.7,56.3,23
W00000278,3.1,36.2,49.6,11
W00000279,4.6,34.9,34.9,25.7
W00000280,6.6,21.9,51.8,19.7
W00000281,0.8,25.6,57.9,15.8
W00000282,10.6,26.8,47.2,15.4
W00000283,5.2,32.8,44.8,17.2
W00000314,3.7,30.4,43,23
W00000315,2.4,14.3,42.1,41.3
W00000316,7.9,28.6,49.3,14.3
W00000317,21.8,47.3,19.1,11.8
W00000318,36.9,29.9,12.1,21
W00000319,2.8,23.6,24.5,49.1
W00000322,0.7,38.4,53,7.9
W00000323,0,8.1,82.4,9.5
W00000324,9.5,43.7,41.8,5.1
W00000325,6.5,18.5,51.9,23.1
W00000326,2.3,20.2,48.8,28.7
W00000327,5.6,18.5,50,25.9
W00000328,2.3,6.3,83.6,7.8
W00000329,2.8,39.9,47.6,9.8
W00000330,5.2,3.8,48.6,42.4
W00000331,1.1,10.2,68.9,19.8
W00000332,0,2.6,80,17.4
W00000333,9.1,45.5,32.2,13.3
W00000334,15.8,16.5,47.4,20.3
W00000335,6.8,33.3,50.8,9.1
W00000336,1.6,30.2,51.6,16.7
W00000339,2.4,19.7,50.4,27.6
W00000340,1.7,31.4,49.2,17.8
W00000362,5.6,15,35,44.4
W00000363,5.8,35,44.5,14.6
W00000364,15,39.5,36.7,8.8
W00000365,8.1,13.8,62.6,15.4
W00000366,0,33.8,44.2,22.1
W00000367,2.6,38.3,44.2,14.9
W00000368,1.4,35.9,46.2,16.6
W00000369,9.6,29.4,41.2,19.9
W00000370,0,4.7,57.5,37.7
W00000371,2.5,5,48.3,44.2
W00000372,4.1,7.4,71.1,17.4
W00000373,1.8,13.8,67.9,16.5
W00000374,0.9,2.7,51.3,45.1
W00000375,25,16.4,43,15.6
W00000388,0,30.6,47,22.4
