areacd,in_full_time_education-001,in_full_time_education-002
E00054799,23.4,76.6
E00054800,17.7,82.3
E00054803,9.7,90.3
E00054826,20.3,79.7
E00055508,19.7,80.3
E00055509,23.2,76.8
E00055510,21.9,78.1
E00055511,28.7,71.3
E00055512,25.7,74.3
E00055513,20.2,79.8
E00055514,26.7,73.3
E00055515,14.5,85.5
E00055516,13,87
E00055517,25.5,74.5
E00055518,10.8,89.2
E00055519,17.7,82.3
E00055520,22.3,77.7
E00055521,21,79
E00055522,15.9,84.1
E00055523,30,70
E00055524,31.6,68.4
E00055525,11.9,88.1
E00055526,21.9,78.1
E00055527,15.1,84.9
E00055528,28.3,71.7
E00055529,28.8,71.2
E00055530,17.8,82.2
E00055531,29.4,70.6
E00055532,22,78
E00055533,28.2,71.8
E00055534,20.1,79.9
E00055535,15,85
E00055536,30.1,69.9
E00055537,20.6,79.4
E00055538,17.1,82.9
E00055539,29.7,70.3
E00055540,25.5,74.5
E00055541,20.6,79.4
E00055542,21.4,78.6
E00055543,21.8,78.2
E00055544,25.4,74.6
E00055545,23.5,76.5
E00055546,27.9,72.1
E00055547,17.7,82.3
E00055548,31,69
E00055549,27.1,72.9
E00055550,23.8,76.2
E00055551,28.6,71.4
E00055552,19.3,80.7
E00055553,20.3,79.7
E00055554,14.3,85.7
E00055555,24.3,75.7
E00055556,24.1,75.9
E00055557,22.9,77.1
E00055558,15.4,84.6
E00055559,13.2,86.8
E00055560,34.7,65.3
E00055561,18.1,81.9
E00055562,28.8,71.2
E00055563,26,74
E00055564,14.4,85.6
E00055565,29.4,70.6
E00055566,27.7,72.3
E00055567,22.5,77.5
E00055568,13.1,86.9
E00055569,12.6,87.4
E00055570,22.3,77.7
E00055571,18.2,81.8
E00055573,17.8,82.2
E00055574,23.8,76.2
E00055575,23.6,76.4
E00055576,22.7,77.3
E00055577,12,88
E00055579,32.1,67.9
E00055580,21,79
E00055582,23.1,76.9
E00055583,21.1,78.9
E00055584,26.3,73.7
E00055585,21.5,78.5
E00055586,40.9,59.1
E00055588,24.9,75.1
E00055589,26.2,73.8
E00055590,29.9,70.1
E00055591,24.7,75.3
E00055592,25.5,74.5
E00055593,30.3,69.7
E00055594,22,78
E00055595,35,65
E00055596,33.8,66.2
E00055597,23.5,76.5
E00055598,29.8,70.2
E00055599,28.6,71.4
E00055600,29.6,70.4
E00055602,32.3,67.7
E00055603,25,75
E00055604,29.8,70.2
E00055605,22.3,77.7
E00055606,27.7,72.3
E00055607,19.4,80.6
E00055608,24.3,75.7
E00055609,28.9,71.1
E00055610,16.7,83.3
E00055611,17,83
E00055612,26.8,73.2
E00055613,36.8,63.2
E00055614,21,79
E00055615,21.5,78.5
E00055616,30.9,69.1
E00055617,36.9,63.1
E00055618,21.7,78.3
E00055619,20.6,79.4
E00055620,24.8,75.2
E00055621,33.7,66.3
E00055672,18.2,81.8
E00055673,12.2,87.8
E00055674,17.5,82.5
E00055675,13.7,86.3
E00055678,13.5,86.5
E00055679,15.5,84.5
E00055680,18.9,81.1
E00055681,17.6,82.4
E00055682,16.5,83.5
E00055683,4,96
E00055684,17.5,82.5
E00055685,13.9,86.1
E00055686,16.5,83.5
E00055687,17,83
E00055698,19.5,80.5
E00055699,11.8,88.2
E00055700,26.1,73.9
E00055701,19.3,80.7
E00055702,20.7,79.3
E00055703,11.1,88.9
E00055704,16.4,83.6
E00055705,18.3,81.7
E00055706,28.4,71.6
E00055707,26.8,73.2
E00055708,28.1,71.9
E00055709,15.5,84.5
E00055710,14.7,85.3
E00055711,7.7,92.3
E00055712,14.4,85.6
E00055713,28.5,71.5
E00055714,30.5,69.5
E00055715,30.7,69.3
E00055716,16.6,83.4
E00055717,14.4,85.6
E00055718,27,73
E00055719,17.6,82.4
E00055720,17.3,82.7
E00055721,23.5,76.5
E00055722,18.5,81.5
E00055723,16.1,83.9
E00055724,18.8,81.2
E00055725,13.3,86.7
E00055726,18.2,81.8
E00055727,16.3,83.7
E00055728,11.4,88.6
E00055729,19.5,80.5
E00055730,19.1,80.9
E00055731,21.3,78.7
E00055732,19.4,80.6
E00055733,14.9,85.1
E00055734,15.7,84.3
E00055735,14.4,85.6
E00055736,17.1,82.9
E00055737,11.2,88.8
E00055738,13.5,86.5
E00055739,14.7,85.3
E00055740,16.4,83.6
E00055741,14.7,85.3
E00055742,11.3,88.7
E00055743,19.3,80.7
E00055744,16.9,83.1
E00055745,11,89
E00055746,15.4,84.6
E00055747,10.7,89.3
E00055748,14.2,85.8
E00055749,28.6,71.4
E00055750,20.6,79.4
E00055751,18.6,81.4
E00055752,16.5,83.5
E00055753,15.1,84.9
E00055754,22.2,77.8
E00055755,14.5,85.5
E00055756,15.5,84.5
E00055757,15.2,84.8
E00055758,15.1,84.9
E00055759,18.7,81.3
E00055760,21.8,78.2
E00055761,16.1,83.9
E00055762,18.4,81.6
E00055763,13.1,86.9
E00055764,20.3,79.7
E00055765,18,82
E00055766,14.6,85.4
E00055767,16.7,83.3
E00055768,11.7,88.3
E00055769,16.2,83.8
E00055771,14.6,85.4
E00055772,15.2,84.8
E00055773,12.4,87.6
E00055774,18.8,81.2
E00055775,17,83
E00055776,23,77
E00055777,18.9,81.1
E00055778,13.2,86.8
E00055779,14.6,85.4
E00055780,17.1,82.9
E00055781,9.7,90.3
E00055884,16,84
E00055888,30.5,69.5
E00055889,40.5,59.5
E00055890,19.3,80.7
E00055891,19.9,80.1
E00055893,11.5,88.5
E00055894,19,81
E00055895,16.4,83.6
E00055896,13.4,86.6
E00055897,16.8,83.2
E00055898,26.9,73.1
E00055901,26.6,73.4
E00055903,16.9,83.1
E00055904,14.5,85.5
E00055905,24.9,75.1
E00055906,17.3,82.7
E00055907,23.5,76.5
E00055908,32.6,67.4
E00055910,22.5,77.5
E00055912,20.4,79.6
E00055914,18.8,81.2
E00055917,13.5,86.5
E00055918,26.5,73.5
E00055920,35.9,64.1
E00055921,26.5,73.5
E00055922,19.3,80.7
E00055924,15.8,84.2
E00055925,20,80
E00055926,15.4,84.6
E00055927,21.5,78.5
E00055928,18.7,81.3
E00055929,13.6,86.4
E00055930,11.5,88.5
E00055931,20.5,79.5
E00055932,20.4,79.6
E00055933,21.9,78.1
E00055934,23.8,76.2
E00055935,18.3,81.7
E00055936,14.9,85.1
E00055937,11,89
E00055938,10.2,89.8
E00055939,17.6,82.4
E00055940,20.5,79.5
E00055941,17.1,82.9
E00055942,20.8,79.2
E00055944,16.8,83.2
E00055946,13.4,86.6
E00055947,12.2,87.8
E00055949,21.9,78.1
E00055950,13.5,86.5
E00055952,23.8,76.2
E00055953,19.5,80.5
E00055954,25.1,74.9
E00055955,18.9,81.1
E00055956,20.2,79.8
E00055958,24.2,75.8
E00055959,19.3,80.7
E00055960,18.9,81.1
E00055962,16.7,83.3
E00055963,16.6,83.4
E00055965,34.9,65.1
E00055969,24.2,75.8
E00055971,26.2,73.8
E00055975,23.9,76.1
E00055977,19.2,80.8
E00056043,28.8,71.2
E00056044,22.7,77.3
E00056045,13.5,86.5
E00056046,17.1,82.9
E00056047,14.5,85.5
E00056048,17,83
E00056050,20.5,79.5
E00056051,14.5,85.5
E00056052,18.2,81.8
E00056053,12.9,87.1
E00056055,13.3,86.7
E00056056,22.4,77.6
E00056057,30.9,69.1
E00056058,26.7,73.3
E00056059,20.9,79.1
E00056060,27.6,72.4
E00056061,18,82
E00056062,13.1,86.9
E00056063,21.5,78.5
E00056064,16.2,83.8
E00056065,27.8,72.2
E00056066,28.2,71.8
E00056067,27.9,72.1
E00056068,17.3,82.7
E00056069,29.9,70.1
E00056071,22.8,77.2
E00056073,14.6,85.4
E00056074,19.5,80.5
E00056075,23.4,76.6
E00056076,18.4,81.6
E00056077,28.3,71.7
E00056078,18.2,81.8
E00056079,20,80
E00056080,30.6,69.4
E00056081,17.7,82.3
E00056082,19.1,80.9
E00056083,33.1,66.9
E00056084,6.1,93.9
E00056085,26.2,73.8
E00056086,22.1,77.9
E00056087,23.6,76.4
E00056088,26,74
E00056090,17.4,82.6
E00056091,22.6,77.4
E00056092,32,68
E00056093,13.4,86.6
E00056094,16.2,83.8
E00056095,24.8,75.2
E00056096,31.4,68.6
E00056097,26.2,73.8
E00056098,31.9,68.1
E00056099,27.9,72.1
E00056100,31.9,68.1
E00056101,39.9,60.1
E00056102,31.2,68.8
E00056103,26.8,73.2
E00056104,29.8,70.2
E00056105,36.1,63.9
E00056106,33,67
E00056107,27.5,72.5
E00056108,29.4,70.6
E00056109,19.5,80.5
E00056110,16,84
E00056111,26.1,73.9
E00056112,20.7,79.3
E00056113,22.7,77.3
E00056114,23.3,76.7
E00056115,30.8,69.2
E00056116,22.5,77.5
E00056117,16.7,83.3
E00056118,23.9,76.1
E00056119,32.6,67.4
E00056120,32.7,67.3
E00056121,22.1,77.9
E00056122,21.2,78.8
E00056123,32.2,67.8
E00056124,23.8,76.2
E00056125,26.9,73.1
E00056126,35.2,64.8
E00056127,35.8,64.2
E00056128,32.1,67.9
E00056129,41.3,58.7
E00056130,32.8,67.2
E00056131,27.2,72.8
E00056132,32.6,67.4
E00056133,31.4,68.6
E00056135,32.4,67.6
E00056136,29.1,70.9
E00056137,34.8,65.2
E00056138,30.3,69.7
E00056139,33.2,66.8
E00056141,24.7,75.3
E00056142,12.9,87.1
E00056143,11.7,88.3
E00056144,16.8,83.2
E00056145,12.9,87.1
E00056146,15.8,84.2
E00056147,18.5,81.5
E00056148,24,76
E00056149,13.6,86.4
E00056208,26,74
E00056210,28.3,71.7
E00056211,24.4,75.6
E00056212,25.2,74.8
E00056213,30.5,69.5
E00056214,15.7,84.3
E00056215,10.7,89.3
E00056216,23.7,76.3
E00056217,13.9,86.1
E00056218,17.9,82.1
E00056219,13.7,86.3
E00056220,19.2,80.8
E00056221,17.5,82.5
E00056222,16.6,83.4
E00056223,15.7,84.3
E00056224,14.4,85.6
E00056225,13.9,86.1
E00056226,15.5,84.5
E00056227,19.3,80.7
E00056228,26.9,73.1
E00056229,24.5,75.5
E00056230,17.6,82.4
E00056231,19,81
E00056232,20.5,79.5
E00056233,15.3,84.7
E00056234,20.9,79.1
E00056235,23.6,76.4
E00056236,9.7,90.3
E00056237,21.8,78.2
E00056238,24.9,75.1
E00056239,25.1,74.9
E00056240,8.6,91.4
E00056241,28.8,71.2
E00056242,24.6,75.4
E00056243,28.1,71.9
E00056244,24,76
E00056245,23.3,76.7
E00056246,25.3,74.7
E00056248,25.8,74.2
E00056249,18.8,81.3
E00056251,16.3,83.7
E00056252,19.9,80.1
E00056253,23.9,76.1
E00056254,25.1,74.9
E00056256,22.7,77.3
E00056257,17.9,82.1
E00056258,23.3,76.7
E00056259,14.6,85.4
E00056260,17.7,82.3
E00056261,18.2,81.8
E00056263,12.4,87.6
E00056393,18.7,81.3
E00056489,27.2,72.8
E00056490,17.6,82.4
E00056491,19.2,80.8
E00056492,15.9,84.1
E00056493,13.2,86.8
E00056494,15.5,84.5
E00056495,17.7,82.3
E00056496,12.8,87.2
E00056497,10.8,89.2
E00056498,36.9,63.1
E00056499,16.4,83.6
E00056500,25.1,74.9
E00056501,19.7,80.3
E00056502,23,77
