geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00134231,9,51.4,39.6
E00134232,9.1,81.8,9.1
E00136679,7.3,76.4,16.4
E00136680,8.6,72.4,19
E00136681,6.6,80.3,13.2
E00136682,3.9,81.9,14.2
E00136683,5.6,68.5,25.8
E00136684,6.6,80.2,13.2
E00136685,15.7,74.5,9.8
E00136686,23.1,61.5,15.4
E00136687,6.8,73.7,19.5
E00136688,10.4,84.4,5.2
E00136689,14.2,69.9,15.9
E00136691,7,73.7,19.3
E00136692,10.9,60.6,28.5
E00136693,6.8,56.2,37
E00136694,6.7,69.7,23.5
E00136695,12.6,76.2,11.2
E00136696,8,68.4,23.6
E00136706,9.8,72.3,17.9
E00136713,11.2,72.9,16
E00136745,11.5,69.2,19.2
E00136746,8,78,14
E00136747,9.7,74.2,16.1
E00136748,9.7,80,10.3
E00136749,12.9,64.5,22.6
E00136750,13.9,72.9,13.2
E00136751,5.6,85.6,8.8
E00136752,18.1,72.4,9.5
E00136753,11.7,74.2,14.2
E00136754,10,76.9,13.1
E00136757,9.6,79,11.4
E00136758,13.1,72.1,14.8
E00136760,6.7,80.7,12.6
E00136761,12.2,72.2,15.6
E00136762,13.5,75,11.5
E00136763,10.5,72.6,16.8
E00136764,6,80.5,13.5
E00136765,11.1,77.2,11.7
E00136766,14,65.9,20.2
E00136767,9.1,71.1,19.8
E00136768,5.6,83.2,11.2
E00136769,7.1,80.3,12.6
E00136770,3.2,73.7,23.1
E00136771,12.5,78.1,9.4
E00136772,1.4,80.7,17.9
E00136773,7.2,76.3,16.5
E00136774,20,56.5,23.5
E00136775,13.3,61.1,25.6
E00136776,13.2,75.2,11.6
E00136777,8.3,72.5,19.3
E00136778,8.2,69.4,22.4
E00136779,6.9,68.1,25
E00136789,11.8,73.7,14.5
E00136790,9.1,81.2,9.7
E00136794,8.5,76.6,14.9
E00136795,8.5,73.5,17.9
E00136796,7.8,85.2,7
E00136825,4,86.7,9.3
E00136826,5.5,80.9,13.6
E00136827,10.3,72.4,17.2
E00136829,7.6,74.5,17.8
E00136830,11.3,79.2,9.4
E00136831,9.1,79.3,11.6
E00136832,10.3,69.8,19.8
E00136833,6.9,76.2,16.8
E00136834,11.8,73.5,14.7
E00136835,21.6,61.2,17.2
E00136836,8.7,77.7,13.6
E00136837,5.4,87.7,6.9
E00136838,11.5,64.4,24
E00136839,11.5,77,11.5
E00136840,8.5,73.8,17.7
E00136847,5.7,72.7,21.6
E00136985,6.9,78.4,14.7
E00136986,15.4,76.9,7.7
E00136987,11.1,77.8,11.1
E00136988,9.4,77.1,13.5
E00136989,7.4,84.2,8.4
E00136990,9.6,77.2,13.2
E00136991,11,68.1,20.9
E00136992,6.8,75.3,17.8
E00137000,8.9,79.6,11.5
E00137001,7.7,84.6,7.7
E00137002,11,76.4,12.6
E00137003,5.9,81.2,12.9
E00137004,10.1,83.9,6
E00137005,15.1,66.3,18.6
E00137006,11.8,76.5,11.8
E00137007,9.7,78.6,11.7
E00137020,12.4,78.8,8.8
E00137023,6.9,77.2,15.9
E00137024,11.1,77.8,11.1
E00137034,9.3,75.7,15
E00153157,10.7,68,21.4
E00153158,10.8,79.4,9.8
E00153159,10.3,81.4,8.3
E00153160,5.5,84.1,10.4
E00153161,20.6,67.5,11.9
E00153162,3.7,76.7,19.6
E00153163,11.9,75.2,12.8
E00153164,6.7,74.4,18.9
E00153165,10.5,82.3,7.3
E00153166,4.5,76.4,19.1
E00153167,8.7,81.3,10
E00153168,13.6,72.3,14.1
E00153169,15.7,74.7,9.6
E00153170,13.8,73.1,13.1
E00153175,12.8,78.2,9
E00153176,11.1,77.8,11.1
E00153177,15.3,71.2,13.5
E00153178,6.3,77.1,16.6
E00153194,7.5,79.1,13.4
E00153195,8.7,73,18.3
E00153196,7.5,75.7,16.8
E00153197,12.1,67.4,20.5
E00153198,10.9,76.6,12.5
E00153199,6.3,76.2,17.5
E00153200,9.4,78.8,11.8
E00153201,12.8,75.2,12
E00153208,9.5,81,9.5
E00153232,9,79.2,11.8
E00153233,5.5,78.7,15.7
E00153234,7.8,69.5,22.7
E00153235,8.6,63.8,27.6
E00153236,10.8,71.6,17.6
E00153237,4.2,86.1,9.7
E00153238,9.1,67,23.9
E00153327,12.8,72.4,14.7
E00153328,8,83.9,8
E00153329,7.8,76.5,15.7
E00153330,13.1,74.9,12.1
E00153331,14.6,77.1,8.3
E00153332,9.4,68,22.7
E00153333,8.3,78.6,13.1
E00153334,15.1,74.5,10.4
E00153356,11.1,77.8,11.1
E00153357,14.3,70.1,15.6
E00153358,13.5,65.6,20.8
E00153359,11.1,75.4,13.5
E00153360,7.4,79,13.6
E00153361,3.7,74.1,22.2
E00153373,12.5,75,12.5
E00153378,10.7,76.7,12.7
E00153379,13.7,66,20.3
E00154005,11.8,78,10.2
E00154470,8.1,74.3,17.6
E00154473,10,74.3,15.7
E00154477,8.5,72.9,18.6
E00173699,18.2,63.6,18.2
E00174638,18,55.7,26.2
E00174644,13.2,79.3,7.4
E00187876,17.9,52.2,29.9
E00187883,30,63.3,6.7
E00187897,10.5,55.8,33.7
E00187926,16,64,20
E00187988,10.8,73.8,15.4
E00188002,12.8,60.5,26.7
E00188010,6.1,72,22
