geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00134231,23.8,32,3.9,38.1,2.2
E00134232,12,43.2,5.5,35.5,3.8
E00136679,21.4,41.5,7.7,26.9,2.6
E00136680,25.1,40.2,6,24.6,4
E00136681,13.3,45.4,2.3,36.7,2.3
E00136682,18.9,43,6.4,30.1,1.6
E00136683,23.9,44.9,4.1,23,4.1
E00136684,14.7,40.6,5.3,36.5,3
E00136685,20.2,36.5,0,41.3,1.9
E00136686,25,48.2,6.1,17.7,3
E00136687,16.5,40.5,9.3,30.1,3.6
E00136688,20,36.3,8.6,30.6,4.5
E00136689,18.5,46,6.5,25.8,3.2
E00136691,13.9,41.1,6.9,34.6,3.5
E00136692,24.7,45.8,4.4,21.8,3.3
E00136693,22.3,46.8,3.2,27.1,0.5
E00136694,21,37.8,6.4,32.2,2.6
E00136695,19,39.5,6.9,32.2,2.4
E00136696,15.8,46.3,6.3,28.4,3.3
E00136706,19.9,43.7,8.3,25.6,2.6
E00136713,17.7,45,6.1,27.5,3.7
E00136745,13.5,49.3,6.6,28.4,2.2
E00136746,15.7,45.6,7.3,29,2.4
E00136747,19.2,52,7.4,20.5,0.9
E00136748,17.7,39.8,9.7,30.1,2.7
E00136749,26.7,44.2,4.6,22.1,2.3
E00136750,19,46.8,7,26.3,0.9
E00136751,20.6,46,5.4,25.1,3
E00136752,14.8,52.7,5.3,24.3,2.9
E00136753,21.2,39.2,8.2,30.2,1.2
E00136754,23.3,45.9,8.2,19.7,2.9
E00136757,27.1,38.2,4.2,27.4,3.1
E00136758,21,31.1,7.5,36.3,4.1
E00136760,30,40,6.8,16.4,6.8
E00136761,23.1,44,5.1,23.6,4.2
E00136762,21.1,40.4,7.3,28.9,2.3
E00136763,30.6,39.4,6.1,18.9,5
E00136764,25.8,42.4,5.5,21.7,4.6
E00136765,18.6,49.4,4.1,24.3,3.6
E00136766,32.2,46,5,14.2,2.7
E00136767,25.7,43.5,5.1,22.9,2.8
E00136768,36.6,33.5,3.1,23.2,3.6
E00136769,25.5,36.7,5.6,28.1,4.1
E00136770,28.4,29.9,6.4,31.8,3.4
E00136771,13.5,44.2,6.4,32.4,3.5
E00136772,38.2,29.9,8.3,19.9,3.7
E00136773,38,35.9,7.1,16.3,2.7
E00136774,26.9,50.8,7.1,13.9,1.3
E00136775,32.8,43.3,5.9,16,2.1
E00136776,20.3,40,5.5,32.1,2.1
E00136777,25,45.2,7.1,18.7,4
E00136778,21.9,47.8,2.5,24.9,3
E00136779,40,34.4,6.4,15.6,3.6
E00136789,14.2,43.3,5.7,33.1,3.7
E00136790,20.5,35.6,6.9,34.1,2.8
E00136794,13.2,40.5,4.4,41,0.9
E00136795,29.2,41.9,5.5,20.3,3
E00136796,14.7,41,6,35.9,2.4
E00136825,21.4,38.2,7.1,30.3,2.9
E00136826,18.9,44.7,6.8,26.1,3.4
E00136827,23.2,43.4,10.5,19.9,3
E00136829,29,41.6,9,16.5,3.9
E00136830,17.5,54.5,7.1,19.4,1.5
E00136831,15.1,50.8,8.9,23.5,1.7
E00136832,34.2,36.3,8.3,17.6,3.6
E00136833,17.3,38.1,9.4,32.7,2.5
E00136834,13.4,46.5,3.2,33.8,3.2
E00136835,17.8,44.8,6.6,28.6,2.1
E00136836,22.5,47.1,8.8,18.5,3.1
E00136837,23.2,47.2,6,18.8,4.8
E00136838,26.4,44.2,6.2,20.7,2.5
E00136839,23.2,47.6,6.9,19.7,2.5
E00136840,32.1,37.7,8.8,18.2,3.2
E00136847,14.8,45.7,3.5,29.6,6.5
E00136985,32.4,40.1,8.6,16.7,2.3
E00136986,21.5,50.2,8.4,17.5,2.5
E00136987,17.6,50.5,7.1,21,3.7
E00136988,16.8,51.1,6.2,23.4,2.6
E00136989,16.8,44,7.1,27.7,4.3
E00136990,24.5,44.4,7.8,19.5,3.9
E00136991,30.9,38.9,6.8,20.8,2.7
E00136992,15.6,50.2,6.8,24.9,2.4
E00137000,17.3,46.7,6.3,27,2.7
E00137001,12.5,40.9,5.1,36.4,5.1
E00137002,20.8,39.1,10.2,27.7,2.2
E00137003,22.7,38.2,7.3,29.1,2.7
E00137004,26.2,42.6,4.9,23.9,2.3
E00137005,31.5,44.8,4.4,17.2,2
E00137006,20.3,50.6,7.6,18.3,3.2
E00137007,26.8,44.6,5.4,21,2.2
E00137020,19.6,43.6,10.5,23.6,2.5
E00137023,25.2,46.7,7.8,17,3.3
E00137024,18.4,47.5,8.9,20.3,5.1
E00137034,15.8,40.2,5.8,37.1,1
E00153157,24.9,39.1,6.7,26.7,2.7
E00153158,11.4,37.6,3.9,43.9,3.1
E00153159,14.8,44.1,6.5,32.2,2.4
E00153160,21,39,7.1,28.8,4.1
E00153161,28.6,38.9,6.8,21.4,4.3
E00153162,25.2,37.4,7.7,21.3,8.4
E00153163,30.3,44.7,4.4,18.9,1.8
E00153164,18.4,37.9,5.8,36.9,1
E00153165,18.9,40.6,6.4,33.3,0.8
E00153166,21,51.8,8.2,13.8,5.1
E00153167,20.3,39.5,6.5,30.4,3.3
E00153168,17.4,40.1,6.3,33.8,2.5
E00153169,16.7,41.2,5.4,35.2,1.5
E00153170,25.3,37.3,6.1,28.4,2.8
E00153175,15.7,40,6.9,35.4,1.9
E00153176,11.5,41.1,5.2,38,4.2
E00153177,16.1,43.3,6.7,30.5,3.4
E00153178,14.6,45,7.3,30.7,2.5
E00153194,15.8,41.8,5.7,36.7,0
