areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00128516,97.1,2.9
E00128568,98.6,1.4
E00128569,96.8,3.2
E00140296,94.7,5.3
E00140297,94.8,5.2
E00140304,97.7,2.3
E00140305,94.1,5.9
E00140306,98.6,1.4
E00140329,97.4,2.6
E00140330,97.2,2.8
E00140331,98.3,1.7
E00140332,98.6,1.4
E00140333,97.9,2.1
E00140334,96.8,3.2
E00140335,97,3
E00140336,96.9,3.1
E00140337,91,9
E00140340,98.7,1.3
E00140345,97.9,2.1
E00140347,97,3
E00140348,98.9,1.1
E00140349,97,3
E00140350,92.6,7.4
E00140351,94.6,5.4
E00140352,92.2,7.8
E00140353,97.1,2.9
E00140354,96.8,3.2
E00140355,97.4,2.6
E00140356,98.2,1.8
E00140357,96.8,3.2
E00140358,90.1,9.9
E00140359,92.8,7.2
E00140360,94.3,5.7
E00140361,93.6,6.4
E00140362,88.6,11.4
E00140363,96.3,3.7
E00140364,96.4,3.6
E00140365,98,2
E00189822,96.7,3.3
E00189867,96,4
