geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00090866,88.3,9.3,2.4
E00090867,81.3,15.3,3.3
E00090868,83.8,12.1,4
E00090870,89.5,8.3,2.2
E00090871,88.1,10.4,1.5
E00090872,86.3,10,3.7
E00090873,85.7,10.4,3.9
E00090874,85.4,11.7,2.8
E00090875,86,11.4,2.6
E00090876,86,12.6,1.4
E00090877,78.7,12.8,8.5
E00090878,91.4,7.1,1.5
E00090879,73,18.1,8.9
E00090880,79.7,12.7,7.7
E00090881,85.4,11.9,2.7
E00090882,75.9,16.7,7.5
E00090883,77.4,17.3,5.3
E00090884,62,28,10
E00090899,87.5,10,2.6
E00090900,87.1,10.2,2.7
E00090901,81.5,13.9,4.5
E00090902,76.6,14.4,9
E00090903,87.1,10.4,2.5
E00090904,81.8,14.6,3.6
E00090905,80.7,13.7,5.5
E00090906,87.7,9.3,3.1
E00090907,86.1,9.7,4.3
E00090908,81,14.2,4.9
E00090909,73,18.9,8.1
E00090910,83.9,11.6,4.5
E00090918,67.2,27.1,5.7
E00090919,87.4,10,2.6
E00090920,79,15.7,5.2
E00090921,86.3,11.5,2.1
E00090922,84.7,10.7,4.6
E00090923,74.9,19.8,5.3
E00090924,88.4,7.8,3.8
E00090925,75.1,17.7,7.2
E00090926,85.4,10.3,4.3
E00090927,84.3,11.8,3.9
E00090928,82.4,12.4,5.2
E00090929,85.7,11.2,3.1
E00090930,44.2,36.5,19.2
E00090931,81.7,14.2,4.2
E00090932,80.9,15.7,3.5
E00090933,74.4,15.5,10.1
E00090934,74.8,20,5.2
E00090935,79.3,16.4,4.2
E00090937,89.4,9.4,1.3
E00090939,90.1,9,0.9
E00090941,82.6,13.3,4.1
E00090942,83.4,15.1,1.5
E00090943,86.7,11,2.3
E00090945,87.5,9.6,2.9
E00090946,67.9,23,9.1
E00090947,73.8,16.7,9.5
E00090948,84,9.6,6.4
E00090949,80.9,14.7,4.3
E00090950,82.2,15.1,2.7
E00090951,66,23.7,10.3
E00090953,86,10.4,3.6
E00090954,83.4,12.8,3.8
E00090956,76.9,17.4,5.7
E00090957,88,9,3
E00090958,82.4,15.2,2.4
E00090960,63.5,26.6,9.8
E00090961,79.5,17,3.5
E00090962,87.3,10.9,1.8
E00090963,65.8,22.1,12.1
E00090964,81,14.1,4.8
E00090965,88.7,9.9,1.4
E00090966,79.9,13.7,6.4
E00090967,79.7,17.4,3
E00090968,76.1,17.9,6
E00090969,82.7,11.7,5.6
E00090970,83.9,14.2,1.9
E00090984,82.5,13.4,4.1
E00090985,79.3,15.2,5.5
E00090986,79.1,16.5,4.5
E00090987,82.3,13.7,4
E00090988,83.2,10.1,6.7
E00090989,82.3,13.3,4.5
E00090990,78.1,15.2,6.7
E00090991,82.5,14.6,3
E00090992,87.7,8.2,4.1
E00090993,76.8,16.9,6.3
E00090994,89.2,7.8,3
E00090995,78.2,15.7,6.1
E00090996,76.9,17.9,5.1
E00090997,84,11.7,4.3
E00090998,80.7,15.2,4.2
E00090999,87.3,8.5,4.1
E00091000,80.2,14.9,5
E00091001,83,14,3
E00091002,86.1,11.2,2.7
E00091011,77,16.8,6.1
E00091012,81.5,12.3,6.2
E00091013,77.8,16.4,5.8
E00091015,83.6,10,6.4
E00091016,83.1,12.9,4.1
E00091017,83.3,11.5,5.2
E00091019,85.3,12.1,2.7
E00091020,78.8,13.9,7.3
E00091021,74.7,17.8,7.5
E00091022,86.8,10.9,2.3
E00091023,73.5,17.8,8.7
E00091024,78.8,17.2,4
E00091025,80.2,16.8,3
E00091027,78.6,14,7.4
E00091028,79.7,12.9,7.4
E00091030,79,14.5,6.5
E00091031,83.4,12.9,3.7
E00091032,82.2,12.5,5.2
E00091033,84.5,12.8,2.7
E00091034,86,8.2,5.9
E00091036,79.2,15.6,5.2
E00091038,87.4,8.8,3.8
E00091039,79.9,15.8,4.3
E00091040,77.9,17.8,4.4
E00091041,81,13.7,5.3
E00091042,84.7,11.2,4
E00091044,88.3,9.4,2.3
E00091045,85.4,10.4,4.2
E00091046,73.8,18.4,7.8
E00091047,83.1,13.4,3.5
E00091048,79.6,14.3,6.1
E00091051,83.9,11.7,4.3
E00091052,83.9,13.3,2.8
E00091053,82.7,11.6,5.8
E00091054,81.8,12.8,5.4
E00091055,83.1,13.8,3.1
E00091056,81.1,14.2,4.6
E00091057,85.8,10.4,3.9
E00091059,82,13.5,4.5
E00091060,71,17.6,11.4
E00091061,82.6,13.6,3.8
E00091062,83.7,13.3,3
E00091064,89.6,8.5,1.9
E00091065,86.1,11.4,2.5
E00091066,84.7,11.1,4.2
E00091067,83.6,12.6,3.8
E00091068,84.5,11.6,4
E00091069,79.5,14.8,5.7
E00091070,82.7,11.6,5.7
E00091071,84.6,12,3.4
E00091072,84.6,12.6,2.8
E00091073,79.7,15.3,5.1
E00091074,77.1,17.2,5.7
E00091075,86.7,11.2,2.1
E00091076,83.1,14.1,2.8
E00091077,79.8,14.9,5.3
E00091078,83.6,12.7,3.7
E00091079,83,11.3,5.7
E00091080,87.4,10.7,1.9
E00091081,84,14.9,1.1
E00091082,88.5,7.8,3.7
E00091083,81.1,13.8,5.1
E00091084,81.2,16.1,2.7
E00091085,81.9,14.2,3.9
E00091086,86.5,10.6,3
E00091087,71.1,19.4,9.5
E00091088,83.1,13.3,3.5
E00091089,83.1,13.7,3.2
E00091090,84.5,11.6,4
E00091115,77.4,17.7,4.8
E00091116,83,13.5,3.5
E00091117,82.5,14.5,3.1
E00091118,77.9,14,8.1
E00091119,67.6,20,12.4
E00091120,72.5,19.5,8
E00091121,76.1,16.2,7.7
E00091122,74.8,18.7,6.5
E00091195,81.2,12.8,6.1
E00091197,83.8,12.9,3.3
E00091332,78.9,16.4,4.7
E00091333,81.1,15.9,3
E00091334,79.7,13.8,6.5
E00091335,78.7,16.3,5
E00091336,71,19.5,9.5
E00091337,84,10.7,5.3
E00091338,77.4,15.2,7.4
E00091339,81.1,12.5,6.4
E00091348,67.9,22.5,9.6
E00091349,76.1,15.2,8.7
E00091350,83.2,12.1,4.7
E00091351,81,13.1,5.9
E00091352,84,14.6,1.4
E00091353,84.6,12.5,2.9
E00091354,78.6,16.5,4.9
E00091355,79,15.7,5.3
E00091356,82.2,13.2,4.6
E00091373,74.9,18.4,6.7
E00091374,82,13.3,4.8
E00091375,83.1,11.7,5.1
E00091376,64.1,26.3,9.6
E00091377,83.1,12.7,4.2
E00091378,81.9,13.5,4.6
E00091379,83.6,12.1,4.2
E00091428,86.2,10.4,3.5
E00091429,87.9,9.4,2.6
E00091430,74.8,18,7.1
E00091431,83,15.2,1.8
E00091432,88.9,9.1,2.1
E00091433,85.3,11.2,3.4
E00091434,73.9,18.3,7.8
E00091435,85.7,11,3.3
E00091436,81.6,13.8,4.7
E00091437,79.8,15.4,4.9
E00091438,87.9,12.1,0
E00091791,88.6,9.1,2.3
E00091792,87.5,9.1,3.5
E00091795,81.4,13,5.6
E00091796,88.6,7.6,3.8
E00091798,80.2,15.5,4.3
E00091802,84.4,12,3.6
E00091804,82.5,12.8,4.7
E00091805,80.8,13.7,5.5
E00091806,77.5,14.7,7.8
E00091977,90.8,7.9,1.3
E00091978,75.1,17.9,7
E00091979,81.2,16,2.7
E00091980,89.3,9,1.7
E00091981,77.8,17.2,4.9
E00091982,79.5,14.3,6.3
E00091983,87.3,10.9,1.8
E00091984,77.6,17,5.4
E00091985,82.1,10.4,7.5
E00091986,88.9,7.5,3.6
E00091987,84,9.7,6.3
E00091988,89.9,9.1,1.1
E00091989,85,12.4,2.5
E00091990,86.2,9.5,4.4
E00091991,85,12.5,2.5
E00091992,85,10.9,4.1
E00091993,85.2,12.2,2.6
E00091994,83.7,13.5,2.8
