geography_code,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E00044242,97.7,0.8,1.5,0
E00044243,100,0,0,0
E00044244,91.2,2.4,2.4,4
E00044245,99.5,0.5,0,0
E00044246,99.1,0,0,0.9
E00044247,96.1,3.1,0.8,0
E00044248,99.2,0.8,0,0
E00044249,97.7,0.8,0,1.6
E00044250,98.3,0.8,0,0.8
E00044251,99.1,0.9,0,0
E00044252,98.4,1.6,0,0
E00044253,98.3,0,0,1.7
E00044254,100,0,0,0
E00044256,96.5,1.4,0,2.1
E00044257,93.8,3.1,0,3.1
E00044259,96,1,3,0
E00044260,99.2,0.8,0,0
E00044261,99.3,0.7,0,0
E00044262,96.4,0.9,0.9,1.8
E00044263,100,0,0,0
E00044264,99.1,0.9,0,0
E00044265,99.2,0,0,0.8
E00044266,98.2,0.9,0,0.9
E00044267,99.2,0.8,0,0
E00044268,99.4,0.6,0,0
E00044269,99.2,0.8,0,0
E00044270,100,0,0,0
E00044271,96.7,1.7,0.8,0.8
E00044272,97.8,0.7,0,1.5
E00044273,98.3,0,0,1.7
E00044275,98.6,0,0.7,0.7
E00044276,100,0,0,0
E00044278,95.9,1.4,1.4,1.4
E00044279,100,0,0,0
E00044281,97.7,1.5,0,0.8
E00044385,97.9,1.4,0,0.7
E00044386,100,0,0,0
E00044387,99.3,0.7,0,0
E00044388,96.9,0.8,0,2.3
E00044389,97.2,1.9,0,0.9
E00044390,96.9,0,1,2
E00044391,97.5,0.8,0,1.7
E00044392,100,0,0,0
E00044393,100,0,0,0
E00044394,99.1,0,0,0.9
E00044395,100,0,0,0
E00044396,99.3,0.7,0,0
E00044397,100,0,0,0
E00044398,99.2,0.8,0,0
E00044399,98.3,0.8,0,0.8
E00044401,96.2,0,1.9,1.9
E00044403,98.3,0,0,1.7
E00044404,99,0,0,1
E00044405,100,0,0,0
E00044406,100,0,0,0
E00044407,100,0,0,0
E00044408,99.3,0,0,0.7
E00044409,99,0,1,0
E00044410,100,0,0,0
E00044411,98.4,1.6,0,0
E00044412,96.6,1.7,0.9,0.9
E00044413,97.6,0,0.8,1.6
E00044414,97.1,1.9,0,1
E00044415,100,0,0,0
E00044416,100,0,0,0
E00044417,99.2,0.8,0,0
E00044419,97.5,0,0,2.5
E00044420,96.1,1,0,2.9
E00044421,98.5,1,0,0.5
E00044422,99.1,0.9,0,0
E00044423,96.4,0.9,0.9,1.8
E00044424,96.6,0.9,0,2.6
E00044425,100,0,0,0
E00044426,100,0,0,0
E00044427,99,1,0,0
E00044428,98.6,0,0,1.4
E00044429,97.3,2.7,0,0
E00044430,100,0,0,0
E00044431,99.3,0.7,0,0
E00044432,97.5,0.8,0,1.7
E00044433,97.4,0.9,0.9,0.9
E00044434,97.4,1.7,0,0.9
E00044435,99.1,0.9,0,0
E00044437,96.6,2.5,0,0.8
E00044438,98.2,1.8,0,0
E00044439,100,0,0,0
E00044440,97.9,1.1,0,1.1
E00044441,100,0,0,0
E00044442,99.3,0.7,0,0
E00044443,100,0,0,0
E00044444,100,0,0,0
E00044445,99.3,0.7,0,0
E00044446,98.3,0.8,0,0.8
E00044447,100,0,0,0
E00044448,100,0,0,0
E00044449,100,0,0,0
E00044451,99.5,0,0.5,0
E00044452,99.2,0,0,0.8
E00044454,97.7,0.8,0,1.5
E00044455,99.5,0,0,0.5
E00044457,100,0,0,0
E00044458,98.8,0,0,1.2
E00044460,98.8,1.2,0,0
E00044461,96.9,3.1,0,0
E00044497,97.6,0,0,2.4
E00044505,100,0,0,0
E00044508,99.2,0.8,0,0
E00044509,100,0,0,0
E00044510,100,0,0,0
E00044512,99.2,0.8,0,0
E00044513,100,0,0,0
E00044514,99.2,0.8,0,0
E00044515,99.2,0,0.8,0
E00044542,99.2,0.8,0,0
E00044543,96.9,0.8,0,2.3
E00044544,99.2,0.8,0,0
E00044545,98.9,0,0,1.1
E00044546,99.2,0.8,0,0
E00044547,96.5,2.7,0,0.9
E00044548,99.2,0.8,0,0
E00044549,100,0,0,0
E00044550,99.2,0,0,0.8
E00044551,99.2,0.8,0,0
E00044552,99.2,0,0,0.8
E00044553,99.2,0,0,0.8
E00044554,100,0,0,0
E00044555,97.9,0,1.1,1.1
E00044556,98.3,0.8,0.8,0
E00044557,99.2,0.8,0,0
E00044558,98.3,0.9,0,0.9
E00044563,100,0,0,0
E00044565,100,0,0,0
E00044568,99.2,0,0,0.8
E00044569,95.9,1.6,0.8,1.6
E00044570,100,0,0,0
E00044571,100,0,0,0
E00044572,100,0,0,0
E00044573,97.4,0.9,0,1.7
E00044574,99.4,0,0,0.6
E00044575,98.1,1.9,0,0
E00044576,98.5,0,0,1.5
E00044577,100,0,0,0
E00044649,99.1,0,0,0.9
E00044650,99.3,0.7,0,0
E00044651,96.9,2.1,0.5,0.5
E00044652,100,0,0,0
E00044653,99.3,0,0,0.7
E00044655,99.1,0.9,0,0
