areacd,disability_3a-001,disability_3a-002
E00016675,10.1,89.9
E00016679,20.7,79.3
E00016680,31.3,68.7
E00016684,8.5,91.5
E00016687,11.9,88.1
E00016689,19,81
E00016693,9.3,90.7
E00016701,14.6,85.4
E00016706,13,87
E00016708,14.6,85.4
E00016709,16.6,83.4
E00016714,14.6,85.4
E00016725,5.4,94.6
E00016879,14.9,85.1
E00016881,10.7,89.3
E00016884,16.5,83.5
E00016885,16.6,83.4
E00016887,14.5,85.5
E00016889,10.9,89.1
E00016890,15.6,84.4
E00016893,16.2,83.8
E00016895,18.9,81.1
E00016896,12.8,87.2
E00016898,13.8,86.2
E00016901,14.3,85.7
E00016904,11.4,88.6
E00016908,23,77
E00016911,18.5,81.5
E00016912,18.6,81.4
E00016915,13.8,86.2
E00016916,14,86
E00016918,12.5,87.5
E00016920,17,83
E00016921,19.2,80.8
E00016922,14.2,85.8
E00016923,13.8,86.2
E00016925,9.1,90.9
E00016926,16.6,83.4
E00019685,15.7,84.3
E00019686,16.5,83.5
E00019688,14.3,85.7
E00019689,13.4,86.6
E00019690,11.6,88.4
E00019691,11.7,88.3
E00019692,14.1,85.9
E00019696,17,83
E00019697,9,91
E00019698,9,91
E00019699,17.7,82.3
E00019700,15,85
E00019701,18.9,81.1
E00019702,13.8,86.2
E00019704,13.3,86.7
E00019705,10,90
E00019706,13,87
E00019707,14.3,85.7
E00019709,12.9,87.1
E00019710,12.6,87.4
E00019712,14.1,85.9
E00019713,20.3,79.7
E00019714,11.2,88.8
E00019716,11.1,88.9
E00019717,12.8,87.2
E00019719,13.6,86.4
E00019720,11.7,88.3
E00019721,9.8,90.2
E00019730,17.6,82.4
E00019888,13,87
E00019898,13.8,86.2
E00019900,16.2,83.8
E00019901,13.3,86.7
E00019902,13,87
E00019903,9.9,90.1
E00019904,11.9,88.1
E00019905,10.1,89.9
E00019906,13.9,86.1
E00019907,10.5,89.5
E00019908,12.9,87.1
E00019909,10.1,89.9
E00019910,10.5,89.5
E00019911,13.8,86.2
E00019912,13.2,86.8
E00019913,10.5,89.5
E00019914,7.3,92.7
E00019915,28.5,71.5
E00019916,12.8,87.2
E00019920,6.6,93.4
E00020054,13.6,86.4
E00020055,14.3,85.7
E00020056,17.3,82.7
E00020062,18.1,81.9
E00020065,11.1,88.9
E00020068,12.2,87.8
E00020069,13.9,86.1
E00020070,9.9,90.1
E00020071,11.2,88.8
E00020072,23.5,76.5
E00020073,15.2,84.8
E00020074,16.5,83.5
E00020075,22.6,77.4
E00020076,12.5,87.5
E00020077,17.5,82.5
E00020078,21.3,78.7
E00020079,23.9,76.1
E00020080,14.1,85.9
E00020081,10.6,89.4
E00020082,14.3,85.7
E00020083,16.8,83.2
E00020084,10.7,89.3
E00020140,16.9,83.1
E00020141,20.9,79.1
E00020142,18.1,81.9
E00020144,13.5,86.5
E00020145,18.5,81.5
E00020146,19.7,80.3
E00020147,12.4,87.6
E00020148,18.8,81.2
E00020149,13.9,86.1
E00020150,11.2,88.8
E00020151,16,84
E00020152,12,88
E00020153,19.4,80.6
E00020154,15.3,84.7
E00020155,18.3,81.7
E00020156,20,80
E00020157,18.8,81.3
E00020158,22,78
E00020161,15.3,84.7
E00020164,18.8,81.3
E00020165,15.4,84.6
E00020166,17,83
E00020167,18.5,81.5
E00020168,17.4,82.6
E00020169,17.3,82.7
E00020170,15.3,84.7
E00020171,15.7,84.3
E00020172,23.5,76.5
E00020173,26.5,73.5
E00020174,13.5,86.5
E00020175,32.2,67.8
E00020176,15.8,84.2
E00020177,16.7,83.3
E00020179,17.4,82.6
E00020180,16.9,83.1
E00020181,14.2,85.8
