areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00139175,11.8,48.8,23.6,15.7
E00139176,12.8,51.1,23.4,12.8
E00139178,8.2,38.8,38.8,14.1
E00139179,9,41.7,33.3,16
E00139180,11,40.9,38.3,9.7
E00139181,12,47.2,30.4,10.4
E00139182,20.3,52.8,22.8,4.1
E00139183,19.2,44.6,26.2,10
E00139184,36.2,49.6,12.6,1.6
E00139185,22.5,52.5,20.8,4.2
E00139186,4.6,49.5,41.3,4.6
E00139187,46,43.7,8.6,1.7
E00139188,5.8,46.2,37.2,10.9
E00139189,16.6,37.7,33.8,11.9
E00139190,26.8,43.9,22.8,6.5
E00139191,17.4,45.2,27.8,9.6
E00139192,17.7,53.1,20.4,8.8
E00139193,31.2,50.7,15.9,2.2
E00139194,21.3,48,23.6,7.1
E00139195,35.6,43.1,18.8,2.5
E00139196,41,41,12.9,5
E00139197,32.1,43.8,17.5,6.6
E00139198,7,41.9,41.9,9.3
E00139199,44.2,48.2,6,1.5
E00139200,45.9,38.3,14.3,1.5
E00139201,51.9,44.2,3.4,0.5
E00139202,23.3,50.7,16,10
E00139203,20,51.4,22.9,5.7
E00139204,44.5,44,7.9,3.7
E00139205,8.9,49.1,32.1,9.8
E00139206,20.7,54.3,21.6,3.4
E00139207,6,47,42,5
E00139208,10.3,40.8,37.5,11.4
E00139232,13.8,44.7,28.7,12.8
E00139233,4.9,47.6,35.4,12.2
E00139234,7.9,42.9,37.3,11.9
E00139235,6.7,44.4,35.6,13.3
E00139241,9.5,31,41.7,17.9
E00139242,1.9,30.1,46.2,21.8
E00139243,8.8,39.9,36.5,14.9
E00139249,14.5,39.5,35.5,10.5
E00139250,4.2,50.3,38.5,7
E00139251,10.9,41.2,37.6,10.3
E00139252,4,29.9,44.8,21.3
E00139253,5.6,40.8,38,15.6
E00139254,3.7,33.5,48.8,14
E00139289,12.7,50,26.5,10.8
E00139290,5.1,41,42.7,11.1
E00139291,11.9,45.8,33.1,9.3
E00139292,0,38,39.1,22.8
E00139293,20.3,43.2,29.7,6.8
E00139294,8.3,51.7,33.3,6.7
E00139295,3.5,47.4,38.6,10.5
E00139296,8.7,53.4,32,5.8
E00139297,19.2,48.7,23.1,9
E00139298,13.6,35.6,30.5,20.3
E00139299,6.6,44.4,37.7,11.3
E00139300,7.6,44.9,39,8.5
E00139301,11,50.6,22,16.5
E00139302,16.3,45,31.6,7.2
E00139303,14.6,52.8,27.6,4.9
E00139304,5.9,39.7,38.2,16.2
E00139305,4,39.7,42.5,13.8
E00139306,6,35,36.8,22.2
E00139307,1.7,51.7,33.3,13.3
E00139308,9.7,38.7,29,22.6
E00139315,52.4,41.1,2.7,3.8
E00139319,22.2,57.1,17.5,3.2
E00139320,42.1,46.2,9.7,2.1
E00139321,42.7,47.6,7.9,1.8
E00139322,44.8,47.9,6.1,1.2
E00139323,27.3,52.6,18.8,1.3
E00139328,8.5,47.2,30.2,14.2
E00139331,7.2,45.9,31.5,15.3
E00139332,14.9,44.7,29.8,10.6
E00139333,7.9,33.6,42.1,16.4
E00139334,7.2,40.6,41.3,10.9
E00139335,20.5,54.1,21.3,4.1
E00139336,13,45.5,35.1,6.5
E00139337,4.8,46.9,30.6,17.7
E00139338,12.6,47.8,29.6,10.1
E00139339,5.6,44,40,10.4
E00139340,11.6,39.5,36.7,12.2
E00139341,10.3,51.7,30.2,7.8
E00139342,8.6,51.5,35,4.9
E00139343,9.3,41.9,36,12.8
E00139345,8.4,41.3,38.9,11.4
E00139346,7.7,32.1,46.2,14.1
E00139347,10.2,40.8,38.8,10.2
E00139353,11.9,50.8,28.8,8.5
E00139354,31.6,47.4,19.3,1.8
E00139355,17.8,48.6,22.4,11.2
E00139356,12.9,59.1,23.7,4.3
E00139357,18.8,46.4,25,9.8
E00139358,10.4,53.9,26,9.7
E00139359,7.6,45.2,31.8,15.3
E00139360,15.1,58.8,23.5,2.5
E00139361,28,48.3,17.8,5.9
E00139362,23.5,42.6,29.6,4.3
E00139363,20.7,56.2,19.8,3.3
E00139364,20,47.2,28,4.8
E00139365,29.3,52,13,5.7
E00139366,34.1,46.2,19.7,0
E00139367,26,48.6,20.4,5
E00139368,47.3,41.2,8.4,3.1
E00139369,32.6,50,13.8,3.6
E00139371,44.7,43.9,9.8,1.6
E00139372,27,54.7,13.5,4.7
E00139374,9.2,46.1,29.8,14.9
E00139375,15.7,48.8,27.3,8.3
E00139376,12,63,23,2
E00139377,40.8,43.1,12.3,3.8
E00139378,26.4,47.3,21.7,4.7
E00139379,36.4,50,10.2,3.4
E00139380,24.2,50.8,16.4,8.6
E00139381,24.5,49,19.9,6.6
E00139382,27.3,44.6,18.2,9.9
E00139383,25.1,48.6,20,6.3
E00139384,12.9,53.4,26.7,6.9
E00139385,32.3,41.9,20.2,5.6
E00139386,35.1,48.5,13.4,3
E00139387,14.2,62.3,19.3,4.2
E00139388,11,53,23.2,12.7
E00139389,23.9,47,21.6,7.5
E00139390,36.5,48.1,12.5,2.9
E00139391,19.1,47.1,20.6,13.2
E00139392,20.6,56.7,17,5.7
E00139393,17.2,45.7,25.9,11.2
E00176349,5.3,41.6,37.2,15.9
E00190015,40.8,43.3,12.7,3.2
E00190031,7.4,44.4,39.5,8.6
E00190042,3.1,36.2,48.8,11.8
E00190105,38,39.7,17.4,5
