geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00041473,38.6,41.4,1.4,18.6
E00041474,36.6,23.7,4.6,35.1
E00041475,48.5,17.7,10,23.8
E00041476,54.4,34,3.9,7.8
E00041479,20,10,60,10
E00041480,21.9,10.3,51.4,16.4
E00041481,57,28.9,0.7,13.3
E00041482,39.2,25.4,20,15.4
E00041491,44.5,17.2,26.6,11.7
E00041495,34.3,37.1,1.4,27.1
E00041498,39.3,33,4.7,23
E00041499,6.9,6.9,84.1,2.1
E00041500,28.6,12.7,16.7,42.1
E00041501,24.8,13.9,13.1,48.2
E00041502,35.9,28.2,2.6,33.3
E00041503,29,19.6,13.1,38.3
E00041505,32.8,14.3,7.6,45.4
E00041536,47.4,36.8,3,12.8
E00041537,39.9,39.9,1.4,18.9
E00041538,50.7,30.3,3.5,15.5
E00041539,41.4,29.3,1.7,27.6
E00041540,34.8,59.2,0.5,5.5
E00041541,64.8,32.4,1,1.9
E00041542,24.1,18.2,40.1,17.5
E00041543,67,28.9,0,4.1
E00041545,62.9,31.5,0,5.6
E00041546,40.5,33.6,3.4,22.4
E00041547,40.5,45.1,0,14.4
E00041549,22.8,29.1,39.9,8.2
E00041550,33.3,44.7,0.8,21.2
E00041551,42.3,40.9,0.7,16.1
E00041552,32.9,36.7,17.7,12.7
E00041553,44,36.6,5.2,14.2
E00041554,41.7,35.2,0,23.1
E00041555,28.5,32.5,27.6,11.4
E00041556,26.7,32.2,17.8,23.3
E00041557,30.8,42.9,4.2,22.1
E00041558,39.2,29.6,18.4,12.8
E00041559,60.7,32.1,1.8,5.4
E00041560,19,16,60,5
E00041561,55.5,26.6,5.5,12.5
E00041563,47.7,35.6,2.3,14.4
E00041564,21.4,45.3,29.2,4.2
E00041565,34,25.2,24.3,16.5
E00041566,15.9,49.7,27.2,7.3
E00041567,47.6,23.8,0.8,27.8
E00041568,28.2,35.9,2.6,33.3
E00041569,37.2,35.7,4.7,22.5
E00041570,50.8,30.5,0.8,18
E00041813,37.2,17.7,28.3,16.8
E00041815,55,36.4,0.8,7.8
E00041817,53.8,36.2,1.5,8.5
E00041820,8.3,19.4,63,9.3
E00041821,44.9,39,2.5,13.6
E00041823,22.3,25.4,42.3,10
E00041824,39.5,38.7,15.3,6.5
E00041825,35.2,37.7,18,9
E00041826,57.4,23.3,10.1,9.3
E00041829,57.5,28.3,4.2,10
E00041831,51.2,40.5,0.8,7.4
E00041832,23.3,30,35.8,10.8
E00041836,30.2,15.5,48.8,5.4
E00041838,56.7,36.2,0,7.1
E00041840,55.5,33.6,1.7,9.2
E00041844,72.8,24,0.8,2.4
E00104652,14.2,30.8,41.7,13.3
E00104653,55.6,25.4,5.6,13.5
E00104654,39.9,34.1,2.2,23.9
E00104655,31.4,23.1,38.8,6.6
E00104656,45.9,37.6,1.3,15.3
E00104657,52,37.6,0.8,9.6
E00104658,19.8,17.2,41.4,21.6
E00104659,42.1,29.7,0.7,27.6
E00104661,52,32,2,14
E00104662,51.7,34.4,7.7,6.2
E00104663,43.6,48.9,0.8,6.8
E00104664,57.4,22.7,3.5,16.3
E00104665,38,28.8,5.4,27.7
E00104666,35.6,32.6,12.1,19.7
E00104667,36.8,28.7,7.4,27.2
E00104668,16.1,22.4,46.9,14.7
E00104669,36.2,27.6,7.8,28.4
E00104670,54.8,33.9,3.2,8.1
E00104671,44.4,34.2,12,9.4
E00104672,41.8,37.7,2.5,18
E00104673,35.4,37,13.4,14.2
E00104674,27,21.4,30.2,21.4
E00104675,27.6,30.9,32.5,8.9
E00104676,31.5,33.6,0.7,34.3
E00104677,9.5,6.6,69.3,14.6
E00104678,54.4,43,0,2.7
E00104679,15.7,24.1,47,13.3
E00104680,32.5,19,27,21.4
E00104681,37.4,28.5,29.3,4.9
E00104682,37.6,34.8,2.1,25.5
E00104683,16.5,15,58.3,10.2
E00104705,31.5,39.4,21.3,7.9
E00104706,60.1,27.3,0,12.6
E00104707,43.9,41.3,0.6,14.2
E00104708,55.9,32.4,2.9,8.8
E00104709,56.5,33.9,0.8,8.9
E00104710,34,34,2.1,29.8
E00104721,28.8,22.7,10.6,37.9
E00104722,39.1,29.7,2.2,29
E00104723,38.2,23.5,0.7,37.5
E00104725,42.2,42.8,4.4,10.6
E00104726,45.6,41.9,0.5,12
E00104727,25.3,28,2,44.7
E00104729,21,26.8,14.7,37.5
E00104731,33.5,18.3,18.3,29.9
E00104732,26.4,25.7,16,31.9
E00104733,10,10.8,61.5,17.7
E00104734,22.6,32.6,13.6,31.2
E00104735,25,34.2,25.5,15.2
E00104736,45.9,39.3,0.8,13.9
E00104737,40.2,37,3.1,19.7
E00104738,46.1,40,7.8,6.1
E00104739,39,32,1,28
E00104740,35.5,25.8,21.8,16.9
E00104741,38.6,27.9,5,28.6
E00104742,21.4,19.8,43.7,15.1
E00104743,27.3,38.3,13.6,20.8
E00104744,21.4,23.8,42.1,12.7
E00104745,16.6,31,31.7,20.7
E00104746,32.8,32.1,17.5,17.5
E00104749,22,22.8,30.9,24.4
E00104750,12.8,20.3,48.1,18.8
E00104751,9.8,29.5,50,10.6
E00104752,31.4,25.7,25.7,17.1
E00104758,54.2,32.2,4.2,9.3
E00104775,24.2,32.3,25,18.5
E00104776,36.9,27,18,18
E00104777,63.9,27,1.6,7.4
E00104778,48.9,32.1,3.8,15.3
E00104779,30,30.4,15.2,24.4
E00104780,45.7,16.5,24.4,13.4
E00104781,33.7,21.7,27.7,16.9
E00104782,51.6,34.4,5.5,8.6
E00104785,20.2,25.8,32.3,21.8
E00104786,22.1,19.1,44.3,14.5
E00104787,29.8,26.7,17.6,26
E00104788,37,21.7,19.6,21.7
E00104789,54.5,34.1,3.3,8.1
E00104790,24.2,25.8,24.2,25.8
E00104791,25,28.7,27.9,18.4
E00104793,23.8,19.6,40.6,16.1
E00104794,39.8,43,5.5,11.7
E00104801,25.5,22.4,42.9,9.3
E00104802,46.5,27.9,15.5,10.1
E00104803,11.7,25.8,48.3,14.2
E00104804,41.1,41.1,5.7,12.1
E00104805,51,36.9,1.9,10.2
E00104806,53.4,35.3,0,11.2
E00104807,51.2,29.8,14,5
E00104808,31.5,39.6,14.4,14.4
