geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00041473,96.6,3.4,0
E00041474,97.9,1.2,0.8
E00041475,99.6,0.4,0
E00041476,99.6,0.4,0
E00041479,98.3,1.7,0
E00041480,99.3,0.3,0.3
E00041481,98.3,1.7,0
E00041482,98.5,0.7,0.7
E00041491,96.8,2.8,0.4
E00041495,98.7,0.3,1
E00041498,99.3,0.7,0
E00041499,94.4,3.8,1.7
E00041500,99.6,0.4,0
E00041501,99.6,0,0.4
E00041502,98.2,1.4,0.5
E00041503,96.3,3.7,0
E00041505,98.5,1.5,0
E00041536,100,0,0
E00041537,99.4,0.6,0
E00041538,99.6,0.4,0
E00041539,100,0,0
E00041540,98.8,1.2,0
E00041541,100,0,0
E00041542,99.1,0.9,0
E00041543,100,0,0
E00041545,100,0,0
E00041546,99.6,0,0.4
E00041547,99.4,0.6,0
E00041549,99.2,0.8,0
E00041550,99,1,0
E00041551,97.4,2.3,0.3
E00041552,99.4,0.6,0
E00041553,99.3,0.3,0.3
E00041554,100,0,0
E00041555,100,0,0
E00041556,98.9,1.1,0
E00041557,99.3,0.7,0
E00041558,99.2,0.8,0
E00041559,98.8,1.2,0
E00041560,100,0,0
E00041561,98.9,1.1,0
E00041563,98.1,1.9,0
E00041564,99.3,0.7,0
E00041565,99.6,0.4,0
E00041566,100,0,0
E00041567,97.7,2.3,0
E00041568,98.1,1.9,0
E00041569,100,0,0
E00041570,99.2,0.4,0.4
E00041813,99.2,0.8,0
E00041815,99.6,0.4,0
E00041817,99,1,0
E00041820,99.6,0.4,0
E00041821,98.1,1.5,0.4
E00041823,96.8,1.8,1.4
E00041824,97.3,2.4,0.3
E00041825,99.2,0.4,0.4
E00041826,99.2,0.8,0
E00041829,98.4,0.8,0.8
E00041831,99,1,0
E00041832,98.6,1.4,0
E00041836,99.1,0.9,0
E00041838,97.9,2.1,0
E00041840,97.6,2.4,0
E00041844,99.3,0.7,0
E00104652,96.3,3.1,0.6
E00104653,99.6,0.4,0
E00104654,98,2,0
E00104655,96.1,3.5,0.4
E00104656,98.8,0.9,0.3
E00104657,98.6,1.1,0.4
