geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00060556,88.3,2.7,9
E00060557,85.5,2.3,12.2
E00060558,84.8,2.1,13.1
E00060559,82.5,3.3,14.2
E00060560,81.2,4.3,14.5
E00060561,84.3,1.3,14.3
E00060562,88.3,1.5,10.2
E00060563,88.8,1.7,9.6
E00060564,92.2,2.7,5.1
E00060565,90.1,2,7.9
E00060566,88.9,0,11.1
E00060567,82.4,1.7,15.9
E00060568,89.9,1.4,8.7
E00060569,84.6,2.5,12.9
E00060570,89.5,4.8,5.7
E00060571,87.2,2.5,10.4
E00060572,77.5,1.6,20.9
E00060573,88.2,2,9.8
E00060574,82,5,13
E00060575,84.2,1.6,14.2
E00060576,75.7,2,22.3
E00060577,83,4.5,12.5
E00060578,86.1,5.5,8.3
E00060579,70.2,9.3,20.5
E00060580,60.1,10.3,29.6
E00060581,71.3,2.5,26.2
E00060582,68.1,8.3,23.6
E00060583,72.9,5.5,21.5
E00060584,69,3.9,27
E00060585,68.3,4.9,26.8
E00060586,78.1,2.3,19.5
E00060587,64,4.3,31.7
E00060588,68,9.3,22.7
E00060589,66.7,10.5,22.8
E00060590,69.1,4.4,26.5
E00060591,66.2,5,28.8
E00060592,70.5,5.1,24.4
E00060593,68.7,1.1,30.2
E00060594,83.2,0.3,16.5
E00060595,83.3,0,16.7
E00060596,71.7,1.4,26.9
E00060597,82.6,1.8,15.5
E00060598,78.3,0,21.7
E00060599,65.6,1.5,32.8
E00060600,83.9,0,16.1
E00060601,76.4,0.8,22.8
E00060602,62.7,2.5,34.8
E00060603,72.2,2.2,25.6
E00060604,85.9,0.4,13.7
E00060605,83.3,0,16.7
E00060606,70.4,5.7,23.9
E00060607,72.2,3.8,23.9
E00060608,73.8,2.4,23.8
E00060609,71.1,3.4,25.5
E00060610,65.7,2.4,31.9
E00060611,72.3,0,27.7
E00060612,72,2.9,25.1
E00060613,47.7,3.9,48.4
E00060614,59,6.7,34.3
E00060615,70.8,1.9,27.3
E00060616,61.9,0.8,37.3
E00060617,66.8,5.1,28.1
E00060618,73,2,25
E00060619,67.9,3.8,28.2
E00060620,61.7,6,32.3
E00060621,70.7,7,22.3
E00060622,81.5,2,16.5
E00060623,64.1,2.8,33.1
E00060624,67.1,2.4,30.4
E00060625,70.7,3.8,25.5
E00060627,64.2,7.8,28
E00060628,66.1,3.1,30.7
E00060629,65.3,8.9,25.8
E00060630,71.4,5.7,22.9
E00060631,70.6,2.8,26.6
E00060632,86.1,0.7,13.2
E00060633,82.1,0.4,17.5
E00060634,81.3,1.9,16.8
E00060635,82.6,3.2,14.2
E00060636,85.5,1.3,13.2
E00060637,86.9,1.8,11.3
E00060638,86.1,2.9,11
E00060639,88.4,1.6,10
E00060640,83.6,1,15.4
E00060641,91.2,0.4,8.5
E00060643,84.9,1.7,13.4
E00060644,83.9,2,14.1
E00060645,83.6,0.4,16
E00060646,90.1,0.3,9.6
E00060647,85.7,2.2,12.1
E00060648,83.8,1.9,14.3
E00060649,81.3,0.4,18.4
E00060650,84.4,2.4,13.2
E00060651,59.9,11.8,28.3
E00060652,85.3,3.8,10.9
E00060656,56.5,13.2,30.3
E00060659,78.3,5.1,16.5
E00060660,80.3,8.7,11
E00060661,80.9,4.3,14.7
E00060663,84,1.3,14.7
E00060664,64.7,4.5,30.7
E00060665,78,3.6,18.4
E00060666,72.7,3.9,23.4
E00060667,47.4,15.6,37
E00060668,61.9,9.4,28.8
E00060669,57.6,11.7,30.7
E00060670,86.8,0.6,12.6
E00060671,60.4,1.4,38.2
E00060672,78.5,2.2,19.3
E00060673,85.8,4,10.1
E00060674,79,0.3,20.7
E00060675,89.4,1.6,8.9
E00060676,92.6,0.6,6.8
E00060677,75.3,1.3,23.3
E00060678,89,0,11
E00060679,92.8,0.6,6.6
E00060680,92,1,7
E00060681,94,0.5,5.5
E00060682,83.1,1.5,15.4
E00060683,75,1,24
E00060684,74.4,0.9,24.8
E00060685,93.1,0.7,6.2
E00060686,79.5,1.3,19.2
