geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00060556,14.4,47.7,28.8,9.1
E00060557,17.3,46.6,28.6,7.5
E00060558,15.5,52.8,26.8,4.9
E00060559,16.5,41.7,32.3,9.4
E00060560,12.1,42.1,38.6,7.1
E00060561,15.7,48.5,29.9,6
E00060562,12.5,44.2,34.2,9.2
E00060563,8.6,31.1,45,15.2
E00060564,6.5,25.8,41.1,26.6
E00060565,8.1,38.5,39.3,14.1
E00060566,19.7,43.3,26,11
E00060567,13.2,49.3,28.7,8.8
E00060568,13.9,30.7,43.1,12.4
E00060569,20.9,47.2,24.5,7.4
E00060570,13,46.6,34.9,5.5
E00060571,15.8,57.4,24.2,2.6
E00060572,26.2,53.8,16.2,3.8
E00060573,9.3,39.9,39.4,11.4
E00060574,14.7,34.9,38.8,11.6
E00060575,14.7,52.7,24,8.5
E00060576,38.6,39.4,18.9,3.1
E00060577,13.1,42.6,33.6,10.7
E00060578,6.5,30.6,43.5,19.4
E00060579,33.3,44.4,19,3.3
E00060580,37.4,46.2,15.4,1.1
E00060581,32.9,41.8,17.8,7.5
E00060582,37.4,47.3,11.5,3.8
E00060583,52.2,34.8,9.4,3.6
E00060584,32,48,15.2,4.8
E00060585,43.4,39.3,12.3,4.9
E00060586,33.3,43.6,18.8,4.3
E00060587,40.5,44.8,11.2,3.4
E00060588,29.7,47.7,18.9,3.6
E00060589,30.8,51.4,14.4,3.4
E00060590,41.1,47.6,9.2,2.2
E00060591,54.1,31.5,10.3,4.1
E00060592,46.8,37.9,10.5,4.8
E00060593,43.8,39.2,13.1,3.8
E00060594,23.9,46.4,23.2,6.5
E00060595,18.9,50,19.7,11.5
E00060596,51.5,26.4,19,3.1
E00060597,24,52.9,17.4,5.8
E00060598,43,37.4,16.8,2.8
E00060599,47.4,37.1,13.8,1.7
E00060600,39.8,43.2,12.7,4.2
E00060601,55.6,33.3,8.7,2.4
E00060602,83.6,14.7,0.9,0.9
E00060603,35.5,49.1,11.8,3.6
E00060604,29.9,46,20.4,3.6
E00060605,22.8,40.7,23.6,13
E00060606,45.9,35.1,16.2,2.7
E00060607,39.1,41.3,13,6.5
E00060608,50,41.7,6.5,1.9
E00060609,48.3,37.2,13.1,1.4
E00060610,61.7,32.3,4.5,1.5
E00060611,56.7,30,5.8,7.5
E00060612,48.9,38.3,9.8,3
E00060613,69.3,27.6,1.6,1.6
E00060614,49.2,38.5,9.8,2.5
E00060615,50,38.5,10.7,0.8
E00060616,61.1,29.2,8.3,1.4
E00060617,29.2,45,20.8,5
E00060618,53.4,36.9,6.8,2.9
E00060619,56,31.2,12,0.8
E00060620,43.3,37,18.1,1.6
E00060621,40,42.1,12.1,5.7
E00060622,21.8,54.1,13.5,10.5
E00060623,50.4,31.2,16,2.4
E00060624,51.7,33.1,13.1,2.1
E00060625,40.7,41.5,9.8,8.1
E00060627,38.9,39.8,15.9,5.3
E00060628,56.3,32.5,10.3,0.8
E00060629,49.5,37.1,13.3,0
E00060630,34.4,42.6,18.9,4.1
E00060631,50.4,40.9,7.3,1.5
E00060632,16,49.6,28,6.4
E00060633,28.8,36.9,22.5,11.7
E00060634,13.1,49.2,26.9,10.8
E00060635,16.7,59.1,17.4,6.8
E00060636,7.6,51.1,30.5,10.7
E00060637,9.4,58.6,23.4,8.6
E00060638,20,51.1,24.4,4.4
E00060639,18.5,49.2,25.4,6.9
E00060640,19.3,48.4,23,9.3
E00060641,9.2,52.5,30.8,7.5
E00060643,13.5,40.5,37.3,8.6
E00060644,9.8,51.9,29,9.3
E00060645,12.2,47,32.2,8.7
E00060646,11.7,51.6,25.8,10.9
E00060647,14.1,45.2,34.1,6.7
E00060648,15.7,41.7,30.7,11.8
E00060649,20.7,51.9,21.5,5.9
E00060650,11.3,46.8,34.7,7.3
E00060651,40.8,45.5,11,2.6
E00060652,15.6,41.4,35.2,7.8
E00060656,45.4,44,9.2,1.4
E00060659,17.1,45.5,27.6,9.8
E00060660,30.4,48.2,19.6,1.8
E00060661,20.4,52.2,23.6,3.8
E00060663,29.3,47.2,18.7,4.9
E00060664,51.1,39.9,7.3,1.7
E00060665,26.7,45.4,23.8,4.2
E00060666,55.2,27.3,13.7,3.8
E00060667,54,33.9,8.9,3.2
E00060668,51.1,36.1,12,0.8
E00060669,63,29.2,6.5,1.3
E00060670,12.5,45.3,28.1,14.1
E00060671,53.4,45,1.5,0
E00060672,34.4,46.1,17.2,2.3
