areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00111605,95.9,4.1
E00111606,94.8,5.2
E00111607,98.7,1.3
E00111608,96.5,3.5
E00111609,96.9,3.1
E00111610,96.6,3.4
E00111611,95.1,4.9
E00111612,96.3,3.7
E00111628,96.7,3.3
E00111629,98.6,1.4
E00111630,96.7,3.3
E00111631,97.2,2.8
E00111632,98,2
E00111633,96.9,3.1
E00111634,94.9,5.1
E00111677,97,3
E00111678,94.5,5.5
E00111679,95.2,4.8
E00111680,96.5,3.5
E00111681,94.4,5.6
E00111682,93.1,6.9
E00111684,97.4,2.6
E00111707,95.7,4.3
E00111708,94.9,5.1
E00111709,93.9,6.1
E00111710,96.7,3.3
E00111711,92.8,7.2
E00111712,97.7,2.3
E00111713,98.6,1.4
E00111714,96,4
E00111715,97.4,2.6
E00111716,94.2,5.8
E00111717,96.6,3.4
E00111718,97.5,2.5
E00111719,94.9,5.1
E00111720,95.4,4.6
E00111721,96.2,3.8
E00111722,95.4,4.6
E00111723,96.2,3.8
E00111724,95.9,4.1
E00111725,96.2,3.8
E00111726,95.2,4.8
E00111727,93.7,6.3
E00111728,99.6,0.4
E00111729,95.4,4.6
E00111730,95.4,4.6
E00111731,94.6,5.4
E00111732,93.8,6.2
E00111733,99,1
E00111734,95.2,4.8
E00111735,96.5,3.5
E00111736,93.8,6.3
E00111737,96.3,3.7
E00111738,97.3,2.7
E00111739,95.4,4.6
E00111740,94.9,5.1
E00111741,91.1,8.9
E00111742,94.3,5.7
E00111743,88.1,11.9
E00111744,94.4,5.6
E00111745,94.7,5.3
E00111746,94.8,5.2
E00111747,94,6
E00111748,96.6,3.4
E00111749,94.1,5.9
E00111750,94.2,5.8
E00111751,87.9,12.1
E00111752,83,17
E00111753,96.2,3.8
E00111754,96.9,3.1
E00111755,94.4,5.6
E00111756,94.3,5.7
E00111757,99.2,0.8
E00111758,94,6
E00111759,94.8,5.2
E00111760,97,3
E00111761,97.7,2.3
E00111762,94.4,5.6
E00111763,96.4,3.6
E00111764,94.9,5.1
E00111765,99.3,0.7
E00111766,99,1
E00111767,96.5,3.5
E00111769,96.5,3.5
E00111770,96,4
E00111771,98.8,1.2
E00111772,95.3,4.7
E00111773,94.7,5.3
E00111774,97.3,2.7
E00111775,98.1,1.9
E00111776,94.9,5.1
E00111777,95.6,4.4
E00111778,97.2,2.8
E00111779,94.6,5.4
E00111780,100,0
E00111781,96.8,3.2
E00111782,95.9,4.1
E00111783,96,4
E00111784,95.4,4.6
E00111785,95.8,4.2
E00111786,94.8,5.2
E00111787,97,3
E00111788,96.6,3.4
E00111789,93.6,6.4
E00111790,97.4,2.6
E00111791,95.4,4.6
E00111792,95.5,4.5
E00111793,95.1,4.9
E00111794,93,7
E00111795,93.6,6.4
E00111796,97,3
E00111805,98.3,1.7
E00111806,94.7,5.3
E00111810,93.3,6.7
E00111811,96.4,3.6
E00111812,96.2,3.8
E00111813,98.1,1.9
E00111814,94.6,5.4
E00111815,97.1,2.9
E00111816,96.3,3.7
E00111817,95,5
E00111818,98,2
E00111819,96.2,3.8
E00111820,98,2
E00111821,95,5
E00111822,98.1,1.9
E00111823,93.9,6.1
E00111824,97,3
E00111825,94.3,5.7
E00111826,96,4
E00111827,97.2,2.8
E00111828,92.3,7.7
E00111829,94.9,5.1
E00111835,95.3,4.7
E00111844,97.9,2.1
E00111845,96.5,3.5
E00111846,98.2,1.8
E00111854,96.2,3.8
E00111855,95,5
E00111856,91.9,8.1
E00111857,96.4,3.6
E00111858,96.8,3.2
E00111859,97.3,2.7
E00111860,96.9,3.1
E00111861,92.4,7.6
E00111862,97,3
E00111863,95.4,4.6
E00111864,91.3,8.7
E00111865,96,4
E00111866,97.7,2.3
