areacd,in_full_time_education-001,in_full_time_education-002
E00111605,16.6,83.4
E00111606,19.9,80.1
E00111607,15.1,84.9
E00111608,18.4,81.6
E00111609,14.4,85.6
E00111610,13.6,86.4
E00111611,17.6,82.4
E00111612,18.2,81.8
E00111628,18.6,81.4
E00111629,16.7,83.3
E00111630,15.9,84.1
E00111631,20.5,79.5
E00111632,13.7,86.3
E00111633,14,86
E00111634,14.6,85.4
E00111677,4.5,95.5
E00111678,3,97
E00111679,12.4,87.6
E00111680,14.8,85.2
E00111681,10.5,89.5
E00111682,14,86
E00111684,11.7,88.3
E00111707,17.5,82.5
E00111708,17.2,82.8
E00111709,12.4,87.6
E00111710,18.4,81.6
E00111711,15.8,84.2
E00111712,18.3,81.7
E00111713,19.1,80.9
E00111714,12.2,87.8
E00111715,19.5,80.5
E00111716,17.5,82.5
E00111717,15.2,84.8
E00111718,16.3,83.7
E00111719,17.5,82.5
E00111720,16.9,83.1
E00111721,14.1,85.9
E00111722,8.8,91.2
E00111723,15.4,84.6
E00111724,4.6,95.4
E00111725,6.2,93.8
E00111726,15.1,84.9
E00111727,9.3,90.7
E00111728,15.2,84.8
E00111729,17.9,82.1
E00111730,17.9,82.1
E00111731,11.6,88.4
E00111732,9.5,90.5
E00111733,6.2,93.8
E00111734,10.1,89.9
E00111735,13,87
E00111736,22.6,77.4
E00111737,16.5,83.5
E00111738,11.5,88.5
E00111739,19.9,80.1
E00111740,16.3,83.7
E00111741,13.1,86.9
E00111742,12.4,87.6
E00111743,13.8,86.2
E00111744,18.9,81.1
E00111745,20.8,79.2
E00111746,13.2,86.8
E00111747,19.7,80.3
E00111748,14.5,85.5
E00111749,19.5,80.5
E00111750,22.5,77.5
E00111751,20.2,79.8
E00111752,14.8,85.2
E00111753,13.8,86.2
E00111754,21.8,78.2
E00111755,25.1,74.9
E00111756,16.3,83.7
E00111757,14.3,85.7
E00111758,5.5,94.5
E00111759,17.4,82.6
E00111760,18.1,81.9
E00111761,20.1,79.9
E00111762,15.9,84.1
E00111763,2.8,97.2
E00111764,9.3,90.7
E00111765,13.2,86.8
E00111766,20.5,79.5
E00111767,14.2,85.8
E00111769,5.1,94.9
E00111770,15.9,84.1
E00111771,16.9,83.1
E00111772,19.4,80.6
E00111773,25.9,74.1
E00111774,18.3,81.7
E00111775,9.4,90.6
E00111776,15.2,84.8
E00111777,12.8,87.2
E00111778,13.8,86.2
E00111779,13.4,86.6
E00111780,20.1,79.9
E00111781,20.2,79.8
E00111782,15.3,84.7
E00111783,19.9,80.1
E00111784,15.2,84.8
E00111785,12.4,87.6
E00111786,13.9,86.1
E00111787,14.8,85.2
E00111788,21.4,78.6
E00111789,23.5,76.5
E00111790,28,72
E00111791,23.1,76.9
E00111792,9,91
E00111793,23.8,76.2
E00111794,17.9,82.1
E00111795,21.7,78.3
E00111796,25.2,74.8
E00111805,22.2,77.8
E00111806,13,87
E00111810,14.3,85.7
E00111811,10.5,89.5
E00111812,12.3,87.7
E00111813,14.6,85.4
E00111814,17.9,82.1
E00111815,7.7,92.3
E00111816,18,82
E00111817,10,90
E00111818,9.5,90.5
E00111819,21,79
E00111820,14.2,85.8
E00111821,5.9,94.1
E00111822,3.4,96.6
E00111823,14.6,85.4
E00111824,7.4,92.6
E00111825,11.5,88.5
E00111826,13.8,86.2
E00111827,5.6,94.4
E00111828,13.5,86.5
E00111829,18.2,81.8
E00111835,19.2,80.8
E00111844,11.8,88.2
E00111845,19.8,80.2
E00111846,15.4,84.6
E00111854,13.1,86.9
E00111855,14.6,85.4
E00111856,16.3,83.7
E00111857,19,81
E00111858,14.2,85.8
E00111859,11.1,88.9
E00111860,16,84
E00111861,7.1,92.9
E00111862,14.5,85.5
E00111863,12.2,87.8
E00111864,20.9,79.1
E00111865,16.9,83.1
E00111866,20.7,79.3
E00111867,8.7,91.3
E00111868,14.4,85.6
E00111869,12.1,87.9
E00111870,7.5,92.5
E00111871,15.6,84.4
E00111873,14.2,85.8
E00111874,15.7,84.3
E00111875,22.3,77.7
E00111909,14.9,85.1
E00111910,16.6,83.4
E00111911,12.6,87.4
E00111912,18.6,81.4
E00111913,24.6,75.4
E00111914,16.6,83.4
E00111915,24.3,75.7
E00111916,18.7,81.3
E00112049,18.4,81.6
E00112050,10.6,89.4
E00112051,4.7,95.3
E00112052,15.4,84.6
E00112053,6.9,93.1
E00112054,13.7,86.3
E00112055,9.6,90.4
E00112056,19.9,80.1
E00112057,16.5,83.5
E00112058,11.9,88.1
E00112059,9.1,90.9
E00112060,21.2,78.8
E00112061,9.7,90.3
E00112062,17,83
E00112063,17.2,82.8
E00112064,21.1,78.9
E00152200,12.8,87.2
E00152201,16.7,83.3
E00152202,16.8,83.2
E00152203,28.1,71.9
E00152204,16.7,83.3
E00152205,18.6,81.4
E00152206,14.6,85.4
E00152207,17.6,82.4
E00152208,13.3,86.7
E00152209,9.9,90.1
E00152210,15.3,84.7
E00152211,15.8,84.2
E00152212,16.6,83.4
E00152213,16.9,83.1
E00152214,14.5,85.5
E00152215,11.7,88.3
E00152216,6.8,93.2
E00152217,13.2,86.8
E00152218,27.4,72.6
E00152219,10.5,89.5
E00152220,10.1,89.9
E00152221,13.2,86.8
E00152222,16.8,83.2
E00152223,19.3,80.7
E00152224,11.6,88.4
E00152225,13.7,86.3
E00152226,9.8,90.2
E00152227,19.3,80.7
E00152228,14.2,85.8
E00152229,20.7,79.3
E00152244,17.1,82.9
E00152249,16,84
E00152254,13.8,86.2
E00152255,16,84
E00152256,17.9,82.1
E00152257,11.9,88.1
E00152258,17.6,82.4
E00152271,16.1,83.9
E00152272,17.6,82.4
E00152273,11.3,88.7
E00152282,10.8,89.2
E00152347,20.5,79.5
E00152349,21.9,78.1
E00152350,9.9,90.1
E00152351,23.4,76.6
E00152352,15.2,84.8
E00152353,15.6,84.4
E00152419,15.3,84.7
E00152420,18.2,81.8
E00152421,18.5,81.5
E00152422,18.3,81.7
E00152423,17,83
E00152424,8,92
E00152425,21,79
E00152426,13.7,86.3
E00152427,23.2,76.8
E00152428,13.5,86.5
E00152429,17.9,82.1
E00152430,11.2,88.8
E00152431,15.5,84.5
E00152714,9.8,90.2
E00152718,11.9,88.1
E00152719,7.8,92.2
E00152720,19.7,80.3
E00152721,8.1,91.9
E00152722,10.8,89.2
E00152723,19.6,80.4
E00152724,12.5,87.5
E00152725,16.1,83.9
E00152726,14.7,85.3
E00152727,13.4,86.6
E00152736,9.9,90.1
E00152737,14.5,85.5
E00152738,10.7,89.3
E00152739,15.8,84.2
E00152740,8.1,91.9
E00152741,21.8,78.2
E00152744,13.7,86.3
E00152745,22.3,77.7
E00152746,27.8,72.2
E00152747,28.1,71.9
E00152748,15.9,84.1
E00152749,19.4,80.6
E00152751,15,85
E00152752,26.9,73.1
E00152753,18.2,81.8
E00152754,18.3,81.7
E00152755,16,84
E00152756,24.5,75.5
E00152757,14.7,85.3
E00152758,19,81
E00152759,26.8,73.2
E00152760,12.9,87.1
E00152785,16.1,83.9
E00152786,31.8,68.2
E00152787,28.4,71.6
E00152788,30,70
E00152789,27.9,72.1
E00152790,22.5,77.5
E00152791,10.7,89.3
E00152792,24.9,75.1
E00152793,16.3,83.7
E00152794,16.5,83.5
E00152795,20.6,79.4
E00152796,30.9,69.1
E00152797,19.6,80.4
E00152798,16.8,83.2
E00152799,18.5,81.5
E00152800,17.3,82.7
E00152801,18.7,81.3
E00152802,18.5,81.5
E00152803,16.4,83.6
E00152804,25.6,74.4
E00152805,31.1,68.9
E00152806,20.7,79.3
E00152807,9.3,90.7
E00152808,25.1,74.9
E00152809,28.8,71.2
E00152810,22.4,77.6
E00152811,23.3,76.7
E00152812,10.3,89.7
E00152815,12.6,87.4
E00152817,26,74
E00152818,23.4,76.6
E00152819,28.7,71.3
E00152820,24.7,75.3
E00152821,18.4,81.6
