geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02003122,91.5,0.2,7.8,0.5
E02003123,92.5,0.1,7.1,0.2
E02003124,92.6,0.1,6.9,0.3
E02003125,93.1,0.1,6.6,0.2
E02003126,88,1.3,9.8,1
E02003127,94,0.2,5.5,0.3
E02003128,91.1,0.2,8.5,0.2
E02003129,89.7,0.2,9.6,0.5
E02003130,92.8,0.1,6.8,0.2
E02003131,93,0.1,6.7,0.3
E02003132,91.5,0.2,7.9,0.4
E02003133,93,0.1,6.6,0.3
E02003134,91.6,0.1,8,0.2
E02003135,91.9,0.2,7.5,0.4
E02003136,92.6,0.2,6.9,0.2
E02003137,91.2,0.3,8,0.6
E02003138,87.3,0.9,11,0.8
E02003139,93.4,0.1,6.3,0.2
E02003140,92.4,0.1,7.2,0.3
E02003141,88.2,0.5,11,0.4
E02003142,91.5,0.2,8,0.4
E02003143,92.9,0.2,6.8,0.2
E02003144,57.9,10.1,29.7,2.3
E02003145,85.2,1.5,12.2,1.1
E02003146,76,3.9,18.5,1.5
E02003147,88.6,0.2,10.6,0.6
E02003148,56.6,7.6,33.1,2.8
E02003149,79,4,15.8,1.2
E02003151,91.2,0.3,8.3,0.3
E02003152,90.3,0.3,9.1,0.3
E02003153,89.9,0.2,9.6,0.3
E02003154,91.9,0.2,7.7,0.2
E02003155,91.1,0.2,8.2,0.5
E02003156,91.3,0.2,7.8,0.7
E02003157,89.5,0.4,9.7,0.4
E02003158,90.8,0.2,8.7,0.2
E02003159,90.3,0.2,9.3,0.3
E02003161,86.2,0.2,12.2,1.4
E02003163,88.3,0.2,10.6,0.9
E02003164,91.3,0.2,8.2,0.2
E02003165,91.7,0.1,7.9,0.3
E02003166,90.8,0.1,8.9,0.3
E02003167,89.1,0.2,10.1,0.6
E02003168,92.5,0.2,7.2,0.2
E02003169,92.7,0.3,6.7,0.3
E02003170,90.8,0.2,8.4,0.6
E02003171,90.7,0.2,8.8,0.3
E02003892,90.8,0.2,8.6,0.3
E02003893,91.8,0.2,7.7,0.3
E02003894,90.9,0.1,8.7,0.3
E02003895,89.6,0.2,10,0.2
E02003896,89.3,0.1,10.4,0.2
E02003897,92.6,0.1,7,0.4
E02003898,90.4,0.2,9,0.5
E02003899,93.5,0.1,6.4,0.1
E02003900,91.2,0.1,8.2,0.5
E02003901,90.3,0.2,9,0.4
E02003902,91.2,0.1,8.2,0.4
E02003903,92.3,0.2,7,0.4
E02003904,91,0.1,8.4,0.4
E02003905,89.2,0.2,10.2,0.4
E02003906,89.5,0.2,9.8,0.5
E02003907,88.8,0.2,10.3,0.7
E02003908,89,0.3,10.1,0.6
E02003909,87.5,1.8,9.6,1.1
E02003910,84.2,0.5,13.9,1.3
E02003911,89.4,0.5,9.7,0.3
E02003912,90,0.4,9,0.6
E02003913,90.3,0.5,8.8,0.5
E02003914,78.8,4.2,15.9,1.1
E02003915,75.8,6.2,16.8,1.1
E02003916,68,9.5,20.7,1.8
E02003917,87.5,1,11,0.4
E02003918,91.6,0.3,7.8,0.4
E02003919,89.4,0.2,10.1,0.2
E02003920,89.6,0.2,9.9,0.2
E02003921,91.9,0.2,7.5,0.4
E02003922,92.1,0.2,7.3,0.3
E02003923,88.9,0.1,10.6,0.4
E02003924,91.4,0.1,8.2,0.3
E02003925,91.1,0.2,8.4,0.2
E02003926,91.3,0.3,8,0.4
E02003927,78.4,0.8,19.5,1.2
E02003928,89.8,0.2,9.7,0.3
E02003929,92.1,0.2,7.4,0.4
E02003930,90.8,0.2,8.7,0.3
E02003933,91,0.2,8.5,0.4
E02003934,89.5,0.2,10,0.3
E02003935,88.3,0.1,11.3,0.3
E02003936,91.4,0.3,8,0.3
E02003937,90.2,0.1,9.1,0.7
E02003938,90.1,0.2,9.1,0.5
E02003939,90.9,0.3,8.5,0.3
E02003940,90.8,0.3,8.4,0.5
E02003941,89.2,0.2,10.1,0.5
E02003942,89,0.1,10.6,0.3
E02003943,91.3,0.3,7.9,0.6
E02003944,90.2,0.1,9.2,0.4
E02003945,89.3,0.2,9.8,0.7
E02003946,90.9,0.2,8.8,0.2
E02003947,90.9,0.2,8.5,0.4
E02003948,89.7,0.3,9.7,0.3
E02003949,88.1,0.3,11,0.6
E02003951,91.1,0.4,8.1,0.4
E02003952,88.1,0.2,11.3,0.4
E02003953,90.4,0.2,9.1,0.3
E02003954,84.8,0.3,13.9,1
E02003955,89.1,0.2,10.2,0.5
E02003956,91.4,0.1,8.2,0.3
E02003957,90.8,0.2,8.7,0.3
E02003958,90,0.3,9.4,0.3
