geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E02003122,9.3,21.3,58.7,10.7
E02003123,7.8,23.3,60.3,8.5
E02003124,9.2,23.6,59,8.1
E02003125,8.9,21.9,61.6,7.5
E02003126,10.4,23.1,58.7,7.8
E02003127,8.9,23.7,59.1,8.4
E02003128,8.8,22.5,60.3,8.4
E02003129,8.1,21.6,58.6,11.8
E02003130,8.6,22.5,60.4,8.6
E02003131,8.3,23.5,60.9,7.3
E02003132,8.5,21.5,61.7,8.3
E02003133,9,23.1,59.4,8.5
E02003134,8.9,21.9,59.5,9.8
E02003135,9.5,21.3,59.8,9.4
E02003136,10,22.8,57.7,9.5
E02003137,10.4,20.9,57.1,11.5
E02003138,10,19.6,59.9,10.5
E02003139,8.4,21.7,61,9
E02003140,7.9,21.9,59.8,10.4
E02003141,8.9,18.9,62.6,9.5
E02003142,8.9,22.1,60.3,8.7
E02003143,8.5,21.6,60.4,9.4
E02003144,17.9,19.3,54.3,8.4
E02003145,10,21.1,59,10
E02003146,10.8,20.1,60.5,8.6
E02003147,8.8,21.8,60.1,9.2
E02003148,19.4,20.1,53.2,7.3
E02003149,11.3,20.6,60.1,8
E02003151,8.8,22.6,57.1,11.5
E02003152,9.7,21.3,57.9,11.1
E02003153,9.2,22.6,56.7,11.5
E02003154,11.1,26.2,54.9,7.7
E02003155,12.3,25,52.8,9.8
E02003156,10.2,23.5,57.4,9
E02003157,11.3,25.1,54.5,9.1
E02003158,11.1,24.6,54.6,9.7
E02003159,10.4,24.7,56.4,8.5
E02003161,11.3,21.1,57,10.6
E02003163,15.2,20.6,52.7,11.4
E02003164,11.7,25.2,53.3,9.7
E02003165,12.8,23.5,55.9,7.8
E02003166,10.2,23.8,56.2,9.8
E02003167,11.8,23.7,54.1,10.5
E02003168,12.2,25,54.6,8.3
E02003169,13.3,25.3,51.4,10
E02003170,12.7,25.6,49,12.6
E02003171,12.9,23.4,52.8,10.9
E02003892,12.2,23.5,51.7,12.6
E02003893,13.4,22.2,48.5,16
E02003894,10.1,23.3,53.6,13
E02003895,10.5,22.2,54.3,13
E02003896,11.1,22.9,54.6,11.4
E02003897,11.4,22.5,52.8,13.3
E02003898,14.2,20.7,50,15.1
E02003899,10.5,23.7,56,9.9
E02003900,11.1,22.2,57,9.8
E02003901,15,22.7,46.7,15.6
E02003902,8.7,21.2,59.4,10.7
E02003903,12.6,25.8,50.4,11.2
E02003904,15.8,24.2,47.9,12.2
E02003905,10.6,23.1,53.6,12.7
E02003906,13.9,23.3,50.3,12.4
E02003907,11.3,23.8,52.3,12.6
E02003908,10.8,23.1,55.1,11
E02003909,9.6,22.4,58.2,9.8
E02003910,11.9,20.1,56.3,11.8
E02003911,12.4,22.4,52.4,12.8
E02003912,13.5,20.8,51.4,14.2
E02003913,14,24,48.9,13
E02003914,14.4,22.9,54.2,8.5
E02003915,17.5,24.6,50.2,7.7
E02003916,22.3,22.7,45.2,9.9
E02003917,12.7,24.2,53.5,9.6
E02003918,10.8,24,56.2,9.1
