geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02003122,25.5,43.5,14.5,16.5
E02003123,28.7,34.8,18.4,18.1
E02003124,30.3,33.1,17.8,18.7
E02003125,34.3,35.3,15.8,14.6
E02003126,28.1,38.5,16.2,17.2
E02003127,27.7,33.3,17.4,21.6
E02003128,32.8,34.5,16.9,15.7
E02003129,29.8,37.1,15.4,17.7
E02003130,29.5,35.4,16.9,18.2
E02003131,29,36.5,17.5,17.1
E02003132,28.1,35.4,16.8,19.7
E02003133,26,39.5,17.2,17.3
E02003134,26.5,36.4,16.6,20.5
E02003135,28.6,35.4,18.3,17.7
E02003136,27.6,41.2,14.2,17
E02003137,26,36.4,17.4,20.2
E02003138,29,34.4,17.4,19.1
E02003139,21.3,38.9,19.5,20.3
E02003140,25.6,37,17.3,20.1
E02003141,40.8,32.5,13.4,13.4
E02003142,30.7,35.5,16.2,17.6
E02003143,31.2,37.1,15.3,16.4
E02003144,38.1,31,12.1,18.8
E02003145,34.4,34.9,15.1,15.5
E02003146,33.5,30.5,16.9,19.1
E02003147,41.6,28.6,15.7,14.1
E02003148,50.4,30.6,8.9,10.1
E02003149,40.6,31.1,12.8,15.5
E02003151,27.3,40.2,14,18.5
E02003152,26.4,37.9,16.3,19.5
E02003153,31.5,37.2,14.9,16.5
E02003154,28.8,35.8,15.7,19.7
E02003155,38.5,35.1,12.5,13.9
E02003156,25,37.9,17.4,19.7
E02003157,36.4,31.5,15.5,16.5
E02003158,38.6,32.8,13.4,15.1
E02003159,33.8,32.4,15.6,18.2
E02003161,50.7,28.5,9.8,11
E02003163,46.5,39.4,7.8,6.3
E02003164,29.8,38.9,14.6,16.7
E02003165,27.1,38.2,15.5,19.2
E02003166,26.1,34.3,17.7,21.9
E02003167,48.9,30.5,10.2,10.5
E02003168,32.9,38.8,14,14.3
E02003169,27.5,47.3,11.6,13.5
E02003170,36.1,41.5,11.1,11.4
E02003171,30.3,41.4,13,15.3
E02003892,28.6,44.4,13.3,13.7
E02003893,26,44.9,13.3,15.8
E02003894,31.4,39.7,13.4,15.5
E02003895,28.3,38.7,15.7,17.4
E02003896,38.4,35,12.3,14.3
E02003897,22.6,44.6,15.9,17
E02003898,27,44.2,12.9,15.9
E02003899,32.3,38,14.4,15.2
E02003900,31.7,36.9,15.4,16
E02003901,29.1,42.9,14.1,14
E02003902,35.9,34.8,14.1,15.2
E02003903,31.5,42.2,12.9,13.4
E02003904,35.4,42.5,11.3,10.8
E02003905,24.4,38.9,16.1,20.6
E02003906,27.7,38.1,15.2,19
E02003907,31.2,36,13.3,19.5
E02003908,32.2,34.7,15.4,17.7
E02003909,29.4,37.8,16.4,16.3
E02003910,40.7,33.1,13.4,12.7
E02003911,26.4,41.2,15.3,17
E02003912,30.5,41,12.7,15.8
E02003913,28.2,43.9,12.3,15.6
E02003914,30.3,34.8,15.8,19.2
E02003915,32.4,31.8,16.2,19.5
E02003916,34.7,33.6,14,17.7
E02003917,27.5,36.9,16.4,19.3
E02003918,28.5,40.5,15,16
E02003919,37.4,32.8,15.1,14.6
E02003920,32.5,34.6,15.6,17.3
E02003921,29.2,38.4,16.6,15.8
E02003922,29,36.5,15.8,18.7
E02003923,30.4,35.7,16.4,17.5
E02003924,35.4,35.2,14.4,15
E02003925,28.8,37.3,15.4,18.5
E02003926,22.5,42.7,15.5,19.4
E02003927,26.8,42,13.4,17.8
E02003928,29.8,35.5,15.5,19.1
E02003929,29.8,42.7,12.6,14.8
E02003930,27.5,42.7,13,16.8
E02003933,31.1,42.7,11.6,14.7
E02003934,25.8,42,13.5,18.7
E02003935,32.3,35.2,14.9,17.5
E02003936,25.4,45.6,13.9,15.1
E02003937,32.3,38.8,12.2,16.7
E02003938,26.9,38.8,15.4,18.9
E02003939,35.2,36.2,13.3,15.3
E02003940,25.2,44.4,14.2,16.3
E02003941,29.2,36.3,15.7,18.7
E02003942,32.5,34.1,16.1,17.3
E02003943,35.4,38.6,13,13.1
E02003944,31,36.1,16.5,16.4
E02003945,30.4,43.4,12,14.2
E02003946,28.4,38.8,14.8,18
E02003947,29.7,40.6,14.8,14.8
E02003948,36.3,35.7,13.3,14.6
E02003949,51.1,30.3,10,8.6
E02003951,37.6,38.5,12.4,11.6
E02003952,27.4,36.8,16.9,18.9
E02003953,25.8,37.7,16.9,19.5
E02003954,38.1,34.2,14.2,13.4
E02003955,33,35,15.3,16.6
E02003956,27.5,36.4,16.4,19.6
E02003957,27.8,38.7,15.4,18.1
E02003958,26.9,37.9,16.8,18.5
E02003959,28.6,37.1,16.3,18
E02003960,30.5,43.6,12.2,13.7
E02003961,27.4,41.1,15.3,16.2
E02003962,30.3,37.3,13.6,18.8
E02003963,36.4,35.3,13.1,15.2
E02003964,30.4,43,12.2,14.3
E02004137,28.2,45.4,12.5,14
E02004138,38.2,42.9,10.1,8.8
E02004139,32.6,41,12.7,13.7
E02004140,40.7,42.7,8.5,8.1
E02004141,26.4,42.5,14.5,16.6
E02004142,23.2,43.7,14.2,18.9
E02004143,26.7,41.6,14.2,17.4
E02004144,28.2,41.6,13.4,16.8
E02004145,34.4,44,10,11.6
E02004146,26.8,37.7,15.1,20.4
E02004147,39.2,34.9,13,12.9
E02004148,37.8,39.8,10.7,11.6
E02004152,33.2,25.3,11.9,29.6
E02004153,29,36.7,17.1,17.2
E02004154,30.2,30.2,16.6,22.9
E02004155,32,33.4,15.7,18.9
E02004156,51.8,29.1,8.8,10.3
E02004157,38.5,33.2,12.9,15.4
E02004158,32.3,33,16.3,18.3
E02004159,24,37,18.1,20.8
E02004160,28.4,38.1,14.8,18.7
E02004161,32.2,32.1,16.1,19.6
E02004162,35.2,37.6,13.3,13.8
E02004163,34.2,37,12.7,16.1
E02004189,26.4,40.5,16.9,16.2
E02004190,25.6,41.7,15,17.6
E02004191,38.5,34.1,14.2,13.1
E02004192,26,45.2,13,15.8
E02004193,25.5,37.9,17.2,19.4
E02004194,27.6,38.6,14.2,19.5
E02004195,37.4,40.2,11.6,10.8
E02004196,26.8,41.8,13.1,18.3
E02004197,26.4,44.2,13.9,15.5
E02004198,35.7,37.5,12.3,14.5
E02004199,28.7,46.5,11.1,13.6
E02004200,31.8,43.6,12,12.6
E02004201,27.6,42.6,12.6,17.1
E02004202,29.5,38.6,14,18
E02004203,28.2,44.8,12.4,14.6
E02004204,30.6,38.9,14.4,16
E02004205,28.7,40.5,14.5,16.3
E02004206,39.8,39.9,9.6,10.7
E02004207,27.8,41.5,14.1,16.6
E02004208,28.5,42.8,13.2,15.6
E02004209,28.9,36.6,16.2,18.3
E02004210,44.3,31.9,11.4,12.4
E02004211,28.7,46.1,11.4,13.8
E02004212,28.9,36.7,16.1,18.2
E02004213,22.1,40.3,17.9,19.7
E02004214,41.3,32.6,13.2,12.8
E02004215,33.6,34.8,14.9,16.6
E02004216,24.6,44.5,15.3,15.5
E02004217,34.3,34.7,15,15.9
E02004218,28.1,40.3,15,16.6
E02004219,26.7,43,12.4,17.9
