geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02003122,51.4,1.5,47
E02003123,55,2.8,42.2
E02003124,57.5,3,39.5
E02003125,51.5,3.3,45.2
E02003126,54.8,2.4,42.8
E02003127,54.6,3.5,41.9
E02003128,55.9,2.7,41.4
E02003129,56.8,2.4,40.8
E02003130,53.3,3,43.6
E02003131,56.8,2.3,40.8
E02003132,58.8,2.6,38.6
E02003133,56.4,2,41.5
E02003134,56.2,3.3,40.5
E02003135,58.5,3.2,38.3
E02003136,52.4,2,45.6
E02003137,57.4,1.7,40.9
E02003138,66.9,2.9,30.2
E02003139,67.7,2.1,30.2
E02003140,59.8,1.7,38.5
E02003141,59.9,4.1,36
E02003142,55.5,2.9,41.6
E02003143,58.1,1.9,39.9
E02003144,48,6.4,45.6
E02003145,56.2,3.9,40
E02003146,59.4,4.9,35.7
E02003147,53.9,5.2,40.9
E02003148,39.7,7.3,53
E02003149,55,4.8,40.2
E02003151,49.5,1.6,48.9
E02003152,59.3,2.1,38.6
E02003153,56.5,1.8,41.6
E02003154,49.4,3.2,47.4
E02003155,48,2.5,49.5
E02003156,59.9,2.5,37.6
E02003157,53.8,3.7,42.5
E02003158,48.7,3.2,48.1
E02003159,59.2,3.8,37
E02003161,50.3,4.8,44.9
E02003163,41.5,2.4,56.1
E02003164,51,2.3,46.7
E02003165,55.4,2.5,42.1
E02003166,55.2,3.2,41.6
E02003167,45.8,3.3,50.9
E02003168,49.4,2.3,48.2
E02003169,42.5,1.8,55.7
E02003170,43.1,2.8,54.2
E02003171,46.3,2.9,50.8
E02003892,50.6,2,47.4
E02003893,52.2,1.9,45.9
E02003894,52.9,2.3,44.8
E02003895,55.9,2.2,41.9
E02003896,49.1,3.2,47.7
E02003897,57.1,1.1,41.8
E02003898,51.6,1.9,46.4
E02003899,49.3,2.3,48.5
E02003900,55.1,2.1,42.8
E02003901,47.3,2.2,50.4
E02003902,54.1,2.5,43.4
E02003903,50.8,2.2,47
E02003904,47,2.5,50.5
E02003905,60,1.9,38.1
E02003906,54.8,2.2,43.1
E02003907,57,2,41
E02003908,54.6,3,42.4
E02003909,56.5,2.6,40.9
E02003910,57,2.7,40.2
E02003911,52.7,1.6,45.7
E02003912,54.2,1.6,44.2
E02003913,47.3,1.6,51.1
E02003914,52.7,4.6,42.7
E02003915,46.9,5.1,47.9
E02003916,44.5,5.6,49.9
E02003917,58.1,2.6,39.3
E02003918,54.3,2.1,43.6
E02003919,56.3,3.1,40.6
E02003920,59.8,2.3,37.9
E02003921,55.9,1.9,42.2
E02003922,57.3,2.9,39.8
E02003923,57.7,2.9,39.4
E02003924,48.6,2.4,49.1
E02003925,52.4,2.7,44.9
E02003926,58.9,1.9,39.2
E02003927,46.1,2.9,50.9
E02003928,59.4,2.7,37.9
E02003929,50.4,2,47.7
E02003930,49.3,2.4,48.3
E02003933,51.6,2.4,46
E02003934,52.3,3,44.7
E02003935,56.3,2.3,41.4
E02003936,51.7,1.8,46.5
E02003937,53.2,1.9,44.9
E02003938,55.5,2.2,42.3
E02003939,52.7,2.3,45
E02003940,53.4,2.1,44.5
E02003941,56.6,2.4,41
E02003942,55,3.5,41.5
E02003943,49.4,2.7,48
E02003944,52.5,3.1,44.4
E02003945,48.3,2.4,49.3
E02003946,53.3,2.3,44.4
E02003947,51.7,1.7,46.5
E02003948,47.6,3.2,49.2
E02003949,48,4.4,47.6
E02003951,47.6,2.6,49.8
E02003952,60.7,2.8,36.5
E02003953,57.8,2.6,39.6
E02003954,56.4,3.7,39.9
E02003955,56.2,3.2,40.6
E02003956,57.7,2.6,39.6
E02003957,54.3,2.7,43
E02003958,55.9,2.9,41.2
E02003959,55.8,2.8,41.4
E02003960,47.9,2,50.1
E02003961,54.3,2.1,43.6
E02003962,54.2,3.2,42.6
E02003963,49.9,3.1,47
E02003964,48.9,2.1,49
E02004137,48.1,1.8,50
E02004138,40.4,1.7,57.9
E02004139,45,2,52.9
E02004140,35.4,1.4,63.2
E02004141,52.4,1.8,45.8
E02004142,58.6,1.4,40
E02004143,52.7,1.6,45.7
E02004144,51.5,1.6,46.9
E02004145,40,1.3,58.7
E02004146,57.5,2.8,39.7
E02004147,59.8,3.2,36.9
E02004148,40.6,1.9,57.5
E02004152,33.4,4.6,62
E02004153,64.4,2.6,33
E02004154,57.2,3.3,39.6
E02004155,57.6,3.1,39.4
E02004156,41.8,5.4,52.8
E02004157,61,2.5,36.5
E02004158,67.2,2.5,30.3
E02004159,66.4,2.3,31.3
E02004160,57,2,41
E02004161,58.4,2.9,38.6
E02004162,60.9,2,37.1
E02004163,53.7,2.5,43.7
E02004189,62.9,1.5,35.6
E02004190,56.7,1.7,41.6
