areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00085195,88.9,7.3,1.9,1.9
E00085196,92,4.4,2.2,1.5
E00085197,89.8,5.1,0.3,4.7
E00085198,89.5,3.3,2.5,4.7
E00085199,91.3,5.2,1.4,2
E00085223,93.2,2.3,2.6,1.9
E00085224,92,4.4,1.1,2.6
E00085225,86.7,3.6,6.1,3.6
E00085226,91.7,4,1.8,2.5
E00085227,87.7,5,3.3,4
E00085228,91.3,4.2,0.8,3.7
E00085229,90.9,3,1.3,4.7
E00085230,89,6.7,1.8,2.5
E00085231,87.9,6.3,1.1,4.6
E00085232,88.6,8.3,1.9,1.1
E00085234,89,4,3.5,3.5
E00085235,88.5,3.2,2.6,5.6
E00085236,92.7,3.2,1.2,2.8
E00085237,89.1,1.8,3.5,5.6
E00085238,87.6,7.9,1.5,2.9
E00085239,87.3,7.6,2.9,2.2
E00085378,90.8,3.1,2.4,3.7
E00085379,91.8,5.1,1.2,2
E00085380,90.2,3.3,3,3.6
E00085381,88.1,5.5,1.8,4.6
E00085383,90.2,6,1.8,2.1
E00085384,89.2,5,3.1,2.7
E00085386,91.3,4.8,0.4,3.5
E00085387,86.9,7.5,3.1,2.5
E00085388,92.2,4.5,0,3.4
E00085389,88.4,5.1,2,4.5
E00085390,86.7,6.7,2.6,4.1
E00085391,89.5,2.4,2.1,5.9
E00085392,86.2,4.3,2.5,6.9
E00085393,89.4,4.5,2.6,3.5
E00085394,94.1,3.8,1.1,1.1
E00085395,90.1,3.9,2.5,3.5
E00085396,88.2,5.7,2.9,3.3
E00085397,89.9,4.4,1,4.7
E00085398,87.2,4,5.5,3.3
E00085399,90.3,4.9,2,2.8
E00085405,93.3,2.8,1.2,2.8
E00085406,93.1,4.3,0.4,2.2
E00085407,91.9,4.4,0.4,3.3
E00085408,89.1,6.4,1.7,2.8
E00085747,94.1,4.9,1,0
E00085761,91.6,4.2,1.1,3.1
E00085763,90,4.2,1.9,3.9
E00085764,89.8,6.4,1.8,2.1
E00085767,91.8,4.7,1.3,2.2
E00085768,94.2,3.2,1.3,1.3
E00161228,91.8,5.1,1,2.1
E00161229,91.5,6.8,0.4,1.3
E00161230,90.9,6.7,1,1.4
E00161231,88.6,6.2,1.4,3.8
E00161232,87.7,7.6,1.4,3.3
E00161233,89.5,3.3,2.1,5.1
E00161234,87.8,7,1.3,3.9
E00161235,89.1,8.2,1.2,1.5
E00161236,90.8,5.8,2,1.4
E00161237,90.7,6.5,1.1,1.6
E00161238,91.3,5.2,2.2,1.3
E00161239,89.3,5.2,2.6,3
E00161240,87.9,9.2,1,2
E00161241,90,5.8,1.7,2.5
E00161242,85.1,10.9,1.4,2.5
E00161243,90.7,6.6,0.4,2.3
E00161244,88.5,8.4,1.9,1.1
E00161245,91,5,1.4,2.5
E00161359,92.4,4.9,0.9,1.8
E00161360,89.4,5.7,1.1,3.7
E00161361,86.7,5.9,2.7,4.7
E00161363,92.4,4.7,0.5,2.5
E00161364,91.1,7,0.5,1.4
E00161365,87.1,6.5,2.6,3.9
E00161366,89.5,4.1,4.1,2.2
E00161367,87.1,6.7,2.2,4
E00161368,92.5,4.4,1.4,1.7
E00161369,89.1,8.1,0.4,2.4
E00161370,87.4,5.5,2.5,4.5
E00161371,91,4,1.4,3.6
E00161373,91.7,3.7,1.7,2.9
E00161374,87.4,7.7,2.1,2.8
E00161375,91.1,4.2,2.1,2.5
E00161566,93.1,4.2,1.5,1.1
E00161567,85.9,10.1,3,1
E00161568,96,3,0.7,0.3
E00161569,88.5,5.4,3.2,2.9
E00161570,92.9,4.3,1.2,1.5
E00161571,89.8,7.7,1.4,1.1
E00161572,90.3,8.3,0,1.4
E00161573,89.3,6.7,0.4,3.7
E00161574,92.8,5.2,0.4,1.6
E00161575,94,4.9,0.4,0.7
E00161576,92.7,5.1,0.8,1.4
E00161577,91.6,4,1.3,3.1
E00161578,95.9,2.6,0.4,1.1
E00161579,86.9,8.3,1,3.9
E00161580,89,5.8,2.2,3
E00161581,95,4,0,1
E00161582,91,5.8,0.7,2.5
E00161583,93.9,4.5,0.8,0.8
E00161584,91.4,5.8,0.3,2.4
E00161585,86.1,8.9,2.7,2.3
E00161586,92.2,4.1,1.9,1.9
E00161631,91.2,5.6,1.6,1.6
E00161632,88,7.4,2.9,1.7
E00161983,88.2,5.9,2.8,3.1
E00161984,91.9,3.6,1.7,2.8
E00161985,87.9,6.6,1.7,3.7
E00161990,92,5.6,1.3,1.1
E00161992,90.2,2.3,2.6,4.9
E00161993,87.6,6.2,2.1,4.1
E00161995,87.7,7.1,3.3,1.9
E00161997,94.4,4.1,0.6,0.9
E00161998,91.7,4.8,1.3,2.2
E00161999,91.4,4.8,1.7,2.1
E00162000,89.1,5.1,1.9,3.9
E00162001,93.6,4.6,0.7,1.1
E00162002,92,4.5,1.1,2.3
E00162003,93.9,4.7,1.4,0
E00162004,88.3,7.5,1,3.3
E00172909,89.4,5.9,2.3,2.3
E00188577,86.8,9.2,0.6,3.4
E00188622,91.2,3.1,3.1,2.5
E00188639,95.3,3.2,0.2,1.2
E00188656,95.9,2.4,0.4,1.2
E00188661,91.2,6,1.4,1.4
E00188663,93.9,3.9,0.3,1.9
