geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00025006,6.4,32.8,60.8
E00025007,5.8,39.6,54.5
E00025008,5.5,22.8,71.7
E00025010,6.4,31.9,61.7
E00025011,6.5,18.7,74.8
E00025012,5.3,24.6,70.2
E00025013,4.7,41.1,54.3
E00025014,5.3,34.6,60.2
E00025016,9.1,24,66.9
E00025018,5.3,31.6,63.2
E00025019,0,28,72
E00025020,5.3,25,69.7
E00025021,4,16.9,79
E00025023,6.7,16,77.3
E00025024,5.8,21.4,72.7
E00025025,8,30.7,61.4
E00025026,6.6,31.1,62.3
E00025027,3.2,29,67.7
E00025028,5.1,44.5,50.4
E00025029,6.7,25.2,68.1
E00025030,3.6,46.7,49.6
E00025031,2.6,45.6,51.8
E00025032,2.7,34.5,62.8
E00025033,6.1,26.8,67
E00025035,6.3,31.3,62.5
E00025036,3.6,24,72.5
E00025073,12.1,34.6,53.3
E00025074,0.9,23.3,75.9
E00025075,2.4,43.3,54.3
E00025076,1.7,36.8,61.5
E00025077,5.8,27.1,67.1
E00025078,8.2,26.5,65.3
E00025079,6.7,39.6,53.7
E00025080,3.5,44.4,52.1
E00025081,7.8,28.2,64.1
E00025082,5,24,71.1
E00025083,8.1,29.8,62.1
E00025084,4.3,33.9,61.7
E00025085,10.2,22,67.7
E00025087,3.4,38.7,58
E00025088,6.1,21.1,72.8
E00025089,0.9,52.6,46.6
E00025090,10.5,54.4,35.1
E00025091,6.8,13.5,79.7
E00025092,7.1,28.3,64.6
E00025093,2.8,27.8,69.4
E00025094,6.9,38.9,54.2
E00025095,2.4,50,47.6
E00025096,8.3,15.6,76.1
E00025097,5.4,42.9,51.8
E00025098,2.1,52.1,45.7
E00025099,0.7,55.2,44.1
E00025100,3.2,37.6,59.1
E00025101,5.4,28.5,66.2
E00025102,4.4,30.4,65.2
E00025103,5,54.7,40.3
E00025104,4.4,24.4,71.1
E00025105,0.9,49.6,49.6
E00025106,4,42.7,53.3
E00025107,8.5,36.6,54.9
E00025108,8.3,26.4,65.3
E00025109,4,34.7,61.3
E00025110,8.9,15.1,76
E00025151,8.7,11.1,80.2
E00025152,3.3,31.7,65
E00025156,5.4,25.6,69
E00025157,7.9,19.3,72.8
