geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00025006,58,5.7,36.3
E00025007,54.7,5.1,40.2
E00025008,69.3,1.4,29.2
E00025010,52.8,2.6,44.6
E00025011,61.4,2.6,36
E00025012,62,3,35
E00025013,54.3,3.9,41.8
E00025014,48.4,4.1,47.5
E00025016,65.7,2.8,31.5
E00025018,60.2,3.8,36.1
E00025019,65.5,3,31.5
E00025020,63.1,3.4,33.6
E00025021,59.6,3.1,37.3
E00025023,69.2,2.4,28.4
E00025024,65.1,4.4,30.5
E00025025,52.8,1.7,45.5
E00025026,51,0.8,48.2
E00025027,60.2,2.5,37.3
E00025028,45,3.5,51.5
E00025029,64.3,1.7,34
E00025030,47.1,5.3,47.6
E00025031,46.1,3.1,50.8
E00025032,54.8,1.9,43.3
E00025033,63.1,5.8,31.1
E00025035,48.2,7.1,44.7
E00025036,62.5,3,34.5
E00025073,48.7,6.2,45.1
E00025074,48.7,4.6,46.7
E00025075,44.5,5.2,50.2
E00025076,52.5,2.5,45
E00025077,56.3,4.4,39.3
E00025078,49.8,7.7,42.5
E00025079,53.4,4.6,42
E00025080,52.7,5.7,41.6
E00025081,51.9,2.1,45.9
E00025082,49.4,2.6,48.1
E00025083,36.8,8.2,55
E00025084,57.8,3.9,38.2
E00025085,62,3.3,34.7
E00025087,56.5,2.9,40.6
E00025088,54.3,1.4,44.3
E00025089,35.2,13.2,51.6
E00025090,33.6,5.2,61.1
E00025091,40.2,7.6,52.3
E00025092,57,2.5,40.5
E00025093,66.7,4.3,29
E00025094,55.4,8.3,36.4
E00025095,44.6,5.9,49.5
E00025096,72,1.2,26.8
E00025097,60.6,3.7,35.6
E00025098,48.4,3.9,47.7
E00025099,36.9,6.3,56.8
E00025100,65,2.9,32.1
E00025101,43,7.2,49.8
E00025102,40.4,8.3,51.3
E00025103,51.6,4.7,43.7
E00025104,45.9,5.1,49
E00025105,44.3,6.9,48.9
E00025106,46.6,5.5,47.9
E00025107,61,4.1,34.8
E00025108,50,7.4,42.6
E00025109,48.2,6.6,45.1
E00025110,46.9,10.8,42.2
E00025151,61.2,2.7,36.1
E00025152,55.7,3.5,40.9
E00025156,68.2,1.5,30.3
E00025157,63,2.9,34.2
E00025174,48.2,1.5,50.3
E00025175,59,3.1,37.9
E00025176,56.5,3.2,40.3
E00025177,52.3,4.2,43.5
E00025178,54.1,8.8,37.1
E00025179,62.9,1.6,35.5
E00025180,59.3,2.9,37.9
E00025181,60.5,2.1,37.4
E00025182,52.9,3.4,43.7
E00025183,55.2,1.7,43.2
E00025184,51.9,9,39
E00025425,50.4,4.8,44.8
E00025428,30.6,6.8,62.6
E00025446,50.8,4.3,44.9
E00025571,42.4,1.4,56.2
E00025572,59.2,3,37.8
E00025574,56.4,5.7,37.9
E00025576,59.6,3,37.4
E00025583,74.2,1.3,24.5
E00025587,46.9,6.6,46.5
E00025589,59,1.8,39.2
E00025590,74.2,3.2,22.6
E00025591,65.9,1.9,32.2
E00025592,60.1,1.1,38.9
E00025595,56.1,2.6,41.3
E00025597,56.2,3.1,40.7
E00025598,50.4,0.4,49.1
E00025599,59.9,3.7,36.4
E00025600,60.5,2.1,37.3
E00026977,64.9,2.4,32.7
E00026978,57.8,1.4,40.8
E00026979,50.4,6.5,43
E00026980,69.9,2.6,27.5
E00026981,58.9,2.7,38.4
E00026983,69.8,0,30.2
E00026984,62.4,2.4,35.2
E00026985,44.9,2.8,52.4
E00026986,41.4,7.4,51.2
E00026987,60.5,3.3,36.2
E00026988,56.7,1.5,41.8
E00026990,72.4,2,25.6
E00026991,69,2.8,28.2
E00026993,46.4,1.9,51.7
E00027011,54.9,2.4,42.7
E00027012,64.4,2.9,32.6
E00027013,54.1,3.6,42.3
E00027014,63.4,4.2,32.4
E00027015,51.4,2.1,46.5
E00027016,22.8,5.1,72.2
E00027017,37.8,4.9,57.3
E00027018,44.6,8.6,46.8
E00027019,45.5,8.4,46.1
E00027020,66,4.1,29.9
E00027021,43.3,5.8,50.9
E00027022,55,0,45
E00027023,56,0.4,43.6
E00027024,62.8,0.5,36.7
E00027025,57.3,3.1,39.6
E00027026,59.5,3.4,37
E00027027,53.1,1.7,45.2
E00027029,64.7,1.1,34.2
E00027030,50.2,6.3,43.5
E00027031,50.8,6.1,43
E00027032,54,3.1,42.9
E00027033,67.5,3.3,29.2
E00027034,43.8,2.2,54
E00027035,57.9,4.5,37.6
E00027036,50.4,4,45.6
E00027037,43.1,6.5,50.4
E00027038,34.7,4.7,60.6
E00027039,60.9,3.8,35.3
E00027040,68.6,4.1,27.3
E00027041,63.4,5.9,30.7
E00027043,38.5,8,53.5
E00027044,46,0.8,53.2
E00027045,56.6,0.4,43
E00027046,70.8,3.5,25.7
