areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00092496,19.2,30.8,43.3,6.7
E00092497,8.8,45,43.8,2.5
E00092498,30.3,31.1,26.5,12.1
E00092499,19,23.8,47.6,9.5
E00092501,20.3,29.4,43.7,6.6
E00092502,14.6,37.5,36.3,11.7
E00092599,13,30.3,44.3,12.4
E00092688,3.2,37.1,41.9,17.7
E00092689,8.8,31.4,48,11.8
E00092692,9.7,33.5,51,5.8
E00147003,18.9,40.5,21.6,18.9
E00147004,18.8,32,26.6,22.7
E00147005,15.3,38.2,30.6,15.9
E00147006,20.6,31.4,30.9,17.1
E00147007,16.9,25.9,42.8,14.5
E00147010,22.9,45.9,20,11.2
E00147011,30.6,33.3,16.1,19.9
E00147018,13.2,38.2,38.2,10.5
E00147019,27,36.5,26.4,10.1
E00147020,29.5,37.2,15.5,17.8
E00147021,6.5,40.6,42.6,10.3
E00147264,37,26.1,26.9,10.1
E00147266,42.9,25.8,16.6,14.7
E00147267,45.5,26.9,13.8,13.8
E00147268,51.8,26.8,8,13.4
E00147269,46.6,27.6,8.6,17.2
E00147270,29.5,35.3,17.3,18
E00147271,36.2,24.9,22.3,16.6
E00147272,33.1,28.9,18.2,19.8
E00147285,37.8,28.7,18.2,15.3
E00147286,47.1,28.6,6.7,17.6
E00147287,20.6,28.2,39.4,11.8
E00147288,29.3,39.1,14.1,17.4
E00147289,33.5,26.9,28.1,11.4
E00147290,35.2,32.1,15.4,17.3
E00147291,28.6,25.2,30.3,16
E00147292,38.3,25.3,20.1,16.2
E00187192,42.9,27.2,19.4,10.5
E00187195,22.8,34.2,30.4,12.7
E00187221,28.9,37.8,11.1,22.2
E00188763,15.3,27.7,42.3,14.6
E00188843,14.2,37.3,40.7,7.8
W00001110,26.5,33.3,19.7,20.5
W00001112,15.5,36.2,27.6,20.7
W00001115,29.9,42.1,7.9,20.1
W00001116,10.3,42.6,33.8,13.2
W00001118,35.9,44.1,5.5,14.5
W00001445,27.7,38.4,16.1,17.9
W00001446,38.1,23.9,20.4,17.7
W00001447,30.8,42.1,15.9,11.2
W00001448,46.5,23.6,15.7,14.2
W00001449,51.2,25,10.7,13.1
W00001450,36.5,32.9,21.8,8.8
W00001649,32.3,29.7,30.3,7.7
W00001650,43.2,28,13.6,15.2
W00001651,41.8,32.2,16.4,9.6
W00001652,26.5,24.5,32.4,16.7
W00001656,26.2,27,29.5,17.2
W00001657,40.5,25.6,13.2,20.7
W00001666,39.2,31.4,15.7,13.7
W00001667,33.1,29.2,23,14.6
W00001668,38.7,27.5,22.5,11.3
W00001669,22.7,31.8,33,12.5
W00001670,28.8,27.8,34,9.4
W00001819,26.6,33.9,14.7,24.8
W00001820,13.4,44.4,25.7,16.6
W00001821,25.4,41.2,21.1,12.3
W00001822,13.9,42.6,33.6,9.8
W00001832,56.6,20.2,10.1,13.2
W00001833,54.3,21.3,11.7,12.8
W00001834,62.4,8.9,14.9,13.9
W00001835,52.6,22.6,10.9,13.9
W00001836,55.6,21.2,10.6,12.6
W00001837,50.3,18.6,20.4,10.8
W00001838,60.2,13.6,16.5,9.7
W00001839,56.3,20.4,10.6,12.7
W00001840,57.7,16.8,10.7,14.8
W00001841,61.8,14.7,9.8,13.7
W00001842,59.5,18.3,7.1,15.1
W00001843,41.7,20.8,27.5,10
W00001844,56.3,22.9,17.7,3.1
W00001845,52.4,15.9,24.4,7.3
W00001846,55.2,18.8,20.8,5.2
W00001847,59.6,14,19.3,7
W00001848,44,27,17,12
W00001849,53.7,19.4,17.6,9.3
W00001850,40.9,25.8,25.8,7.5
W00001851,50.8,26.2,13.8,9.2
W00001852,47.5,22.1,18,12.3
W00001853,34.4,25,29.7,10.9
W00001854,27.8,33.3,26.2,12.7
W00001855,33.3,15.5,41.7,9.5
W00001860,12.3,30.1,43.6,14.1
W00001861,20.1,27.8,41.7,10.4
