areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02002910,90.5,0.1,8.9,0.4
E02002924,93.3,0.3,5.9,0.5
E02003069,90.8,0.2,8.5,0.5
E02003071,89.9,0.2,9.4,0.5
E02003074,93.7,0.1,5.9,0.2
E02003076,90.8,0.3,8.6,0.4
E02003078,89.8,0.7,9,0.5
E02003079,92.4,0.1,7.3,0.3
E02003080,92.5,0.1,7.2,0.2
E02003081,91.5,0.2,8.1,0.2
E02003082,85.6,0.4,12.9,1.1
E02003084,85.9,0.2,12.5,1.3
E02003085,90.4,0.1,9,0.4
E02003086,88.4,0.3,10.4,0.9
E02003087,90.7,0.2,8.9,0.3
E02003089,89.5,0.2,9.5,0.8
E02003931,88.3,0.1,11.1,0.5
E02003932,90.4,0.1,9.1,0.4
E02004129,90.4,0.1,8.8,0.7
E02004130,90.9,0.1,8.5,0.5
E02004131,91.1,0.2,8.4,0.3
E02004132,91.1,0.3,8.2,0.4
E02004133,89.2,0.1,10.1,0.6
E02004135,91.1,0.2,8.3,0.4
E02004136,90,0.3,9.1,0.6
E02004149,49.4,5.6,38.5,6.5
E02004150,79.8,7.5,11.8,0.9
E02004151,90.1,0.4,9,0.5
E02004164,89.7,0.2,9.6,0.5
E02004165,88.2,0.1,11.3,0.4
E02004166,90.4,0.1,9,0.5
E02004167,90.1,0.3,9,0.5
E02004168,90.1,0.2,9.2,0.5
E02004169,90.2,0.3,9.2,0.3
E02004170,91.1,0.1,8.5,0.3
E02004171,90.7,0.2,8.7,0.3
E02004172,91.2,0.3,8,0.6
E02004173,90.3,0.2,9.3,0.3
E02004174,88.8,0.2,10.5,0.5
E02004175,91.2,0.2,8.3,0.4
E02004176,89.9,0.1,9.7,0.3
E02004177,89.4,0.3,9.9,0.3
E02004178,89.3,0.3,9.6,0.8
E02004179,88.5,0.2,10.5,0.8
E02004180,89.6,0.2,9.7,0.5
E02004181,87.8,0.1,11.1,1
E02004182,88,0,11,1
E02004183,89.9,0.2,9.1,0.8
E02004184,90.8,0.2,8.6,0.4
E02004185,89.7,0.2,9.9,0.3
E02004186,89.1,0.2,10.3,0.3
E02004187,88.4,0.2,10.8,0.6
E02004188,89.3,0.2,10.1,0.4
E02004220,91.8,0.1,7.7,0.4
E02004221,89.9,0.1,9.4,0.6
E02004222,89,0.1,10,0.9
E02004223,89.7,0.3,9.8,0.3
E02004224,90,0.2,9.5,0.3
E02004225,90.6,0.2,8.9,0.2
E02004226,90.8,0.1,8.6,0.5
E02004227,89.2,0.2,10.3,0.3
E02004228,90.2,0.1,9.1,0.6
E02004229,90.7,0.3,8.6,0.4
E02004230,90.6,0.2,8.6,0.7
E02006044,92.3,0.2,7.2,0.3
E02006062,91.2,0.1,8.4,0.3
E02006063,90.5,0.2,8.9,0.5
E02006064,89.8,0.2,9.5,0.4
E02006065,91,0.1,8.8,0.2
E02006066,91.8,0.2,7.7,0.3
E02006067,89.3,0.3,9.8,0.5
E02006068,90.9,0.1,8.7,0.4
E02006069,88.1,0.2,10.8,0.9
E02006070,90.2,0.1,9.3,0.4
E02006071,89.9,0.1,9.6,0.4
E02006072,92.1,0.2,7.4,0.3
E02006073,89.4,0.1,9.4,1.1
E02006074,88.2,0.1,11.2,0.4
E02006078,89.9,0.2,9.6,0.2
E02006081,91.1,0.3,8.3,0.3
E02006084,90.3,0.2,9.2,0.3
E02006093,90.1,0.1,9.3,0.4
E02006096,89.9,0.1,9.6,0.4
E02006097,90.1,0.1,9.3,0.5
E02006098,91.3,0.2,8.1,0.4
E02006099,89.8,0.2,9.2,0.8
E02006100,88.7,0.5,9.1,1.7
E02006101,90.5,0.2,9,0.3
E02006102,92.3,0.1,6.9,0.6
E02006103,92,0.2,7.3,0.5
E02006104,89.3,0.2,10,0.5
E02006105,86.4,0.2,11.9,1.5
E02006106,89.8,0.3,9.3,0.7
E02006107,91.6,0.1,8,0.3
E02006108,86.4,0.3,11.1,2.2
E02006109,90,0.4,8.4,1.1
E02006110,89.8,0.1,9.4,0.8
E02006111,91,0.3,8.1,0.7
E02006112,89.3,0.4,9,1.3
E02006113,88.4,0.2,10.9,0.5
E02006114,89.7,0.3,9.6,0.4
E02006115,93.1,0.1,6.3,0.5
E02006116,91,0.2,8.4,0.4
E02006117,89.6,0.2,9.5,0.7
E02006845,91.6,0.1,8.1,0.3
E02006846,89,0.2,10.3,0.5
E02007027,86.6,0.3,12.7,0.4
E02007028,84.1,0.2,15.1,0.6
W02000106,90.2,0.2,9.1,0.5
W02000107,91.6,0.1,7.8,0.4
W02000108,92,0.2,7.5,0.3
W02000109,89.7,0.3,9.5,0.5
W02000110,91.9,0.2,7.7,0.2
W02000111,92.4,0.2,7.1,0.3
W02000113,87,0.3,12,0.8
W02000114,91.7,0.3,7.6,0.4
W02000116,91.4,0.5,7.8,0.3
W02000117,49.9,15,32,3.1
W02000118,80.9,2.7,14.9,1.5
W02000120,91.6,0.4,7.8,0.2
W02000122,91.8,0.2,7.7,0.3
W02000123,89.7,0.4,9.4,0.5
W02000124,91.1,0.4,8.3,0.2
W02000125,92.1,0.3,7.5,0.1
W02000126,91.9,0.2,7.6,0.4
W02000127,92.6,0.2,6.9,0.3
W02000128,91.8,0.3,7.5,0.5
W02000129,91.4,0.1,8.1,0.3
W02000130,88.3,0.2,10.4,1.1
W02000131,89.8,0.3,9.7,0.2
W02000132,91.1,0.3,8.2,0.5
W02000133,91.2,0.2,8.1,0.5
W02000134,91.8,0.2,7.6,0.4
W02000135,90.2,0.1,9.2,0.4
W02000136,91.9,0.2,7.4,0.5
W02000137,91.4,0.2,8.2,0.3
W02000138,92,0.1,7.6,0.3
W02000139,92.9,0.2,6.7,0.2
W02000140,91.3,0.2,8.2,0.3
W02000141,90.4,0.3,8.8,0.5
W02000142,91.4,0.2,8.2,0.2
W02000143,90.9,0.2,8.5,0.5
W02000144,91.9,0.3,7.5,0.2
W02000145,92.6,0.2,6.9,0.3
W02000146,93,0.3,6.4,0.3
W02000147,89.2,0.4,10,0.5
W02000148,90.9,0.1,8.3,0.7
W02000149,90.3,0.3,9,0.4
W02000151,93.9,0.1,5.8,0.2
W02000152,92.1,0.2,7.5,0.3
W02000153,92.1,0.2,7.4,0.3
W02000154,92,0.2,7.6,0.2
W02000156,92.2,0.2,7.3,0.3
W02000157,93.3,0.1,6.4,0.2
W02000158,92.4,0.2,7.2,0.2
W02000159,92.8,0.2,6.8,0.2
W02000160,92.9,0.2,6.4,0.5
W02000161,91.9,0.2,7.6,0.4
W02000162,92.5,0.2,7,0.3
W02000163,91.7,0.1,7.6,0.5
W02000164,92.2,0.2,7.4,0.3
W02000165,91.5,0.2,8,0.3
W02000166,91.9,0.1,7.9,0.1
W02000167,90.4,0.1,9,0.4
W02000168,92.6,0.3,7,0.1
W02000169,93.8,0.2,5.8,0.2
W02000170,92.7,0.3,6.5,0.5
W02000171,93,0.2,6.5,0.2
W02000172,92.8,0.4,6.6,0.2
W02000173,93,0.1,6.7,0.2
W02000174,92.6,0.3,6.9,0.2
W02000175,92.2,0.2,7.1,0.5
W02000176,93,0.2,6.5,0.3
W02000177,93.2,0.1,6.5,0.3
W02000178,93.1,0.2,6.5,0.3
W02000179,93.3,0.3,6.1,0.4
