areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02002910,52.8,47.2
E02002924,55.9,44.1
E02003069,56.5,43.5
E02003071,45.1,54.9
E02003074,50.2,49.8
E02003076,53.9,46.1
E02003078,54.4,45.6
E02003079,51.3,48.7
E02003080,45.7,54.3
E02003081,52.8,47.2
E02003082,35.6,64.4
E02003084,30.8,69.2
E02003085,31.7,68.3
E02003086,40.9,59.1
E02003087,54.1,45.9
E02003089,47.9,52.1
E02003931,47,53
E02003932,56.8,43.2
E02004129,56.7,43.3
E02004130,42.6,57.4
E02004131,52.1,47.9
E02004132,57.8,42.2
E02004133,49.6,50.4
E02004135,57.8,42.2
E02004136,55.2,44.8
E02004149,26.7,73.3
E02004150,33.3,66.7
E02004151,48.7,51.3
E02004164,57.9,42.1
E02004165,53.9,46.1
E02004166,53.7,46.3
E02004167,39.8,60.2
E02004168,41.2,58.8
E02004169,53.9,46.1
E02004170,47.1,52.9
E02004171,53.4,46.6
E02004172,56.5,43.5
E02004173,55.2,44.8
E02004174,44.3,55.7
E02004175,37.1,62.9
E02004176,54.2,45.8
E02004177,43,57
E02004178,58,42
E02004179,50,50
E02004180,57,43
E02004181,45.2,54.8
E02004182,35.5,64.5
E02004183,48.8,51.2
E02004184,43.3,56.7
E02004185,57.4,42.6
E02004186,50.1,49.9
E02004187,50.5,49.5
E02004188,54.2,45.8
E02004220,48.7,51.3
E02004221,54,46
E02004222,41,59
E02004223,43.6,56.4
E02004224,56.3,43.7
E02004225,45.4,54.6
E02004226,57.2,42.8
E02004227,52.8,47.2
E02004228,56.9,43.1
E02004229,53.6,46.4
E02004230,45.3,54.7
E02006044,58.4,41.6
E02006062,56,44
E02006063,60.4,39.6
E02006064,44,56
E02006065,44.1,55.9
E02006066,53.1,46.9
E02006067,53.8,46.3
E02006068,37.1,62.9
E02006069,34.5,65.5
E02006070,45.5,54.5
E02006071,51.8,48.2
E02006072,57.7,42.3
E02006073,36.2,63.8
E02006074,50.8,49.2
E02006078,52.4,47.6
E02006081,57,43
E02006084,55.6,44.4
E02006093,50.5,49.5
E02006096,48,52
E02006097,41.4,58.6
E02006098,58.3,41.7
E02006099,53.2,46.8
E02006100,47.9,52.1
E02006101,52.2,47.8
E02006102,41.8,58.2
E02006103,55.9,44.1
E02006104,46.9,53.1
E02006105,36.2,63.8
E02006106,47.4,52.6
E02006107,38.6,61.4
E02006108,40.9,59.1
E02006109,57,43
E02006110,43.6,56.4
E02006111,54.7,45.3
E02006112,55.2,44.8
E02006113,44,56
E02006114,50.1,49.9
E02006115,49.4,50.6
E02006116,55.9,44.1
E02006117,53.6,46.4
E02006845,45.5,54.5
E02006846,40.1,59.9
E02007027,50.7,49.3
E02007028,43.4,56.6
W02000106,49.8,50.2
W02000107,51.5,48.5
W02000108,51.2,48.8
W02000109,41.3,58.7
W02000110,49.6,50.4
W02000111,47.5,52.5
W02000113,42.4,57.6
W02000114,56.5,43.5
W02000116,47.6,52.4
W02000117,15.3,84.7
W02000118,33.5,66.5
W02000120,49.9,50.1
W02000122,55.1,44.9
W02000123,46.5,53.5
W02000124,44.8,55.2
W02000125,49.4,50.6
W02000126,49.5,50.5
W02000127,46.3,53.7
W02000128,50.2,49.8
W02000129,55.1,44.9
W02000130,37.4,62.6
W02000131,42.5,57.5
W02000132,50,50
W02000133,53.1,46.9
W02000134,52.5,47.5
W02000135,41.8,58.2
W02000136,52.3,47.7
W02000137,40.3,59.7
W02000138,38.6,61.4
W02000139,56.3,43.7
W02000140,42.8,57.2
W02000141,44.7,55.3
W02000142,48.7,51.3
