areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E02002910,90.9,5,1.4,2.7
E02002924,89.4,6,2.1,2.6
E02003069,90.8,5.9,1.2,2.1
E02003071,90.5,5.2,1.6,2.8
E02003074,91.4,4.8,1.4,2.3
E02003076,90.9,5.5,1.4,2.3
E02003078,90.3,5.1,1.9,2.8
E02003079,90.9,4.9,1.7,2.5
E02003080,89.3,4.9,2.1,3.8
E02003081,88.7,6.3,1.8,3.3
E02003082,91.8,4.3,1.7,2.1
E02003084,91.4,3.9,1.8,2.9
E02003085,89,3.9,3.2,3.8
E02003086,89.9,5.1,2.2,2.8
E02003087,89.6,5.3,1.9,3.2
E02003089,89.5,4.8,2,3.7
E02003931,90.1,4.6,1.7,3.6
E02003932,89.6,5.4,1.7,3.3
E02004129,90.3,5.3,1.9,2.5
E02004130,89.6,4.6,2.1,3.7
E02004131,90.3,5.2,1.7,2.8
E02004132,90.5,5.4,1.5,2.6
E02004133,91,4.4,1.7,2.8
E02004135,90.1,5.7,1.5,2.7
E02004136,90.6,5.1,1.4,2.9
E02004149,93.8,4,0.8,1.4
E02004150,92,3.8,1.6,2.5
E02004151,89.7,5.2,2.1,3
E02004164,90.7,5.1,1.7,2.5
E02004165,90.1,5.2,1.5,3.1
E02004166,90.6,5.3,1.4,2.6
E02004167,90.5,4.4,2,3.1
E02004168,91.1,3.9,2.1,2.9
E02004169,90.4,5.1,1.7,2.8
E02004170,90.8,4.4,2,2.8
E02004171,90.3,5.6,1.8,2.2
E02004172,89.2,6,2,2.8
E02004173,90.3,5.7,1.4,2.7
E02004174,91.3,4.9,1.6,2.2
E02004175,90.9,4.3,1.7,3.1
E02004176,90.8,4.3,1.7,3.2
E02004177,90.8,4,1.9,3.3
E02004178,90.5,5.4,1.3,2.8
E02004179,91.1,4.7,1.6,2.5
E02004180,90.2,5.4,1.6,2.8
E02004181,90.9,4.2,1.8,3.1
E02004182,91.2,4.1,2,2.7
E02004183,89.9,4.7,1.8,3.6
E02004184,90.8,4.2,1.8,3.2
E02004185,89.4,5.1,2,3.4
E02004186,90.6,5.2,1.7,2.5
E02004187,89.8,5.1,1.9,3.2
E02004188,89.9,5.1,1.8,3.2
E02004220,89.7,4.6,1.9,3.8
E02004221,88.7,5.8,1.8,3.7
E02004222,90.2,4.6,2.2,3
E02004223,90.4,4.4,2,3.2
E02004224,89.9,5.5,1.8,2.8
E02004225,90.3,5.3,1.8,2.6
E02004226,89.7,5.2,1.8,3.4
E02004227,90.3,4.3,2,3.4
E02004228,89.1,5.4,1.9,3.6
E02004229,89,5.6,2,3.4
E02004230,90.2,5,1.6,3.3
E02006044,91,4.8,1.9,2.3
E02006062,89,5.3,1.9,3.8
E02006063,90.7,5.9,1.4,2
E02006064,90.3,4.9,1.7,3.1
E02006065,89.3,4.2,2.6,3.9
E02006066,88.7,5.5,2.2,3.6
E02006067,90.4,5.7,1.5,2.4
E02006068,90,3.5,2.6,3.9
E02006069,92.1,3.6,1.7,2.6
E02006070,92,4.1,1.5,2.4
E02006071,91.5,4.6,1.6,2.3
E02006072,89.8,5.9,1.8,2.6
E02006073,91.1,3.4,2.1,3.5
E02006074,91.8,4.4,1.6,2.2
E02006078,90.5,5.4,1.3,2.8
E02006081,90.1,5.6,1.8,2.6
E02006084,90.1,5.2,1.4,3.2
E02006093,91.9,4.1,1.5,2.5
E02006096,90.6,4.7,1.7,3
E02006097,91.3,4,1.8,2.9
E02006098,89.8,6,1.5,2.7
E02006099,91,5.2,1.6,2.2
E02006100,92.2,4.4,1.4,2
E02006101,89.7,5.8,1.8,2.7
E02006102,89.5,4.1,2.3,4.1
E02006103,89.2,5.8,1.9,3
E02006104,92.1,4.2,1.5,2.1
E02006105,92.7,3.6,1.9,1.7
E02006106,91.5,4.1,1.8,2.5
E02006107,90.8,3.9,2.3,3
E02006108,92,4.6,1.3,2.1
E02006109,90.5,5.5,1.5,2.5
E02006110,91,4.3,2,2.7
E02006111,90.9,5.2,1.5,2.4
E02006112,90.9,5.6,1.4,2.1
E02006113,90.7,4.4,1.8,3.1
E02006114,88.8,5.6,2.2,3.5
E02006115,89.1,5.1,2.2,3.7
E02006116,89.3,5.6,2,3
E02006117,90.1,5.7,1.7,2.6
E02006845,92.4,3.6,1.5,2.5
E02006846,93.3,3,1.4,2.3
E02007027,90.5,5.5,1.5,2.6
E02007028,93.4,3,1.7,1.9
W02000106,90,5.4,1.7,2.9
W02000107,89.5,5.6,1.6,3.3
W02000108,88.6,5.6,2.2,3.6
W02000109,89.7,5.5,1.8,2.9
W02000110,90,5.3,1.9,2.8
W02000111,90,5.8,1.6,2.5
W02000113,90.3,5,1.8,2.8
W02000114,89.1,6.3,1.7,2.9
W02000116,89.1,5.7,1.9,3.3
W02000117,94.2,3.5,1,1.3
W02000118,91.1,4.2,1.8,2.9
W02000120,88.6,5.5,2.1,3.8
W02000122,88.6,5.3,1.9,4.1
W02000123,88.6,5.3,2.3,3.8
W02000124,88,5.5,2.4,4.1
W02000125,88.2,5.4,2.2,4.2
W02000126,89.2,5.3,2.1,3.4
W02000127,88.8,5.1,2.3,3.9
W02000128,89.6,5.3,2,3.1
W02000129,89,5.6,2,3.5
W02000130,90.9,3.8,2.1,3.2
W02000131,89.5,4.7,2.1,3.7
W02000132,89.9,5,1.9,3.2
W02000133,88.9,5.5,2,3.6
W02000134,88.6,5.1,2.7,3.7
W02000135,89.1,4.4,2.8,3.7
W02000136,88.4,5.2,2.4,3.9
W02000137,88.7,4.5,2.5,4.3
W02000138,89.1,4,2.8,4
W02000139,88,5.6,2.1,4.3
W02000140,88.5,4.6,2.5,4.4
W02000141,89.2,5.3,2.1,3.5
W02000142,89,4.7,2.3,4
W02000143,89.2,5.2,2.3,3.4
W02000144,88.6,5.1,2.3,4
W02000145,89.6,5.2,1.7,3.5
W02000146,88.6,5.8,2.1,3.5
W02000147,90,4.4,2,3.6
W02000148,90.2,4.1,2.5,3.2
W02000149,90.8,4.4,1.8,3
W02000151,88.1,4.9,2.4,4.6
W02000152,88,4.9,2.5,4.6
W02000153,88.4,5.3,2.3,4
W02000154,87.6,5.2,2.9,4.2
W02000156,88.3,4.9,2.4,4.4
W02000157,88.5,5,2.3,4.3
W02000158,88.5,5.6,2.1,3.8
W02000159,86.4,4.9,2.9,5.8
W02000160,87.3,5.5,2.6,4.5
W02000161,89.1,4,2.9,4.1
W02000162,87.1,5.5,2.8,4.6
W02000163,89.8,4.2,1.7,4.3
W02000164,89,5.1,2.4,3.5
W02000165,88.7,4.5,2.1,4.6
W02000166,88.1,4.4,2.8,4.7
W02000167,88.1,4.2,2.9,4.8
W02000168,87.9,5.6,2.6,3.9
W02000169,87.7,5.1,2.7,4.6
W02000170,88.8,4.8,2.1,4.3
W02000171,88.8,6.1,1.7,3.4
W02000172,88.3,5.3,2.7,3.8
W02000173,88.6,5.2,2.4,3.7
W02000174,88,5.4,2.5,4.1
W02000175,87.8,5.3,2.3,4.6
W02000176,87.3,4.8,2.7,5.2
W02000177,88.1,5.2,2.1,4.6
W02000178,89,3.2,2.9,4.9
W02000179,88.3,6.2,2.2,3.3
W02000180,87.7,3.8,3.3,5.2
W02000181,88.2,4.5,2.7,4.5
W02000182,88.6,4.6,2.9,3.9
W02000183,90.8,3.7,2.1,3.4
W02000184,88.3,4.9,2.5,4.3
W02000185,88.6,5.7,1.7,3.9
