areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02002910,0.9,0.1,0.9,97.9,0.3
E02002924,0.4,0.1,1.1,98.2,0.2
E02003069,0.7,0.5,1.1,97.4,0.3
E02003071,1.3,0.5,2,96,0.3
E02003074,1.4,0.2,1.2,96.9,0.2
E02003076,1,0.3,1.4,96.9,0.4
E02003078,0.6,0.2,1.3,97.5,0.4
E02003079,1.3,0.5,1.4,96.4,0.5
E02003080,1.6,0.6,1.2,96,0.5
E02003081,1.1,0.2,1.1,97,0.6
E02003082,1.9,0.8,2.1,94,1.2
E02003084,4.2,1.5,2.2,90.6,1.6
E02003085,2,0.9,2.7,93.9,0.5
E02003086,2,0.7,1.7,94.6,1
E02003087,1.2,0.3,1,97.1,0.3
E02003089,3.9,0.7,1.5,93.4,0.5
E02003931,0.7,0.1,1.5,97,0.7
E02003932,0.2,0.1,0.5,98.7,0.4
E02004129,0.4,0.2,0.9,98.1,0.4
E02004130,1.6,0.3,1.2,96.5,0.4
E02004131,0.4,0.1,1.2,98.1,0.2
E02004132,0.4,0.2,0.7,98.5,0.2
E02004133,1.3,0.1,1.3,97.1,0.2
E02004135,0.6,0.1,0.9,98.2,0.3
E02004136,0.9,0.1,1.5,97.2,0.3
E02004149,7.7,1,3.1,86.7,1.4
E02004150,5.8,1.2,2.8,88.5,1.6
E02004151,2.9,0.6,1.9,93.4,1.1
E02004164,0.4,0.1,0.7,98.6,0.2
E02004165,0.7,0.1,0.8,98.3,0.2
E02004166,0.3,0,1,98.5,0.2
E02004167,0.9,0.1,1.2,97.4,0.3
E02004168,1.1,0.1,1.3,97.2,0.2
E02004169,0.5,0.1,1.1,98.1,0.2
E02004170,1.4,0.2,1.4,96.8,0.3
E02004171,0.5,0.1,1.2,97.9,0.3
E02004172,0.4,0.1,1,98.2,0.3
E02004173,0.6,0.1,1.3,97.7,0.3
E02004174,0.8,0.2,1,97.7,0.4
E02004175,0.6,0.2,1.7,97.1,0.3
E02004176,0.4,0.2,1.2,98.1,0.2
E02004177,0.5,0.1,0.8,98.1,0.4
E02004178,0.3,0.2,1.3,97.8,0.4
E02004179,1.6,0.8,1.5,95.5,0.6
E02004180,1,0.3,0.7,97.8,0.2
E02004181,2.3,0.8,1.2,95.1,0.6
E02004182,3,0.2,1.6,94.5,0.7
E02004183,1.6,0.6,1,96.6,0.3
E02004184,1.1,0.3,1.8,96.6,0.2
E02004185,0.7,0.3,0.6,98.2,0.2
E02004186,1.3,0.1,1.1,97.2,0.2
E02004187,0.9,0.3,1.2,97.3,0.4
E02004188,0.7,0.1,0.7,98.3,0.1
E02004220,0.5,0.1,1.1,98,0.2
E02004221,0.5,0.2,1,98.2,0.1
E02004222,1.4,0.1,1.7,96.4,0.4
E02004223,0.4,0.1,0.9,98.3,0.2
E02004224,0.4,0.1,1,98.3,0.2
E02004225,0.4,0.1,0.9,98.4,0.2
E02004226,0.3,0,0.6,99,0
E02004227,0.5,0.1,0.6,98.7,0.1
E02004228,0.5,0.1,0.8,98.3,0.3
E02004229,0.5,0.2,1,98.1,0.2
E02004230,0.9,0.2,1.2,96.9,0.7
E02006044,0.7,0.2,0.9,98,0.1
E02006062,0.8,0.1,0.7,98.1,0.2
E02006063,0.4,0.1,1.1,98.3,0.2
E02006064,2.1,0.3,0.9,96.5,0.2
E02006065,1.3,0.3,1.5,96.5,0.5
E02006066,0.7,0.1,0.4,98.6,0.2
E02006067,0.1,0.3,1.1,98.3,0.2
E02006068,2.1,0.4,1.4,95.4,0.7
E02006069,5.1,0.6,1.7,91,1.7
E02006070,1.7,0.9,0.9,96.1,0.4
E02006071,1,0.3,1.1,97.2,0.3
E02006072,0.4,0.1,0.7,98.7,0.2
E02006073,2.1,0.4,1.9,94.7,0.8
E02006074,1,0.4,1.2,96.7,0.7
E02006078,0.7,0.1,0.9,98,0.4
E02006081,0.4,0.1,0.8,98.4,0.3
E02006084,0.3,0.3,1,98.2,0.2
E02006093,0.7,0.3,1,98,0.1
E02006096,0.9,0.5,1.2,96.7,0.7
E02006097,0.9,1.2,2,95.2,0.8
E02006098,0.2,0.2,0.7,98.7,0.1
E02006099,0.5,0.2,0.9,98.2,0.2
E02006100,2.5,1,1.7,94.2,0.5
E02006101,0.4,0.2,1.1,98.1,0.2
E02006102,1.6,0.7,1.4,95.9,0.4
E02006103,0.4,0.1,1.1,98.3,0.2
E02006104,2.1,0.3,1.4,95.9,0.3
E02006105,4.2,1,2.5,90.6,1.8
E02006106,3.4,0.9,1.4,93.6,0.8
E02006107,2.5,0.5,1.5,95.1,0.5
E02006108,6.5,1.2,1.8,89.2,1.3
E02006109,4.3,0.9,1.3,92.9,0.6
E02006110,1.8,0.9,1.1,95.7,0.5
E02006111,1.3,0.4,0.8,97.2,0.3
E02006112,1.9,0.3,1.2,96.2,0.4
E02006113,0.8,0.2,1.3,97.4,0.3
E02006114,0.4,0.1,1.2,98.1,0.2
E02006115,0.3,0.1,0.6,98.7,0.2
E02006116,0.6,0.2,0.7,98.3,0.2
E02006117,0.6,0.1,0.8,98.4,0.2
E02006845,0.8,0.7,1.7,96.1,0.6
E02006846,1.8,0.9,1.7,95,0.7
E02007027,1.1,0.3,1.7,96.5,0.4
E02007028,1.2,0.6,2.1,95.4,0.7
W02000106,0.5,0.1,0.9,98.4,0.1
W02000107,0.5,0.1,0.7,98.6,0.2
W02000108,0.6,0.2,0.7,98.3,0.2
W02000109,1.1,0.3,1.4,96.8,0.5
W02000110,0.6,0.2,0.5,98.6,0.1
W02000111,0.3,0.2,0.8,98.4,0.3
W02000113,5.9,0.3,1.2,91.6,1
W02000114,0.9,0.3,1.2,97.4,0.2
W02000116,1,0.5,0.8,97.4,0.3
W02000117,3.7,1.6,2.9,90.4,1.4
W02000118,4,0.5,2.2,92.2,1
W02000120,0.5,0.1,0.6,98.7,0.2
W02000122,0.5,0.3,0.7,98.3,0.2
W02000123,1.5,0.2,1,96.6,0.7
W02000124,0.8,0.1,1,97.5,0.5
W02000125,0.6,0.1,0.8,98.3,0.1
W02000126,0.4,0.1,0.9,98.5,0.1
W02000127,0.8,0.1,0.7,98.1,0.3
W02000128,0.1,0.1,0.8,98.8,0.2
W02000129,1,0.2,0.9,97.7,0.3
W02000130,3.8,0.8,1.6,93,0.7
W02000131,1.4,0.3,1.3,96.4,0.6
W02000132,0.9,0.1,0.7,97.9,0.4
W02000133,0.6,0.2,0.7,98.4,0.2
W02000134,0.3,0.3,0.7,98.4,0.3
W02000135,1,0.3,1.2,97.1,0.4
W02000136,1,0.2,0.8,97.6,0.3
W02000137,0.8,0,0.5,98.5,0.1
W02000138,1.1,0.2,1.3,96.9,0.5
W02000139,0.6,0.1,0.9,98.1,0.3
W02000140,0.8,0.1,1.2,97.7,0.3
W02000141,1,0.2,0.9,97.6,0.4
W02000142,0.7,0.1,0.6,98.1,0.5
W02000143,0.5,0.1,0.9,98.2,0.3
W02000144,0.7,0.1,0.9,98.2,0.2
W02000145,0.7,0.2,0.8,97.8,0.4
W02000146,0.7,0.1,0.8,98.2,0.2
W02000147,2,0.6,1.4,95.3,0.6
W02000148,4.1,0.8,1.5,92.5,1
W02000149,2.7,0.7,1.1,94.5,1.1
W02000151,0.5,0.2,1.1,97.5,0.6
W02000152,0.8,0.3,0.8,97.8,0.4
W02000153,0.4,0.2,0.8,98.5,0.1
W02000154,1.4,0.3,1,96.9,0.4
W02000156,0.9,0.1,1,97.8,0.2
W02000157,0.5,0.2,0.6,98.6,0.1
W02000158,0.9,0.1,1,97.5,0.5
W02000159,0.6,0.1,0.9,98.2,0.2
W02000160,1.4,0.3,0.7,97.3,0.2
W02000161,2.7,0.2,1.1,95.6,0.4
W02000162,0.7,0,0.8,98.4,0.1
W02000163,2.2,0.1,1.4,96,0.3
W02000164,1.2,0.1,1,97.4,0.3
W02000165,2.8,0.3,1,95.6,0.3
W02000166,1.4,0.3,0.8,97.3,0.3
W02000167,1.8,0.3,1.1,96,0.9
W02000168,0.7,0.4,1,97.6,0.2
W02000169,1.3,0.2,1.2,96.8,0.4
W02000170,6.4,0.7,1.5,90.7,0.8
W02000171,2.5,0.5,1.1,95.4,0.5
W02000172,1.6,0.2,0.9,96.9,0.3
W02000173,1.8,0.6,1.1,95.9,0.6
W02000174,0.9,0.2,0.8,98,0.1
W02000175,2.7,0.9,1.4,93.9,1
W02000176,3.3,0.5,1,94.9,0.4
W02000177,1.6,0.7,0.9,96.3,0.4
W02000178,4.3,2.2,1.5,90.5,1.4
W02000179,2,0.2,1,96.5,0.3
W02000180,4.4,2,1.4,90.8,1.3
W02000181,2.1,1,2.1,93.7,1.1
W02000182,2.6,0.8,1.1,94,1.5
W02000183,10.5,3.6,1.8,80.9,3.1
W02000184,4.1,0.1,1.4,92.8,1.4
W02000185,0.8,0.2,1,98,0.1
W02000186,5.6,2.4,2,86.6,3.4
W02000188,6.5,1.5,1.8,87.8,2.4
W02000189,6.9,0.9,1.4,87.3,3.4
W02000191,9.2,2.4,3.2,82.3,2.9
W02000192,12.8,3.9,3.5,74.7,5.1
W02000193,13.3,2.9,3.2,78.4,2.2
W02000194,6.9,1.8,2.7,86.4,2.3
W02000195,2.7,0.3,1.4,95,0.6
W02000196,2.1,0.5,1.6,94.9,1
W02000197,0.5,0.1,0.9,98.2,0.2
W02000198,1.2,0.3,1.7,96.4,0.4
W02000200,0.6,0.2,0.7,98.5,0.1
W02000201,0.4,0.2,0.6,98.7,0.2
W02000202,0.8,0.2,1.1,97.7,0.2
W02000204,0.5,0.3,0.9,98.1,0.3
W02000205,0.6,0.2,0.9,98.1,0.3
W02000206,2.1,0.6,1.1,95.7,0.5
W02000207,1.4,0.2,0.9,97.4,0.2
W02000208,3.8,1.3,1.3,92.9,0.7
W02000210,1.3,0.4,1.2,96.7,0.4
W02000211,1.5,0.2,1.3,96.6,0.3
W02000212,0.6,0.1,1.1,98.1,0.1
W02000213,0.8,0.4,1,97.8,0.1
W02000214,1.2,0.2,1.5,96.9,0.3
W02000215,3,0.5,1.5,94.5,0.5
W02000216,5.8,0.3,1.6,91.7,0.6
W02000217,1.7,0.1,1.2,96.7,0.3
W02000218,0.7,0.2,0.5,98.4,0.3
W02000219,0.6,0.1,0.7,98.3,0.2
W02000220,0.8,0.2,0.9,97.8,0.3
W02000221,0.5,0.2,0.9,98.3,0.2
W02000222,0.9,0.1,0.5,98.4,0.2
W02000223,1,0.4,1.1,97.3,0.1
W02000224,1.3,0.3,1.2,96.8,0.4
W02000225,1.2,0.2,1,97.5,0.2
W02000226,1,0.2,0.7,97.8,0.3
W02000227,0.8,0.2,0.9,97.9,0.2
