areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02002910,10.7,74.9,14.5
E02002924,10.4,75.1,14.6
E02003069,9.7,80,10.3
E02003071,10,74.8,15.2
E02003074,12.8,73,14.2
E02003076,10.9,73.8,15.3
E02003078,10.6,73.1,16.2
E02003079,11.8,70.7,17.5
E02003080,8.6,74.8,16.6
E02003081,10.3,77.3,12.4
E02003082,11.2,72.4,16.3
E02003084,12.5,63.1,24.4
E02003085,12,60.1,27.9
E02003086,10.4,73.1,16.5
E02003087,9.7,73.7,16.7
E02003089,9.6,73.1,17.3
E02003931,10.9,74.7,14.3
E02003932,10.8,74.2,15
E02004129,9.7,78.4,11.9
E02004130,8.7,75.7,15.7
E02004131,9.1,77.9,13
E02004132,10.7,75,14.3
E02004133,10.2,75.6,14.2
E02004135,9.6,78.9,11.5
E02004136,10.7,77.4,11.9
E02004149,35.3,39,25.7
E02004150,22,54.5,23.5
E02004151,11.8,67.8,20.4
E02004164,10.5,75.8,13.7
E02004165,10.6,75.7,13.7
E02004166,10.4,73.6,16
E02004167,11.2,66.1,22.8
E02004168,11.7,67.8,20.5
E02004169,12.8,71.6,15.6
E02004170,12.5,68.3,19.2
E02004171,12.5,73.8,13.7
E02004172,12.4,73.2,14.4
E02004173,10.9,74.2,14.9
E02004174,10.5,72,17.5
E02004175,13.2,65.9,21
E02004176,12.1,75.4,12.5
E02004177,14.4,68,17.6
E02004178,12.1,75.5,12.3
E02004179,13.3,72.8,13.9
E02004180,10.7,75.9,13.4
E02004181,10.8,74.3,14.9
E02004182,13.7,65,21.3
E02004183,9.1,75.5,15.5
E02004184,12.6,65,22.4
E02004185,9.4,77.8,12.8
E02004186,11.7,73.1,15.2
E02004187,11.4,71.9,16.6
E02004188,11.9,74.6,13.4
E02004220,8.2,77.2,14.6
E02004221,7.9,77.1,15.1
E02004222,11.4,70.9,17.7
E02004223,11.9,69.4,18.7
E02004224,10.3,76.2,13.5
E02004225,9.5,73.5,17
E02004226,9.9,77.8,12.3
E02004227,10.9,72.6,16.5
E02004228,9.2,76.6,14.2
E02004229,10.9,72,17
E02004230,10.6,73.6,15.8
E02006044,9.4,77.5,13.1
E02006062,10.5,74.5,14.9
E02006063,11,77.3,11.7
E02006064,9,75.1,15.9
E02006065,10.4,69.1,20.6
E02006066,9.2,75,15.9
E02006067,11.1,75,13.9
E02006068,11.3,58.4,30.3
E02006069,14.8,59.5,25.7
E02006070,12,69,19
E02006071,9.8,70.5,19.8
E02006072,9.1,76.8,14.1
E02006073,12.3,62.1,25.6
E02006074,12.7,68.4,19
E02006078,10.5,75.3,14.2
E02006081,10.1,73.9,16
E02006084,7.8,80.1,12.1
E02006093,9.1,77.3,13.6
E02006096,10.4,71.4,18.2
E02006097,9.7,70.8,19.5
E02006098,9.3,79.1,11.6
E02006099,11.5,73.4,15.1
E02006100,11.2,69.7,19.1
E02006101,9.1,74.8,16.1
E02006102,9.6,68.7,21.7
E02006103,8.4,78.6,13
E02006104,13.2,66.4,20.4
E02006105,15,65.8,19.2
E02006106,12,68,20
E02006107,10,67,22.9
E02006108,10.1,71.9,18
E02006109,9.9,78.1,12
E02006110,10.8,68.9,20.3
E02006111,9.9,76.4,13.7
E02006112,9.9,73.9,16.1
E02006113,9.5,72.9,17.6
E02006114,8.7,79.1,12.2
E02006115,10.2,75.1,14.7
E02006116,9.5,77.5,13
E02006117,10.5,76.5,13.1
E02006845,13,63.9,23.1
E02006846,18.9,57.8,23.3
E02007027,13.9,68.8,17.3
E02007028,20.3,57.1,22.6
W02000106,11.7,73.7,14.7
W02000107,8.8,75.6,15.6
W02000108,8.6,76.9,14.5
W02000109,9.3,72.8,17.9
W02000110,10.3,72.1,17.6
W02000111,10.8,73.6,15.6
W02000113,10.9,69.4,19.7
W02000114,10.7,76.1,13.2
W02000116,9.9,74.4,15.7
W02000117,30.6,43.5,25.9
W02000118,18.2,59.3,22.5
W02000120,9.7,75.7,14.6
W02000122,9.3,76.7,14
W02000123,10.1,71.2,18.7
W02000124,8.3,75.1,16.6
W02000125,8.8,76.3,14.9
W02000126,9.4,75.1,15.5
W02000127,9.5,75.8,14.8
W02000128,10.5,74.2,15.3
W02000129,9,76.6,14.5
W02000130,13,63.5,23.5
W02000131,9.7,69.4,20.9
W02000132,10.7,71.4,17.9
W02000133,9.6,74,16.4
W02000134,9.9,73.2,16.8
W02000135,10.1,67.6,22.4
W02000136,9.9,75.4,14.7
W02000137,10,65.6,24.4
W02000138,10.3,65.8,23.9
W02000139,9.3,76.3,14.4
W02000140,9.9,67.4,22.7
W02000141,11.2,73.5,15.3
W02000142,7.2,73.5,19.3
W02000143,8.5,72.5,19
W02000144,9,73.3,17.7
W02000145,9.3,71.1,19.6
W02000146,10.2,74.1,15.7
W02000147,12.1,68.9,19
W02000148,10.7,66.8,22.5
W02000149,8.7,71.4,19.9
W02000151,8.4,68.5,23.1
W02000152,7.1,73.1,19.8
W02000153,8.6,72.6,18.8
W02000154,8.1,68.8,23.1
W02000156,9.5,68.1,22.4
W02000157,7.7,71.9,20.4
W02000158,9.9,72.3,17.9
W02000159,8.4,69.9,21.8
W02000160,7.7,73.1,19.2
W02000161,9.3,65.4,25.4
W02000162,8.3,72.2,19.5
W02000163,10.2,67.5,22.2
W02000164,9.5,70.5,19.9
W02000165,9.3,62.4,28.3
W02000166,9.1,64,26.9
W02000167,10.6,62.3,27.1
W02000168,11.5,64.4,24.1
W02000169,8.1,69.4,22.5
W02000170,9.6,68.8,21.6
W02000171,12.3,67.7,20
W02000172,10.7,65.6,23.7
W02000173,11.5,65,23.5
W02000174,9.5,73.8,16.8
W02000175,10.8,61.9,27.2
W02000176,8.8,65.4,25.8
W02000177,10.6,66.1,23.4
W02000178,9.9,50,40.1
W02000179,11.1,70.1,18.7
W02000180,9.4,59.3,31.3
W02000181,9.8,61,29.2
W02000182,11.8,63.4,24.8
W02000183,15.9,51.1,33
W02000184,10.4,65,24.6
W02000185,10.6,73.7,15.7
W02000186,9.8,50.3,39.9
W02000188,17.2,54.1,28.7
W02000189,10.1,67.7,22.3
W02000191,24.3,52.7,23
W02000192,18.8,49.6,31.6
W02000193,33.2,44.9,21.9
W02000194,20.8,60.1,19.1
W02000195,9.7,77.7,12.6
W02000196,9,73.1,17.9
W02000197,10.4,76.7,12.9
W02000198,11.4,75,13.6
W02000200,8.3,69,22.7
W02000201,8.3,67.4,24.3
W02000202,9.6,67.8,22.7
W02000204,9.3,73.8,16.9
W02000205,8.4,66.8,24.8
W02000206,6.7,64.5,28.8
W02000207,9,72.4,18.6
W02000208,22.8,47.8,29.4
W02000210,8.2,64.4,27.4
W02000211,8.6,62.7,28.7
W02000212,9.4,66.7,23.9
W02000213,8.2,71.8,20.1
W02000214,8.3,61.3,30.4
W02000215,9.5,61.4,29.1
W02000216,9.8,64,26.3
W02000217,11,62.1,26.9
W02000218,9,58.8,32.1
W02000219,9.9,63.6,26.5
W02000220,9.7,66.7,23.5
W02000221,9.4,61.6,29.1
W02000222,9,68.1,23
W02000223,10.5,65.8,23.7
W02000224,11.2,63.2,25.6
W02000225,10.1,63.6,26.3
W02000226,10.2,68.1,21.8
W02000227,10.3,65.2,24.5
W02000228,13.2,63.7,23.1
W02000229,9.6,67.8,22.6
W02000230,9.6,72.8,17.6
W02000231,11.4,63.2,25.4
W02000232,11,68,21
W02000233,10.2,65.7,24
W02000234,11.5,66.6,21.9
W02000235,8.7,74.3,17
W02000236,10.2,71.4,18.4
W02000237,10,75,15
W02000238,10.2,76.4,13.4
W02000239,11,72.2,16.9
W02000240,9.7,67.9,22.5
W02000241,10.9,69.6,19.5
W02000242,9.2,74.9,15.9
W02000243,9.3,61,29.6
W02000244,8.9,73.2,17.9
W02000245,11.5,61,27.5
W02000246,7.5,76.2,16.2
W02000247,10.2,68.8,21
W02000248,11.9,60.1,28
W02000249,9.8,63.8,26.4
W02000250,12.1,68.2,19.7
W02000251,12,66.2,21.9
W02000252,7.9,63.3,28.8
W02000253,9.7,64.3,26
W02000254,7.9,68,24.1
W02000255,9.3,66.3,24.4
W02000256,7.8,64.3,27.9
W02000257,8.4,63,28.6
W02000258,8.3,65,26.6
W02000259,8.2,56.1,35.6
W02000260,8.3,63.9,27.7
W02000261,8.2,67.2,24.5
W02000262,7.4,68.6,24.1
W02000263,9.5,60.1,30.3
W02000264,7.6,59.5,32.9
W02000265,7.9,62.9,29.2
W02000266,8.9,62.1,29
W02000267,9.4,63.6,27
W02000268,9.3,63.7,27
W02000269,8.3,62.5,29.2
W02000270,11.2,63.8,25
W02000271,8.1,63.5,28.4
W02000272,10.9,65.8,23.3
W02000273,23.6,45.1,31.4
