areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02002910,30.8,42,12.7,14.4
E02002924,28.5,39.8,14.1,17.6
E02003069,30.7,40.5,12.9,15.8
E02003071,37.2,34.3,13,15.5
E02003074,31.6,36.3,15.4,16.7
E02003076,25.8,38.4,15.8,20
E02003078,26.5,39.1,14.7,19.7
E02003079,24.7,36.9,18.2,20.2
E02003080,34.1,37.6,13.1,15.2
E02003081,28.6,39.7,15.1,16.6
E02003082,46.9,35.6,9.7,7.7
E02003084,46,30.1,11.6,12.4
E02003085,35.4,30.3,16.4,17.9
E02003086,39.3,35.3,12.7,12.8
E02003087,26.2,42.4,14.4,17
E02003089,29,39.5,14.8,16.8
E02003931,33.6,38,13,15.3
E02003932,23.3,43.8,13.8,19.1
E02004129,24.3,43.9,13.9,17.9
E02004130,39.9,36.7,11.1,12.4
E02004131,28.7,42.7,13.5,15.1
E02004132,23.7,41.3,15.2,19.8
E02004133,31.4,39.8,13.6,15.1
E02004135,27.6,45.3,12.8,14.3
E02004136,26.7,39.5,14,19.8
E02004149,27,40.7,13.6,18.7
E02004150,29.1,30.5,17.2,23.3
E02004151,25,36.5,18.1,20.4
E02004164,25.1,43.9,12.9,18.2
E02004165,24.8,43.5,14.7,17.1
E02004166,27,38.5,14,20.5
E02004167,33.7,34.9,12.8,18.5
E02004168,38.1,34.6,12.3,15
E02004169,24.6,38.3,16.3,20.8
E02004170,30.7,35.8,15,18.6
E02004171,26.4,39.5,14.8,19.3
E02004172,24.8,41.7,14.3,19.1
E02004173,25.7,40.2,14.4,19.7
E02004174,34.6,36.1,13.3,16
E02004175,41.7,32.6,12.1,13.6
E02004176,30.8,43.1,11.7,14.5
E02004177,33.3,35.8,14.4,16.6
E02004178,26.2,38.5,15.6,19.7
E02004179,29.8,37.4,13.9,18.9
E02004180,22,42.1,15.1,20.7
E02004181,33.8,35.3,14.5,16.4
E02004182,43.3,29.4,13.1,14.2
E02004183,33.4,40,12.7,13.9
E02004184,30.9,33.6,16.3,19.3
E02004185,26,45.7,13.4,14.9
E02004186,26,40.3,15.5,18.2
E02004187,28.5,40.2,14.6,16.6
E02004188,28.4,42.5,13.2,15.9
E02004220,38.2,39.7,11.9,10.2
E02004221,33.4,44.6,10.5,11.6
E02004222,40.3,33.7,12.9,13.2
E02004223,29.8,36.3,16.1,17.8
E02004224,25.1,45.4,13.5,16
E02004225,31.6,36.7,14.4,17.3
E02004226,26.8,45.7,11.9,15.6
E02004227,28.2,41,13.3,17.5
E02004228,25,45.3,13.4,16.3
E02004229,24.3,42,13.9,19.8
