areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02002910,79.3,15.2,5.5
E02002924,82.1,13.4,4.5
E02003069,82.9,12,5.1
E02003071,78.9,14.8,6.3
E02003074,83.2,12.7,4.1
E02003076,83.2,12.4,4.4
E02003078,82.1,12.6,5.2
E02003079,82.8,13,4.2
E02003080,74.6,17.7,7.6
E02003081,79.5,15.1,5.4
E02003082,75.2,17.2,7.6
E02003084,73.3,18,8.8
E02003085,73,17.2,9.8
E02003086,74.8,16.8,8.5
E02003087,80.2,13.8,6
E02003089,78.1,15.4,6.5
E02003931,78.2,15.4,6.4
E02003932,81.4,13.7,4.9
E02004129,83.3,13.2,3.5
E02004130,76.3,17.2,6.5
E02004131,81.1,14.2,4.7
E02004132,85.1,11,3.9
E02004133,79.7,15.1,5.2
E02004135,81.1,14.2,4.7
E02004136,84.3,11.7,4
E02004149,89.6,7.7,2.7
E02004150,82.7,12.4,4.9
E02004151,82.3,12.5,5.2
E02004164,82.9,12.3,4.8
E02004165,81.9,13.9,4.2
E02004166,83,12.3,4.7
E02004167,79.8,13.9,6.3
E02004168,77.9,15.7,6.4
E02004169,83.7,12,4.3
E02004170,81.2,13.9,4.9
E02004171,84.3,11.6,4.1
E02004172,82.6,13.2,4.2
E02004173,82.4,13.1,4.5
E02004174,81.6,13.8,4.6
E02004175,75.7,16.3,8
E02004176,80.1,14.9,5.1
E02004177,78.2,15.4,6.4
E02004178,85.3,10.7,4
E02004179,82.8,12.5,4.6
E02004180,83.2,12.1,4.7
E02004181,79.8,14.3,5.9
E02004182,77.4,15.1,7.5
E02004183,77.2,15.9,6.9
E02004184,80.2,13.4,6.4
E02004185,79.6,14.9,5.5
E02004186,83.1,12.2,4.6
E02004187,80.4,13.8,5.8
E02004188,79.5,15.1,5.4
E02004220,75.2,16.8,8
E02004221,77.1,16.4,6.6
E02004222,77.6,15.2,7.1
E02004223,79.7,14.7,5.6
E02004224,80.3,14.6,5.1
E02004225,78,15.8,6.2
E02004226,80.6,14.4,5
E02004227,79.1,15.1,5.8
E02004228,78.2,16.1,5.7
E02004229,81.3,13.3,5.4
E02004230,78.7,15.5,5.8
E02006044,81.7,14.2,4.1
E02006062,79,15.8,5.3
E02006063,84.9,11.8,3.3
E02006064,72.1,19.3,8.7
