areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02002910,94.9,1.1,4
E02002924,96.5,1,2.6
E02003069,94,1.5,4.5
E02003071,94.6,1.4,4
E02003074,94.9,0.9,4.2
E02003076,96.2,1.3,2.5
E02003078,95.9,1.3,2.8
E02003079,95.8,1,3.2
E02003080,94.6,0.9,4.5
E02003081,96,0.9,3.1
E02003082,89.3,1.8,8.9
E02003084,83.8,1.9,14.3
E02003085,91.3,1.3,7.4
E02003086,90.4,1.6,8.1
E02003087,96,1,3
E02003089,93.1,1.6,5.4
E02003931,97.2,0.7,2.1
E02003932,97.5,0.7,1.8
E02004129,95.9,1.2,2.9
E02004130,95.7,0.8,3.5
E02004131,97,0.9,2.1
E02004132,96.6,1.2,2.2
E02004133,95.3,1.6,3.2
E02004135,96.1,1.1,2.8
E02004136,95.5,1.5,3
E02004149,83.6,4.3,12.1
E02004150,86.5,2.9,10.6
E02004151,92.9,1.6,5.5
E02004164,96.4,1.2,2.4
E02004165,95.2,1,3.8
E02004166,96.4,1.2,2.4
E02004167,92.5,1.4,6.1
E02004168,93,0.8,6.2
E02004169,95.8,1,3.2
E02004170,93,1.2,5.8
E02004171,94.8,1.7,3.4
E02004172,96.2,1.2,2.6
E02004173,94.4,1.6,3.9
E02004174,93.3,1.7,5
E02004175,95.8,0.8,3.4
E02004176,96,1,2.9
E02004177,96.3,0.9,2.8
E02004178,95.5,1.3,3.2
E02004179,95.4,1,3.6
E02004180,96.3,0.9,2.7
E02004181,93.7,1.3,5
E02004182,92.7,1.2,6.1
E02004183,94.6,0.9,4.4
E02004184,95.9,0.9,3.2
E02004185,97.3,0.6,2.1
E02004186,96.8,0.8,2.4
E02004187,96.4,0.8,2.8
E02004188,97.6,0.7,1.7
E02004220,97.3,0.7,2
E02004221,97.3,0.7,2
E02004222,95.8,1.1,3
E02004223,97.2,0.9,1.9
E02004224,96.8,0.9,2.3
E02004225,96.5,0.6,2.9
E02004226,97.1,0.8,2.1
E02004227,97.3,0.7,2
E02004228,97.6,0.9,1.6
E02004229,96.1,1.1,2.8
E02004230,94.9,1.2,3.9
E02006044,96,1.3,2.7
E02006062,97.1,0.7,2.2
E02006063,96.2,1.4,2.4
E02006064,95.7,0.7,3.5
E02006065,95.4,0.6,4
E02006066,97.7,0.4,1.9
E02006067,96.8,0.7,2.6
E02006068,90,0.8,9.1
E02006069,80,1.4,18.5
E02006070,90.6,1.2,8.3
E02006071,94.2,0.9,4.9
E02006072,97.5,0.7,1.8
E02006073,88.8,1.2,9.9
E02006074,91.6,1.3,7.1
E02006078,95.7,1,3.4
E02006081,97.2,0.8,2
E02006084,96.4,1.2,2.4
E02006093,97.4,0.6,2
E02006096,91.6,1,7.4
E02006097,88.8,1.1,10.1
E02006098,96.8,0.7,2.5
E02006099,96,0.9,3.1
E02006100,91.2,1.5,7.3
E02006101,95.1,1.4,3.5
E02006102,92.8,0.9,6.4
E02006103,96.6,1.1,2.3
E02006104,93.3,1.3,5.4
E02006105,83.2,2.3,14.5
E02006106,92.3,1.3,6.4
E02006107,91.2,1.3,7.5
E02006108,84.5,2.1,13.4
E02006109,92.5,1.2,6.3
E02006110,93.4,1.3,5.3
E02006111,95.5,1.1,3.4
E02006112,94.3,1.5,4.2
E02006113,94.3,0.9,4.8
E02006114,95.4,1.1,3.6
E02006115,97.4,0.8,1.8
E02006116,96.1,1.2,2.7
E02006117,97.4,1.1,1.5
E02006845,94.1,1.2,4.7
E02006846,88.1,1.6,10.4
E02007027,95.4,1.2,3.3
E02007028,92.7,1.5,5.7
W02000106,95.4,1.2,3.3
W02000107,96.4,1.1,2.5
W02000108,97.3,1,1.7
W02000109,94.5,1.3,4.2
W02000110,97,0.9,2.1
W02000111,95.7,1.5,2.8
W02000113,90.9,1.4,7.7
W02000114,95.5,1.7,2.8
W02000116,94.7,2.1,3.1
W02000117,82.4,3.7,13.9
W02000118,88.7,3,8.3
W02000120,96.7,1,2.3
W02000122,97.1,0.8,2.1
W02000123,92.7,1.4,6
W02000124,96.3,1,2.7
W02000125,97,0.9,2.1
W02000126,96.2,1.3,2.6
W02000127,95.6,1.1,3.2
W02000128,96.7,1.1,2.2
W02000129,96.5,0.9,2.5
W02000130,94.2,1.1,4.7
W02000131,96.2,0.5,3.2
W02000132,96.3,1.1,2.6
W02000133,97,0.8,2.2
W02000134,97.6,0.8,1.6
W02000135,95.9,0.8,3.3
W02000136,96.3,0.8,2.8
W02000137,97,0.6,2.4
W02000138,97,0.5,2.5
W02000139,97.3,0.9,1.8
W02000140,97.3,0.7,2
W02000141,96.1,0.8,3
W02000142,94.9,0.8,4.3
W02000143,96.5,0.9,2.6
W02000144,96.9,0.9,2.2
W02000145,96.5,1,2.6
W02000146,96.5,1.1,2.4
W02000147,93.9,1.7,4.5
W02000148,91.4,1.6,6.9
W02000149,94,0.9,5.1
W02000151,97.6,0.6,1.8
W02000152,97.5,0.8,1.7
W02000153,97,1.1,1.9
W02000154,97.1,0.7,2.3
W02000156,97.8,0.5,1.7
W02000157,98,0.7,1.3
W02000158,97.2,1,1.8
W02000159,97.7,0.9,1.4
W02000160,97.4,0.5,2.1
