areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02002910,92.1,7.5,0.3
E02002924,96.6,3,0.4
E02003069,73.3,26.6,0
E02003071,66.1,33.7,0.1
E02003074,92.2,6.9,0.9
E02003076,91,7.5,1.5
E02003078,89.4,5.5,5.2
E02003079,93.7,6.2,0.1
E02003080,87.5,12.5,0
E02003081,89.6,9.9,0.5
E02003082,29.9,70,0.1
E02003084,39.5,60.4,0.1
E02003085,64.5,35,0.5
E02003086,48.6,51.3,0.1
E02003087,88.9,4.8,6.3
E02003089,85.8,11.6,2.6
E02003931,81.6,18.2,0.2
E02003932,95.7,2.5,1.8
E02004129,97.4,1.7,0.9
E02004130,76.6,20.8,2.5
E02004131,97.3,2.6,0.1
E02004132,95.9,2.8,1.3
E02004133,87.4,12.1,0.5
E02004135,94.9,4.8,0.4
E02004136,93.1,6.5,0.4
E02004149,89.3,10.6,0.1
E02004150,73.4,26.5,0
E02004151,90.6,9.4,0
E02004164,95.9,2.4,1.7
E02004165,94.1,5.5,0.4
E02004166,92.8,6.5,0.7
E02004167,80.7,19.1,0.2
E02004168,77.1,22,0.9
E02004169,94.5,4.6,0.9
E02004170,87.3,12.2,0.5
E02004171,93.7,5.5,0.8
E02004172,98.2,1.1,0.7
E02004173,96.6,2.6,0.8
E02004174,79.2,20.7,0.1
E02004175,59.2,40.7,0.1
E02004176,83.5,14.7,1.9
E02004177,72.5,27.5,0
E02004178,89.3,9.5,1.1
E02004179,88.3,9.7,2
E02004180,95.9,2.4,1.7
E02004181,80.3,18.8,0.9
E02004182,63.8,35.9,0.3
E02004183,83.1,16.7,0.1
E02004184,83.7,16.2,0.1
E02004185,96.1,3.8,0.1
E02004186,95.3,3.9,0.8
E02004187,91.4,8.1,0.5
E02004188,93.4,2.9,3.7
E02004220,87.7,11.9,0.4
E02004221,83.2,15.8,1
E02004222,75.5,24.4,0.2
E02004223,87.2,12.5,0.3
E02004224,96.1,3.6,0.4
E02004225,88.2,11.6,0.2
E02004226,96.5,1.9,1.7
E02004227,92.2,6.8,1
E02004228,96.3,2.2,1.5
E02004229,94.7,4.5,0.8
E02004230,80.4,18.8,0.7
E02006044,96.8,2.6,0.7
E02006062,88.8,5.9,5.3
E02006063,97,2.4,0.6
E02006064,73.2,26.6,0.2
E02006065,80.1,19.6,0.3
E02006066,94.9,3.4,1.7
E02006067,95.2,3.4,1.4
E02006068,86.9,13.1,0.1
E02006069,65.8,33.9,0.4
E02006070,96,3.9,0.2
E02006071,90.5,8.5,0.9
E02006072,94.7,2.6,2.7
E02006073,75.6,23.4,1.1
E02006074,93.6,6.1,0.3
E02006078,90.3,9.2,0.5
E02006081,96.7,2.3,1
E02006084,96.1,2.8,1.1
E02006093,88.4,9.9,1.7
E02006096,89,10.9,0
E02006097,75,24.9,0.1
E02006098,95.1,2.6,2.3
E02006099,94.7,5.2,0.2
E02006100,90.1,9.8,0.1
E02006101,89.9,9.3,0.8
E02006102,80.3,19.7,0
E02006103,95.1,2.1,2.8
E02006104,90.3,9,0.7
E02006105,64,35.9,0.1
E02006106,85.3,12.9,1.8
E02006107,77.5,22.4,0.1
E02006108,56.3,43.6,0
E02006109,92.4,7.2,0.4
E02006110,80.3,19.7,0
E02006111,93.3,5.3,1.4
E02006112,93.6,4.7,1.7
E02006113,61.6,38.2,0.2
E02006114,91.5,8.4,0.1
E02006115,85.8,11.6,2.6
E02006116,95,4.3,0.7
E02006117,92.7,6.7,0.6
E02006845,86.8,11.5,1.7
E02006846,83.8,14.5,1.7
E02007027,93,6.8,0.2
E02007028,92.6,7.3,0.1
W02000106,88.8,10.8,0.4
W02000107,91.4,6.7,1.9
W02000108,88.9,5.2,5.9
W02000109,72.4,27.4,0.2
W02000110,92.8,6.4,0.7
W02000111,92.3,7.2,0.4
W02000113,84.9,14.9,0.2
W02000114,94.3,5.3,0.4
W02000116,92.9,6.5,0.7
W02000117,50.2,49.7,0.2
W02000118,78.4,19.3,2.3
W02000120,92.5,6.4,1.1
W02000122,94.9,3.5,1.6
W02000123,92.1,7,0.9
W02000124,87.8,12,0.3
W02000125,95.2,4.4,0.4
W02000126,95.8,3.4,0.8
W02000127,93.5,6.1,0.3
W02000128,92.9,4.2,2.9
