areacd,in_full_time_education-001,in_full_time_education-002
W02000260,17.9,82.1
W02000261,17.6,82.4
W02000262,19.5,80.5
W02000263,19.4,80.6
W02000264,20.2,79.8
W02000265,19.1,80.9
W02000266,19.3,80.7
W02000267,20.2,79.8
W02000268,17.6,82.4
W02000269,19.2,80.8
W02000270,17.9,82.1
W02000271,18.5,81.5
W02000272,18.1,81.9
W02000273,38.5,61.5
W02000274,20,80
W02000275,17.7,82.3
W02000276,18.6,81.4
W02000277,16.9,83.1
W02000278,19.8,80.2
W02000279,18.7,81.3
W02000280,20.8,79.2
W02000281,18,82
W02000282,21.1,78.9
W02000284,18,82
W02000285,18.3,81.7
W02000286,19.1,80.9
W02000287,18.9,81.1
W02000288,17.1,82.9
W02000289,18,82
W02000290,17.1,82.9
W02000291,17.9,82.1
W02000292,19.8,80.2
W02000293,18.5,81.5
W02000294,16.6,83.4
W02000295,19.5,80.5
W02000296,18.2,81.8
W02000297,17,83
W02000298,19.4,80.6
W02000299,18.8,81.2
W02000300,18.4,81.6
W02000301,19.6,80.4
W02000302,18.4,81.6
W02000303,18,82
W02000304,17.8,82.2
W02000305,17.5,82.5
W02000306,15.7,84.3
W02000307,21.7,78.3
W02000308,19.2,80.8
W02000309,18.6,81.4
W02000310,21,79
W02000311,19.7,80.3
W02000312,18.8,81.2
W02000313,19.4,80.6
W02000314,17,83
W02000315,17,83
W02000316,17,83
W02000317,17.4,82.6
W02000318,18.3,81.7
W02000319,17.5,82.5
W02000320,17.7,82.3
W02000321,17,83
W02000322,16.4,83.6
W02000323,19.4,80.6
W02000324,20,80
W02000325,21.6,78.4
W02000326,17.2,82.8
W02000327,14.8,85.2
W02000328,17.5,82.5
W02000329,18,82
W02000330,16.8,83.2
W02000331,22.8,77.2
W02000332,17.5,82.5
W02000333,18.7,81.3
W02000334,17.5,82.5
W02000335,16.5,83.5
W02000336,13.1,86.9
W02000337,19.1,80.9
W02000338,15.5,84.5
W02000340,14.8,85.2
W02000341,12.9,87.1
W02000346,17.6,82.4
W02000347,16.5,83.5
W02000348,16.8,83.2
W02000349,20.7,79.3
W02000350,17.9,82.1
W02000351,20.3,79.7
W02000352,20.7,79.3
W02000353,19.7,80.3
W02000354,16.8,83.2
W02000355,20.4,79.6
W02000356,24,76
W02000357,19.6,80.4
W02000358,17.2,82.8
W02000359,23.3,76.7
W02000360,16.2,83.8
W02000361,22.1,77.9
W02000362,19.3,80.7
W02000363,17.2,82.8
W02000364,27.2,72.8
W02000365,24.4,75.6
W02000366,20.6,79.4
W02000367,17.7,82.3
W02000368,17.4,82.6
W02000369,20.1,79.9
W02000370,17.2,82.8
W02000371,19.6,80.4
W02000372,22.2,77.8
W02000373,24.7,75.3
W02000374,21.9,78.1
W02000375,27.2,72.8
W02000376,19.6,80.4
W02000377,22,78
W02000378,20.5,79.5
W02000379,29.3,70.7
W02000380,18.5,81.5
W02000381,22.7,77.3
W02000382,25.3,74.7
W02000383,25.7,74.3
W02000384,19.2,80.8
W02000385,30.2,69.8
W02000386,17.9,82.1
W02000387,21.8,78.2
W02000388,18.1,81.9
W02000389,22.1,77.9
W02000390,25.7,74.3
W02000391,53.2,46.8
W02000392,21.2,78.8
W02000393,21.4,78.6
W02000394,66,34
W02000395,21.4,78.6
W02000396,34.4,65.6
W02000397,20.1,79.9
W02000398,77.5,22.5
W02000399,37.1,62.9
W02000400,15.7,84.3
W02000401,18.9,81.1
W02000402,37.8,62.2
W02000403,25.6,74.4
W02000404,19.9,80.1
W02000405,30.6,69.4
W02000406,20.8,79.2
W02000407,26.7,73.3
W02000408,27.2,72.8
W02000409,22.8,77.2
W02000410,30.9,69.1
W02000411,23.6,76.4
W02000412,23.2,76.8
W02000414,14.6,85.4
W02000415,23.4,76.6
W02000416,15.8,84.2
W02000417,17.7,82.3
W02000418,16,84
W02000421,16.8,83.2
W02000422,13.3,86.7
W02000423,28.9,71.1
W02000427,18.5,81.5
W02000428,21.5,78.5
