areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00062487,97,0,3
E00062771,96,1.8,2.1
E00062772,98.1,0.3,1.6
E00062773,98,1.6,0.3
E00062774,91.8,4.3,3.9
E00062775,97.6,0,2.4
E00062776,95.1,2.8,2.1
E00062777,98.5,0,1.5
E00062778,97.2,0.7,2.1
E00062779,97.1,1,1.9
E00062780,95.8,2,2.3
E00062781,93.2,2.5,4.3
E00062782,96.7,2,1.3
E00062783,96.2,1.9,1.9
E00062784,96,0,4
E00062785,98.5,0.3,1.2
E00062786,93.1,0.7,6.2
E00062787,98.1,0.3,1.6
E00062788,95.6,3.8,0.6
E00062789,95.7,1.4,2.9
E00062791,96,1.2,2.8
E00062792,97.5,0,2.5
E00062794,94,3,3
E00062796,95.6,0.4,4.1
E00062797,97.1,1.5,1.5
E00062798,97.3,0.9,1.8
E00062799,97.2,0.6,2.2
E00062800,95.9,2.1,1.9
E00062801,97.4,1.5,1.2
E00062802,97.6,0,2.4
E00062804,84.7,1.1,14.3
E00062805,80.1,1.7,18.2
E00062807,74.6,1.5,23.8
E00062808,68.9,4.6,26.5
E00062809,89.4,1,9.6
E00062810,75.5,2.4,22
E00062811,63.7,3,33.3
E00062812,78.8,1.4,19.8
E00062814,91.1,1.1,7.8
E00062815,81.1,4.7,14.2
E00062816,80.2,2.3,17.6
E00062817,88.5,1,10.4
E00062818,87.5,1,11.6
E00062819,90.8,0.3,8.9
E00062820,87.8,3,9.2
E00062821,77.7,2,20.3
E00062823,87.5,4.8,7.7
E00062824,79.2,1.7,19.1
E00062825,78.3,1.8,19.9
E00062826,83.1,0.4,16.5
E00062827,89.4,1.5,9.1
E00062828,87.6,1.6,10.9
E00062829,79.1,1.8,19.1
E00062830,90.3,2.1,7.7
E00062831,73.3,5,21.7
E00062833,85.3,0.8,13.9
E00062834,74.8,3.5,21.7
E00062835,71.4,2.2,26.4
E00062837,81.1,3.3,15.6
E00062838,97.1,1,1.8
E00062839,95.3,0.4,4.3
E00062840,93.3,4.1,2.6
E00062841,88.7,0,11.3
E00062842,98.9,0.7,0.4
E00062843,96,0.9,3.1
E00062844,89.2,2.9,7.9
E00062845,94.7,0,5.3
E00062846,93,2.6,4.3
E00062847,95,3.4,1.7
E00062848,94.8,0.3,4.8
E00062849,98.4,0,1.6
E00062850,92.7,0.9,6.5
E00062852,96.4,0,3.6
E00062853,93.6,1.1,5.3
E00062855,94.3,0.3,5.4
E00062856,96.2,0.4,3.4
E00062857,94.3,0,5.7
E00062858,87.6,1.6,10.9
E00062859,96.4,0.4,3.2
E00062860,86.1,4.2,9.7
E00062861,94.3,1.7,4
E00062862,89.5,2.6,7.9
E00062864,90.7,1.2,8.1
E00062865,91.1,4.2,4.6
E00062867,94.9,1.9,3.2
E00062868,92.8,3.2,4
E00062869,93.1,1.4,5.6
E00062870,91.9,2.7,5.4
E00062873,89.3,1.5,9.3
E00062874,94.1,1.7,4.2
E00062875,95.7,2.3,2
E00062876,96.8,0.4,2.8
E00062890,97.2,0.8,2
E00062891,96.3,1.1,2.6
E00062893,98.6,0.4,1.1
E00062894,99.4,0.3,0.3
E00062895,98.1,0,1.9
E00062899,98.4,0.3,1.3
E00062930,96,1.1,2.9
E00062932,96.4,0.4,3.2
E00062934,81.5,2,16.6
E00062935,98,0,2
E00062936,96.3,1.1,2.6
E00062937,87.3,1,11.7
E00062939,99.3,0,0.7
E00062940,79.8,1.3,18.9
E00062941,76.6,1.2,22.3
E00062942,76.9,1,22
E00062943,90,0,10
E00062944,90.8,2.1,7.1
E00062945,89.2,2.8,8
E00062946,84.1,2,13.9
E00062947,67.6,0.4,32
E00062948,75.7,0.7,23.6
E00062949,90.1,0.4,9.5
E00062950,83.1,1.3,15.6
E00062951,76.3,0,23.7
E00062952,96.8,0.9,2.4
E00062953,86,1.4,12.7
E00062954,87.1,1.1,11.8
E00062955,94.1,1.5,4.3
E00062956,88,0,12
E00062957,91.2,0.8,8
E00062960,79.6,0.6,19.8
E00062961,91.1,1.6,7.3
E00062962,84.8,2.8,12.4
E00062963,86.4,0.7,12.9
E00062964,80.9,3.8,15.3
E00062965,80.5,2.3,17.2
E00062967,97,0.3,2.7
E00062968,97.7,0,2.3
E00062969,53.6,1,45.3
E00062970,97.5,1.3,1.3
E00062971,97.4,0.3,2.3
E00062972,97.4,1.3,1.3
E00062973,100,0,0
E00062975,97.5,1.2,1.2
E00062976,95.8,1.4,2.8
E00062977,97.1,0.3,2.6
E00062978,97.9,0.3,1.8
E00062979,96.5,2.3,1.2
E00062980,98.7,0.4,0.9
E00062981,97.1,1.2,1.7
E00062982,97.4,0.6,2.1
E00062983,97.9,1,1
E00062984,98,0.3,1.6
E00062985,99.1,0.9,0
E00062986,98.1,0,1.9
