areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00009228,60.1,34,5.9,0
E00009229,71.8,25.4,2.1,0.7
E00009231,56.7,38.5,4.8,0
E00009232,30,61.1,7.8,1.1
E00009234,60.4,36.7,2.9,0
E00009237,37,52.8,7.4,2.8
E00009239,70.3,23.9,5.1,0.7
E00009241,50.9,45.5,3.6,0
E00009243,65.3,28,6.7,0
E00009244,70.6,27.1,2.3,0
E00009245,66.7,31,1.1,1.1
E00009246,49,38,10,3
E00009249,51.5,41.7,6.8,0
E00009250,77,18,5,0
E00009251,72.6,23.8,3,0.6
E00009252,69.8,26.8,1.7,1.7
E00009256,54.7,38.4,4.7,2.3
E00009258,62.3,30.8,6.2,0.8
E00009259,70.1,27.8,2.1,0
E00009260,72,28,0,0
E00009261,79.2,20.8,0,0
E00009263,67.4,30.6,2.1,0
E00009268,74.1,20,4.7,1.2
E00009270,71.1,26.4,2.5,0
E00009315,71.8,25.7,2.5,0
E00009316,77.4,20.8,1.2,0.6
E00009317,71.9,26.1,2,0
E00009318,70.7,23.6,4.9,0.8
E00009319,66.5,29.9,3,0.6
E00009320,42.1,48.6,9.3,0
E00009321,76.1,19.6,3.7,0.6
E00009322,67.6,25.2,5.4,1.8
E00009324,69.9,26.1,3.9,0
E00009325,58.3,36.1,3.7,1.9
E00009326,68.5,22.6,7.3,1.6
E00009327,66.2,30.5,1.9,1.3
E00009328,76.9,23.1,0,0
E00009329,61.5,30.8,5.8,1.9
E00009330,62.1,34.7,1.6,1.6
E00009331,73.7,23.1,2.6,0.6
E00009332,65.8,26.5,6.8,0.9
E00009333,61,36.4,2.6,0
E00009335,63.3,32.5,4.2,0
E00009336,69.2,27.7,3.1,0
E00009337,36.4,48.5,8.1,7.1
E00009338,66.7,25.9,6.2,1.2
E00009339,65.4,32.7,0.9,0.9
E00009340,51.9,41.6,6.5,0
E00009342,70.1,25.6,4.3,0
E00009343,49,43.1,4.9,2.9
E00009344,55,44,1,0
E00009345,75.9,22.9,1.2,0
E00009346,62.9,36.1,1,0
E00009348,70.6,23.5,5.9,0
E00009349,58.9,36.4,4.7,0
E00009350,77.9,22.1,0,0
E00009351,78.6,21.4,0,0
E00009352,59.8,34.5,4.6,1.1
E00009353,55.8,36.8,5.3,2.1
E00009354,74.2,21.4,3.3,1
E00009355,43.5,50,5.4,1.1
E00009356,52.8,44.9,2.2,0
E00009357,51.6,45.3,2.1,1.1
E00009358,62.8,31.4,5.8,0
E00009385,62.4,30.1,6,1.5
E00009386,76,22.7,1.3,0
E00009387,73,24,2.6,0.4
E00009388,71.2,24,3.2,1.6
E00009390,62.2,31.7,4.9,1.2
E00009392,50.5,41.3,8.2,0
E00009394,59.7,37,2.5,0.8
E00009398,60.3,35.8,3.9,0
E00009399,56.8,41.4,0.9,0.9
E00009400,67.4,24.2,8.3,0
E00009402,59.5,34.1,6.3,0
E00009403,80.7,18.6,0.7,0
E00009404,59,35.2,4.9,0.8
E00009405,63.7,28.8,5.5,2.1
E00009406,55.9,37.5,5.3,1.3
E00009407,47.6,44.4,7.9,0
E00009408,56.5,39.7,3.1,0.8
E00009409,81.5,16.2,2.3,0
E00009410,67.1,30.6,2.4,0
E00009411,54.5,39.1,6.4,0
E00009412,55.1,42.5,1.6,0.8
E00009413,49.6,38.4,11.2,0.8
E00009414,68.2,28.8,3,0
E00009415,46.6,45,7.6,0.8
E00009416,48.3,37.1,13.8,0.9
E00009417,67.2,27.6,3,2.2
E00009418,66.7,27.9,5.4,0
E00009419,53.4,40.7,3.7,2.1
E00009420,57.1,32.9,10,0
E00009421,45.6,44.8,8.8,0.8
E00009423,60.4,28.4,10.4,0.7
E00009425,66.4,26.9,6.7,0
E00009426,54.5,33.9,7.4,4.1
E00009427,69.2,25.9,2.8,2.1
E00009428,60.2,27.3,10.2,2.3
E00009431,40.6,53.9,5.5,0
E00009433,61.4,32.7,3.9,2
E00009434,64.2,28.3,6.7,0.8
E00009435,47.6,43.7,8.7,0
E00009436,53.9,38.2,6.7,1.1
E00009437,43.5,45.4,11.1,0
E00009440,89.8,9.3,0.8,0
E00009441,61.1,34.4,3.3,1.1
E00009442,59.5,37.9,2.6,0
E00009443,62.2,31.5,4.7,1.6
E00009444,66.2,25.7,8.1,0
E00009446,64.3,34.8,0.9,0
E00009447,48.6,43,6.5,1.9
E00009448,63.2,34.4,0.8,1.6
E00009450,47.1,42.1,7.9,2.9
E00009451,54.5,32.2,9.8,3.5
E00009453,72.8,22.5,4.7,0
E00009454,73.2,24.4,2.4,0
E00009456,48.4,44.4,7.1,0
E00009458,74.1,23.2,2.7,0
E00009518,62.6,29.1,5.6,2.8
E00009538,69.4,28.2,2.4,0
E00009539,76.1,22.9,0,0.9
E00009540,73.2,25,1.8,0
E00009541,65.8,31.6,2.6,0
E00009542,84.1,14.2,1.8,0
E00009543,58.9,35.6,5.5,0
E00009544,70.8,25.1,4.1,0
E00009545,55.3,40.7,3.3,0.8
E00009546,60.3,33.1,5.8,0.8
E00009547,76.3,19.4,4.3,0
E00009548,80.9,17.4,1.7,0
E00009549,84.6,14.6,0.8,0
E00009550,84,16,0,0
E00009551,67.8,31,1.1,0
E00009552,74.6,23,1.6,0.8
E00009553,79.7,20.3,0,0
E00009554,53.5,38.6,5.9,2
E00009555,72,22.7,5.3,0
E00009556,45.8,41.5,11.9,0.8
E00009557,73.2,23.7,3.1,0
E00009558,62.9,29,6.5,1.6
E00009559,83.5,13.8,2.8,0
E00009560,65,34.2,0.9,0
E00009561,62.1,34.8,3,0
E00009562,77.7,21.7,0.6,0
E00009563,64.8,28.6,6.6,0
E00009564,75.9,17.9,5.4,0.9
E00009565,65.7,30,2.9,1.4
E00009566,64.7,22.7,12.6,0
E00009567,60.6,33.1,5.5,0.8
E00009568,76.7,22.5,0.8,0
E00009569,53.7,35.5,8.3,2.5
E00009570,57.3,36.6,3.8,2.3
E00009571,47.9,39,8.2,4.8
E00009572,74,24,1.9,0
E00009573,71.4,25.4,3.2,0
E00009574,75.8,22.6,1.6,0
E00009575,65,32.2,2.1,0.7
E00009576,51.9,37.7,7.5,2.8
E00009577,59.3,34.3,6.5,0
E00009578,51.7,39,7.6,1.7
E00009579,66.9,30.5,2.5,0
E00009580,64.5,31.4,2.5,1.7
