areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00071262,34.3,32.4,13.9,19.4
E00071263,16.3,45.6,17.5,20.6
E00071264,18.8,55.6,14.5,11.1
E00071265,29.4,43.1,15.6,11.9
E00071266,20,52.5,10.6,16.9
E00071267,15.7,46.3,17.2,20.9
E00071268,45.3,35.2,6.3,13.3
E00071269,22.4,37.6,20.6,19.4
E00071332,26.3,27.8,16.5,29.3
E00071333,14.4,29.7,26.3,29.7
E00071334,26.5,27.4,21.2,24.8
E00071335,39.8,30.5,15.6,14.1
E00071336,18.3,26.8,22,32.9
E00071337,21.3,37,22.8,18.9
E00071338,32,20.3,25,22.7
E00071339,46.5,33.1,13.4,7.1
E00071340,56.9,29.3,5.7,8.1
E00071341,20.5,30.7,21.6,27.3
E00071343,27.3,39.7,9.9,23.1
E00071344,22.3,32.1,25,20.5
E00071345,19.3,31.1,16.8,32.8
E00071346,49.7,28.9,9.4,11.9
E00071347,22.8,35.4,17.7,24.1
E00071348,17,29.5,21.4,32.1
E00071349,27.8,26.2,16.7,29.4
E00071350,28.1,29.8,19.8,22.3
E00071351,25,25.6,20,29.4
E00071362,26.4,42.6,10.1,20.9
E00071363,31,34.1,11.6,23.3
E00071364,21.4,46.2,14.5,17.9
E00071365,21.5,47.7,14,16.8
E00071367,17.8,48.8,15.5,17.8
E00071368,25.7,46.7,13.3,14.3
E00071482,36.1,40.7,17.6,5.6
E00071483,28.4,32.8,12.1,26.7
E00071484,37.4,25.2,15,22.4
E00071485,36.7,41.7,10.8,10.8
E00071539,21.6,38.4,22.4,17.6
E00071540,16.8,36.1,16.8,30.3
E00071541,19.7,43.9,12.1,24.2
E00071542,30.4,35.2,18.4,16
E00071543,12.6,40.9,22.8,23.6
E00071544,18.2,28.1,25.6,28.1
E00071545,23.3,25,27.6,24.1
E00071547,43,48.6,4.9,3.5
E00071548,27.1,47.7,10.3,14.8
E00071549,26.4,48,12.8,12.8
E00071550,23.8,42.9,12.7,20.6
E00071551,24.3,40.5,18.9,16.2
E00071552,10,42.1,21.4,26.4
E00071553,18.8,30.5,23.9,26.9
E00071554,8.8,43.1,27.7,20.4
E00071555,30.3,38.6,13.6,17.4
E00071557,15.2,38.4,28.8,17.6
E00071558,20,43.3,15,21.7
E00071559,22.7,48.7,12.6,16
E00071560,27.3,35.6,15.9,21.2
E00071561,35,34.2,15,15.8
E00071562,29.3,28.4,12.1,30.2
E00071563,16.3,44.9,15.7,23
E00071564,28,39.8,11.9,20.3
E00071565,36.1,33.6,13.4,16.8
E00071566,10.2,41.6,10.9,37.2
E00071567,19.7,40.8,17.2,22.3
E00071568,32.2,36.2,17.4,14.1
E00071569,29.8,38.9,13.7,17.6
E00071570,23,35.1,15.7,26.2
E00071571,34.2,37.4,10.8,17.6
E00071572,42.4,32.6,14.4,10.6
E00071573,49,28.4,12.9,9.7
E00071574,25.9,34.5,21.6,18
E00071575,32.8,45.3,10.9,10.9
E00071576,31,36.2,14.8,18.1
E00071577,32.6,34.8,15.9,16.7
E00071578,30.8,36.8,13.5,18.8
E00071579,25.3,37.3,18.7,18.7
E00071580,28.9,36.4,18.2,16.5
E00071581,35.5,40.3,11.3,12.9
E00071582,36.1,24.5,19.4,19.9
E00071583,43.2,35.5,9.7,11.6
E00071584,24.1,35.7,17,23.2
E00071586,42.2,35.3,10.3,12.1
E00071587,39.8,36.3,8,15.9
E00071588,45.7,32.3,11.3,10.8
E00071590,30.8,43,4.7,21.5
E00071591,51.2,26,11,11.8
E00071592,26.8,41.7,12.6,18.9
E00071593,16.1,40.2,17.9,25.9
E00071620,23.4,35,23.4,18.2
E00071632,27,30.3,32.8,9.8
E00071633,21,33.9,27.4,17.7
E00071634,23.7,36.5,17.1,22.7
E00071635,38.5,42,9.8,9.8
E00071636,28.5,39.6,17.4,14.6
E00071637,32.7,39.5,17,10.9
E00071638,34.9,46.3,12.1,6.7
E00071639,51.4,26.8,13,8.7
E00071716,29.2,38.9,15,16.8
E00071717,27.9,35,15.8,21.3
E00071718,26.1,45.4,21,7.6
E00071720,14.2,38.6,15,32.3
E00071721,36.4,47.7,8.4,7.5
E00071722,25.9,28.6,24.1,21.4
E00071723,26.3,29.8,21.1,22.8
E00071724,42.4,32.2,11.9,13.6
E00071725,23.7,38.5,24.4,13.3
E00071727,20.1,33.6,20.9,25.4
E00071728,29.1,39.3,19.7,12
E00071729,45.3,36.6,9.9,8.1
E00071730,20.2,43.5,18.5,17.7
E00071731,29.9,32.5,19.7,17.8
E00071732,24.9,31.1,22,22
E00071733,23.8,34.6,20.8,20.8
E00071735,23.7,41.2,19.3,15.8
E00071736,19.7,36.1,17.2,27
E00071737,26.8,45.7,15,12.6
E00146970,17.6,48,15.5,18.9
E00146971,17.9,42.8,16.6,22.8
E00147023,27.6,48.5,12.7,11.2
E00147024,17.1,45.9,15.8,21.2
E00147025,25,43.4,17.8,13.8
E00147028,15.4,46.3,16.5,21.8
E00147029,13.2,47.3,17.4,22.2
E00147030,16.7,44.3,16.1,23
E00150675,25,51.6,12.1,11.3
E00151099,10.7,47.6,18.4,23.3
E00151100,20.9,40,20,19.1
E00151101,29.7,28.1,15.6,26.6
E00151104,50.4,35.3,5.9,8.4
E00151110,29.5,42.9,8,19.6
E00151114,33.6,36.1,13.4,16.8
E00151117,27.3,49.6,15.7,7.4
E00151122,25.4,48.5,11.5,14.6
E00151123,26.3,33.6,22.6,17.5
E00151124,8.6,49.5,21,21
E00151125,12.4,48.1,14.7,24.8
E00151126,31.3,31.3,20.9,16.4
E00151127,61.7,28.2,5.7,4.3
E00151128,27.6,39.6,15.7,17.2
E00151172,22.1,40.9,12.7,24.3
E00151173,25.9,37.8,23.8,12.6
E00151176,25.7,45.9,18.2,10.1
E00151177,34.3,44.8,12.6,8.4
E00151178,26.2,48.2,12.8,12.8
E00151179,25,40.2,13.4,21.4
E00151180,19.9,49.3,12.3,18.5
E00151181,38.5,41,9,11.5
E00151182,24,39,15.8,21.2
E00151183,20.1,28.4,23.1,28.4
E00151270,21.6,44,12,22.4
E00151271,17.5,46.9,14.7,21
E00151272,36.5,44.3,7,12.2
E00151273,26.2,42.8,13.4,17.6
E00151274,16.2,47.1,16.2,20.6
E00151275,21.2,55.8,12.4,10.6
E00151276,53.5,31.7,10.9,3.9
E00151277,53.6,18.2,10.9,17.3
E00151278,68.2,17.8,7.5,6.5
E00151280,63.1,19.9,10.6,6.4
E00151285,29.2,43.8,17.7,9.2
E00151286,39.8,31.6,17.3,11.3
E00151287,59.2,25.9,8.3,6.6
E00151288,55.2,35.3,8.6,0.9
E00151289,83.5,13,2.6,0.9
E00151290,37.5,38,16,8.5
E00151291,50.9,28.3,14.5,6.3
E00151293,45.5,31.4,19,4.1
E00151296,30.4,33.9,15.5,20.2
E00151299,43.1,30.9,10.6,15.4
E00151300,43.3,30.6,12.7,13.4
E00151303,41.2,32.7,13.3,12.7
E00151305,33.3,48.1,10.9,7.8
E00151306,29.3,44,17.2,9.5
E00151307,26,45.6,13.6,14.8
E00151308,26.7,47.5,13.1,12.7
E00151309,28.9,45.5,12.4,13.2
E00151310,19.2,48.8,18.4,13.6
E00151311,20.6,46.3,19.4,13.8
E00151312,48.6,31.5,11.6,8.2
E00151313,25,44.7,13,17.3
E00151314,41,37.5,11.8,9.7
E00151315,33.6,43.8,13.9,8.8
E00151316,21.5,45.1,13.8,19.5
E00151317,46.9,38.5,9.1,5.6
E00151318,27.3,44.2,13,15.6
E00151319,31.6,46.6,11.3,10.5
E00151320,25.4,48.4,10.7,15.6
E00151321,14.5,46.8,13.7,25
E00151322,18.6,48.5,22.7,10.3
E00151326,51.5,40.5,6.7,1.2
E00151327,63.1,26.7,8.7,1.5
E00151331,38.5,34.6,13.8,13.1
E00151333,48.1,30.4,9.5,12
E00151334,42.9,28.6,12.9,15.7
E00151336,40.4,34.8,12.8,12.1
E00151340,68.4,21.8,5.7,4
E00151360,21.3,45.7,15,18.1
E00151361,38.7,30.3,16.2,14.8
E00151362,29.8,43.5,17.6,9.2
E00151363,21.6,51.1,14.4,12.9
E00151364,43.7,30.3,16,10.1
E00151365,25.6,49.6,13.6,11.2
E00151366,23.6,39.8,17.9,18.7
E00151367,28.8,41.1,15.1,15.1
E00151368,35.9,36.6,13.4,14.1
E00151369,19.5,42.5,18.6,19.5
E00151370,22.2,56.9,9,11.8
E00151371,27.7,42.3,14.6,15.4
E00151372,55.2,28,11.2,5.6
E00151373,21.4,42.9,17.5,18.3
E00151374,18.9,42.7,20.3,18.2
E00151375,16.2,36.4,21.4,26
E00151376,18.1,51,12.9,18.1
E00151377,24.3,44.9,16.9,14
E00151378,19.8,47.5,16,16.7
E00151379,19.2,51.2,14.4,15.2
E00151380,24.3,43.4,19.1,13.3
E00151401,35.9,40.8,14.8,8.5
E00151402,23.1,39.1,19.2,18.6
E00151403,31.5,33.9,16.9,17.7
E00151404,20.6,30.9,30.9,17.6
E00151405,40.7,32.5,14.6,12.2
E00151406,35.6,26.7,14.8,23
E00151407,27.6,30.1,20.3,22
E00151408,25.9,39.3,14.3,20.5
E00151409,28.7,47.5,19.7,4.1
E00151410,28.2,43.6,16.2,12
E00151411,45.7,28.7,10.9,14.7
E00151412,20.2,48.8,15.5,15.5
