geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00111605,14,20.8,50.6,14.6
E00111606,11.4,23.4,51.3,13.9
E00111607,11.2,23.2,49.6,16
E00111608,12.3,20.6,55.4,11.8
E00111609,7.9,26.7,58.4,6.9
E00111610,10.5,23.3,43.6,22.6
E00111611,7.6,21.2,59.8,11.4
E00111612,9.8,21,57.3,11.9
E00111628,14.7,18.3,57.6,9.4
E00111629,14.7,20.8,52.8,11.7
E00111630,12.4,22.8,47.6,17.2
E00111631,17.2,25.4,44.3,13.1
E00111632,12.8,16.8,56.8,13.6
E00111633,14.4,18.5,50.7,16.4
E00111634,16.6,27,41.7,14.7
E00111677,15.9,25,50,9.1
E00111678,22.2,20,42.2,15.6
E00111679,15.5,27.6,48.3,8.6
E00111680,14.6,26.8,49.6,8.9
E00111681,14.5,28.9,47.4,9.2
E00111682,15.5,16.4,56.9,11.2
E00111684,11.5,22.1,54,12.4
E00111707,13,27.2,43.2,16.7
E00111708,15,23.4,49.1,12.6
E00111709,12.1,22,47.4,18.5
E00111710,11.9,13.1,64.3,10.7
E00111711,17.7,23.4,46.8,12.1
E00111712,11.1,23,50,15.9
E00111713,12.1,20.4,56.7,10.8
E00111714,8.7,20.5,59,11.8
E00111715,10.5,22,49,18.5
E00111716,10.3,22.9,44.6,22.3
E00111717,14.1,20.2,54.9,10.8
E00111718,9.5,22.4,52.6,15.5
E00111719,9.3,25.5,50.3,14.9
E00111720,11,23.7,48,17.3
E00111721,13.3,19.2,57.5,10
E00111722,12.3,18.9,60.7,8.2
E00111723,8.5,17.8,61,12.7
E00111724,11.8,21.6,62.7,3.9
E00111725,17.7,40.3,37.1,4.8
E00111726,9.5,21.4,52.4,16.7
E00111727,15.2,33.7,34.8,16.3
E00111728,9.1,20.5,58,12.5
E00111729,9,26.9,48.7,15.4
E00111730,15.7,20.4,52.8,11.1
E00111731,13.2,28.9,47.4,10.5
E00111732,7.3,26.8,57.3,8.5
E00111733,10.7,28.6,55.4,5.4
E00111734,13.8,33.8,46.3,6.3
E00111735,15.7,24.1,44.6,15.7
E00111736,7.7,24,53.8,14.4
E00111737,8.6,14.4,67.2,9.8
E00111738,14.5,16.2,60.7,8.5
E00111739,9.7,19.4,58.9,12.1
E00111740,13.9,23.8,56.4,5.9
E00111741,11.6,25.6,48.8,14
