geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00101786,0,0,0.7,99.3,0
E00101787,0.7,0,0.5,98.6,0.2
E00101788,0,1.5,1.2,97.3,0
E00101789,1.3,0,3.7,95,0
E00101790,0,0.3,0.3,99,0.3
E00101791,0,0,3.3,96.7,0
E00101792,0,0.6,0.6,98.6,0.3
E00101793,0,0,0.3,99.7,0
E00101794,0.7,0.3,1,97.9,0
E00101795,0.4,0,0.4,99.2,0
E00101796,0,0,1.9,97.8,0.4
E00101797,1.3,0,1.3,97.4,0
E00101798,0.3,0.3,1.6,97.4,0.3
E00101831,0,0,0.7,99.3,0
E00101843,1.1,0,0,98.5,0.4
E00101844,0.4,0,2.3,97.3,0
E00101845,1,0,1.9,95,2.1
E00101846,0.6,0.3,1.5,97.5,0
E00101847,0.8,0.8,0.8,97.6,0
E00101848,0,0,1.8,97.8,0.4
E00101849,1.4,0,6.3,92,0.3
E00101850,0.4,0,2.9,95.4,1.3
E00101851,0,0.4,0.4,98.9,0.4
E00101852,1.6,0,0.6,97.8,0
E00101853,0,0.4,0,99.6,0
E00101854,0,0,0,99.7,0.3
E00101855,0.3,0,2.8,95.8,1
E00101856,0,0.4,1.9,97.3,0.4
E00101857,0,0.8,2.4,96.9,0
E00101858,0.4,0,0.4,98.8,0.4
E00101859,0.3,0,4.1,95.2,0.3
E00101860,0.3,0,0,99.7,0
E00101861,0.9,0.3,2.2,96.6,0
E00101862,1.8,0.3,1.5,96.1,0.3
E00101863,0,0,1,98.7,0.3
E00101864,0,0.3,2.4,97.3,0
E00101865,0,0,0,100,0
E00101866,2.1,0,1.5,96.4,0
E00101867,0.4,0,1.1,98.5,0
E00101868,0.3,0,0,97.8,1.9
E00101869,1.6,0,1.3,97.2,0
E00101870,0.9,0,0.9,97.9,0.3
E00101871,0,0,0.3,99.7,0
E00101872,0,0,1.1,98.9,0
E00101873,0.4,0,0.4,98.9,0.4
E00101874,0.3,0,0.3,99,0.3
E00101875,0.7,0,0,99.3,0
E00101876,1.6,0.3,0.7,97.1,0.3
E00101877,0,0,0.8,98.9,0.3
E00101878,0,0.6,0.9,97.8,0.6
E00101915,0.5,0,0,99,0.5
E00101916,0.3,0,0.9,98.6,0.3
E00101917,0,0.3,1.7,98,0
E00101918,0.8,0.4,3.3,95,0.4
E00101919,0.8,0,0.8,98,0.4
E00101920,0.4,0,0.8,98.9,0
E00149415,0.4,0,2.2,97.4,0
E00149478,0.5,0,0,98.9,0.5
E00149479,0,0,0.8,99.2,0
E00149480,0,0,0,100,0
E00149481,0,0,1.2,98.4,0.4
