geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00101786,97.6,0.7,1.7
E00101787,96.1,1.8,2.1
E00101788,97,0.9,2.1
E00101789,96.6,0.7,2.7
E00101790,96.6,1,2.4
E00101791,99.6,0,0.4
E00101792,97.4,1.1,1.4
E00101793,97.3,0.7,2.1
E00101794,97.2,0.3,2.4
E00101795,96.5,0,3.5
E00101796,96.3,0.4,3.4
E00101797,92.8,0.7,6.5
E00101798,96.1,2.3,1.6
E00101831,96.4,0.7,2.9
E00101843,93.9,1.1,5
E00101844,95.4,0.4,4.2
E00101845,95.4,0.6,4
E00101846,96.6,0.3,3.1
E00101847,96.3,0.5,3.2
E00101848,91.1,1.3,7.6
E00101849,92.3,0,7.7
E00101850,95.4,0,4.6
E00101851,96.2,1.1,2.7
E00101852,95.7,0.6,3.7
E00101853,99.6,0,0.4
E00101854,95.8,1.5,2.7
E00101855,95.5,1,3.5
E00101856,96.6,0.4,3
E00101857,93.7,1.6,4.7
E00101858,97.9,0.4,1.6
E00101859,96.9,0.7,2.4
E00101860,96.3,0.7,3.1
E00101861,95,2.2,2.8
E00101862,96.7,1.8,1.5
E00101863,98.4,0,1.6
E00101864,96.9,0,3.1
E00101865,100,0,0
E00101866,96.7,0.3,3
E00101867,95.1,0.7,4.1
E00101868,93.8,0.8,5.3
E00101869,96.6,1.3,2.2
E00101870,92.9,1.8,5.4
E00101871,96.7,2,1.3
E00101872,98.7,0.3,1.1
E00101873,98.1,1.1,0.8
E00101874,97.7,0.3,1.9
E00101875,96,1,3
E00101876,97.4,2,0.7
E00101877,97.8,1.1,1.1
E00101878,93.8,0.9,5.3
E00101915,95.1,0.5,4.4
E00101916,93.4,1.2,5.5
E00101917,91,3.3,5.6
E00101918,93.7,0.4,5.9
E00101919,96.1,0,3.9
E00101920,95.4,2.7,1.9
E00149415,98.9,0.7,0.4
E00149478,93.5,0.5,5.9
E00149479,98.4,1.2,0.4
E00149480,99.3,0,0.7
E00149481,98,0,2
E00149482,98.4,0.5,1
E00149483,93.4,2.6,4.1
E00149484,93.8,2.2,4
E00149485,94.8,2.1,3
E00149486,97.9,0.4,1.6
W00003947,91.9,5.3,2.8
W00003948,94.8,0.4,4.9
W00003949,94.4,1.4,4.2
W00003950,90.5,6.3,3.2
W00003951,96.3,0.7,2.9
W00003952,96.1,1.3,2.6
W00003953,96.8,1.3,1.9
W00003954,92.9,3.2,3.9
W00003955,95.7,3.1,1.2
W00003956,96.3,1.6,2.2
W00003957,95.9,0.8,3.3
W00003958,95.4,0.2,4.4
W00003982,78.8,2.1,19.1
W00003983,87.9,4,8.1
W00003984,80.9,5.5,13.6
W00003988,69.6,6.4,24.1
W00003989,75.8,4,20.2
W00003990,77.5,1.6,20.9
W00003991,70,3.1,26.8
W00003995,90.3,2.6,7
W00003996,64.6,5.8,29.6
W00003997,86.9,2,11
W00003998,83.8,4.4,11.8
W00003999,74.6,3,22.5
W00004145,95.9,2.1,2.1
W00004146,96.1,2.6,1.3
W00004147,97.8,0.8,1.4
W00004148,98,0.8,1.2
W00004160,93.3,4,2.7
W00004161,94.6,0.3,5
W00004164,96,0,4
W00004165,97.4,1.3,1.3
W00004166,94.6,3.1,2.3
W00004167,95.3,4.2,0.5
W00004168,97.7,1,1.3
W00004169,97.3,0.2,2.4
W00004197,96.9,1.6,1.6
W00004198,95.4,2.5,2.1
W00004199,95.1,2.1,2.8
W00004204,93.4,1.4,5.2
W00004307,91.4,2.3,6.3
W00004308,92.8,3.8,3.4
W00004309,93,1.8,5.1
W00004310,91.3,4.2,4.5
W00004311,96.1,0.9,3
W00004312,97.7,0,2.3
W00004313,96.2,0.7,3.1
W00004314,95.5,2.6,1.9
W00004315,92.3,4.7,3
W00004402,95.1,1,3.9
W00004403,96.7,1.3,2
W00004404,98.6,0,1.4
W00004405,97.3,1.6,1.1
W00004406,97.1,1.3,1.6
W00004407,97.2,2,0.8
W00004408,93,2.9,4.2
