areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00025905,2.4,3.1,89.8,4.7
E00025932,0,3,87.4,9.6
E00025938,2.4,4.8,86.5,6.3
E00025942,5.6,4.8,86.3,3.2
E00026438,0.8,4.9,78,16.3
E00029090,2.3,53.1,40.6,3.9
E00029093,1.4,57.7,35.9,5
E00029108,0,13.8,71.6,14.7
E00029114,0.7,48.6,44.2,6.5
E00029117,3,35.3,48.1,13.5
E00029119,2,15.2,71.7,11.1
E00029120,0.9,23.9,61.5,13.8
E00029122,0,22,74,4.1
E00029123,7.3,55.6,33.9,3.2
E00029125,0,5.2,78.4,16.4
E00029126,0,46.1,41.7,12.2
E00029127,4.3,21.6,61.2,12.9
E00029128,0,24.5,65.5,10
E00029129,1.6,54.8,38.7,4.8
E00029130,0.8,37.3,54.2,7.6
E00029131,0.9,17.2,71.6,10.3
E00029133,9.3,38.3,40.2,12.1
E00029134,0.8,65.8,27.5,5.8
E00029135,10,16.4,72.3,1.4
E00029136,56.9,25.1,15.9,2.1
E00029137,37,28.9,29.6,4.4
E00029138,17.4,14.4,61.4,6.8
E00029139,7.5,38.1,43.1,11.3
E00029140,0,48.8,38.4,12.8
E00029141,16.5,23.6,44.9,15
E00029142,2.3,42,51.1,4.5
E00029143,18.6,24.8,50.4,6.2
E00029144,2.2,47.8,44.1,5.9
E00029145,11,45.6,37.5,5.9
E00029146,65.6,25,7.8,1.6
E00029147,13.2,61.4,21.1,4.4
E00029148,8.7,39.8,48.5,2.9
E00029149,4.2,48.3,42.4,5.1
E00029150,42.3,28.6,25,4.2
E00029151,4.2,51.7,29.2,15
E00029153,0.8,63.6,27.1,8.5
E00029154,3.5,89.6,6.1,0.9
E00029155,12.8,63.2,19.5,4.5
E00029156,18,49.6,30.2,2.2
E00029157,48.5,43.2,8.3,0
E00029158,20.6,52.7,19.3,7.4
E00029159,46.3,50,3.7,0
E00029160,54.1,43.5,1.9,0.5
E00029161,50.5,38.8,10.1,0.5
E00029162,66.4,27.1,6.4,0
E00029163,43.9,33.9,19.3,2.9
E00029164,35.8,43,19.4,1.8
E00029165,14.3,38.7,46.2,0.8
E00029167,17.4,40.5,33.1,9.1
E00029168,0.8,65.6,26.2,7.4
E00029169,9.2,47.7,38.5,4.6
E00029170,5.3,38.2,51.1,5.3
E00029171,56.7,31.1,11,1.2
E00029172,13.8,14.6,64.6,6.9
E00029173,0,12.6,80.2,7.2
E00029174,0,17.9,70.3,11.7
E00029175,30.7,45,17.1,7.2
E00029176,0,13.2,69,17.8
E00029177,28.1,27.3,38,6.6
E00029178,26.9,55.5,17.6,0
E00029179,0.7,35.5,56.5,7.2
E00029180,0,79,16.8,4.2
E00029181,25.3,29.3,21.3,24
E00029182,7.4,72.7,18.2,1.7
E00029183,13,53.7,14.6,18.7
E00029184,1,5,81,13
E00029185,21.7,53.9,14.5,9.9
E00029186,5.5,76.4,17.3,0.8
E00029187,1,57.4,35.8,5.9
E00029188,1,29.1,62.1,7.8
E00029189,11,41.3,38.1,9.7
E00029190,5.3,17,66,11.7
E00029191,0.8,60.2,38.1,0.8
E00029192,2.8,74.3,20.1,2.8
E00029193,3.6,60.9,34.3,1.2
E00029194,10,32.3,45.4,12.3
E00029195,37.2,54.5,5.8,2.5
E00029196,33.3,50.4,14.7,1.6
E00029197,0,75.4,20.3,4.2
E00029199,1.5,65.2,30.4,3
E00029200,9.5,21.4,58.7,10.4
E00029201,0,44.4,46.6,9
E00029202,0.8,5.7,78.9,14.6
E00029203,16,20.8,57.6,5.6
E00029204,0,7.1,86.5,6.3
E00029205,2.2,10.3,77.9,9.6
E00029206,6.8,14.3,66.2,12.8
E00029207,12.6,12.6,64.9,9.9
E00029208,2.4,35.8,53.7,8.1
E00029209,19.6,39.2,35.7,5.6
E00029210,10.3,12.7,66.7,10.3
E00029211,2.1,17.1,70.7,10
E00029212,13,27.4,55.5,4.1
E00029262,13.6,33.3,47,6.1
E00029263,7.3,30.3,43.1,19.3
E00029270,0,5.8,75.2,19
E00029272,0,2.8,68.9,28.3
E00029284,2.4,5.5,74.8,17.3
E00029285,6.6,7.4,73.8,12.3
E00029286,0.8,14.6,69.9,14.6
E00029288,0,6.5,59.3,34.3
E00029290,1,34.3,57.8,6.9
E00029293,52.3,38.3,8.6,0.8
E00029294,84,13,1,2
E00029295,6.8,35.9,54.9,2.4
E00029296,4.3,35.9,53.8,6
E00029297,19.1,58.2,18.2,4.5
E00029299,6.3,50.5,39.6,3.6
E00029300,6.1,28.9,50.9,14
E00029301,5.5,24,54.5,16
E00029303,3.1,24.4,60.3,12.2
E00029304,0.8,3.3,53.7,42.3
E00029306,13.6,68.9,15.9,1.5
E00029308,0.9,64.9,28.1,6.1
E00029310,7,21.7,47,24.3
E00029358,34.4,21.3,25,19.4
E00029359,29.9,14.6,13.9,41.6
E00029360,0.8,45,42,12.2
E00029361,7.2,16.8,23.2,52.8
E00029362,23.7,51.1,8.6,16.5
E00029363,42.9,2.5,48.7,5.9
E00029364,9.1,18.2,67.8,5
