geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00131960,66.2,3,30.9
E00131961,72.8,3.4,23.8
E00131962,74.4,1.5,24.1
E00131964,62.4,3.7,33.9
E00131965,71.8,5.4,22.7
E00131966,66.1,1.7,32.2
E00131979,60.8,3.7,35.5
E00131980,57.9,2.7,39.5
E00131981,59.7,2.4,37.9
E00131982,72.6,3.7,23.8
E00131983,62.7,2.4,34.8
E00131984,66.7,3.2,30.1
E00131985,71.5,3.8,24.7
E00131986,61,2.7,36.3
E00131987,58.7,5.8,35.5
E00131988,57.3,3.5,39.3
E00131989,66.9,2.8,30.4
E00131990,65.6,5.3,29.1
E00131991,49.6,4.7,45.8
E00131994,45.7,3.4,50.9
E00131995,58.6,4.7,36.7
E00132002,68.8,3.1,28.1
E00132005,48.9,1.8,49.3
E00132006,68.6,3.2,28.2
E00132011,50.2,0.3,49.5
E00132012,45.8,2.4,51.7
E00132013,57,0,43
E00132021,59.3,0.8,39.8
E00132022,46.5,1.2,52.3
E00132023,54.1,0,45.9
E00132024,50.6,1.2,48.2
E00132025,47.2,1.8,51
E00132027,55.5,4.2,40.3
E00132029,36.5,4.4,59
E00132030,53.2,3.6,43.2
E00132032,43.1,2.7,54.3
E00132034,67.9,3,29.1
E00132036,53.5,0.6,45.9
E00132037,54.4,0.3,45.3
E00132038,55.5,4.1,40.4
E00132039,65.1,2.1,32.8
E00132040,66,3.1,30.9
E00132041,47.3,1.8,50.9
E00132042,55.9,2.3,41.8
E00132043,53.7,0.5,45.7
E00132044,41.4,1.1,57.5
E00132045,56.9,3.6,39.5
E00132046,57.3,2.9,39.8
E00132047,54.9,1.5,43.6
E00132048,46.2,1.5,52.3
E00132049,62.8,5.3,31.9
E00132061,61.7,3.2,35.1
E00132062,67.1,3.4,29.5
E00132063,68.1,4.1,27.8
E00132064,73.5,4.5,22
E00132065,75.9,5,19.1
E00132066,63.2,4,32.9
E00132067,68.4,1.2,30.3
