geography_code,in_full_time_education-001,in_full_time_education-002
E00131960,22.1,77.9
E00131961,16.4,83.6
E00131962,18.7,81.3
E00131964,14,86
E00131965,15.8,84.2
E00131966,13.5,86.5
E00131979,22.8,77.2
E00131980,23,77
E00131981,15.3,84.7
E00131982,18.7,81.3
E00131983,9.6,90.4
E00131984,24.9,75.1
E00131985,16.5,83.5
E00131986,37.9,62.1
E00131987,33.2,66.8
E00131988,27.7,72.3
E00131989,21.8,78.2
E00131990,18.3,81.7
E00131991,20.3,79.7
E00131994,11.6,88.4
E00131995,24.6,75.4
E00132002,16.9,83.1
E00132005,10.2,89.8
E00132006,21.5,78.5
E00132011,18.3,81.7
E00132012,13.9,86.1
E00132013,17.4,82.6
E00132021,26.3,73.7
E00132022,10.6,89.4
E00132023,15.8,84.2
E00132024,8.5,91.5
E00132025,14.3,85.7
E00132027,14.5,85.5
E00132029,6.1,93.9
E00132030,23.8,76.2
E00132032,19.1,80.9
E00132034,23.3,76.7
E00132036,17.6,82.4
E00132037,10.9,89.1
E00132038,18.5,81.5
E00132039,21.4,78.6
E00132040,16.4,83.6
E00132041,15.7,84.3
E00132042,21.2,78.8
E00132043,24.3,75.7
E00132044,19.5,80.5
E00132045,18.4,81.6
E00132046,13.2,86.8
E00132047,19.1,80.9
E00132048,11.9,88.1
E00132049,14.7,85.3
E00132061,21.5,78.5
E00132062,18.2,81.8
E00132063,20.3,79.7
E00132064,14.9,85.1
E00132065,5.3,94.7
E00132066,18.8,81.2
E00132067,19.9,80.1
E00132068,13.8,86.2
E00132069,23.4,76.6
E00132070,24.8,75.2
E00132071,20.7,79.3
E00132072,23.8,76.2
E00132073,18.2,81.8
E00132074,23.3,76.7
E00132075,22.5,77.5
E00132076,18.4,81.6
E00132077,17.8,82.2
E00132078,25.1,74.9
E00132079,16.6,83.4
E00132080,17,83
E00132081,13.4,86.6
E00132082,14.6,85.4
E00132083,17.2,82.8
E00132084,20.6,79.4
E00132085,22.8,77.2
E00132086,24.1,75.9
E00132088,18.8,81.2
E00132089,16.8,83.2
E00132090,11.4,88.6
E00132091,17.3,82.7
E00132092,10.9,89.1
E00132093,18.6,81.4
E00132094,11.6,88.4
E00132095,20.9,79.1
E00132096,20.3,79.7
E00132097,11.7,88.3
E00132098,16,84
E00132099,16.9,83.1
E00132100,22.6,77.4
E00132101,19.3,80.7
E00132102,9.4,90.6
E00132103,19.8,80.2
E00132104,27.1,72.9
E00132105,20.5,79.5
E00132106,15.8,84.2
E00132107,18.5,81.5
E00132108,9,91
E00132109,20.7,79.3
E00132110,14.2,85.8
E00132111,16.4,83.6
E00132112,13.5,86.5
E00132113,13.8,86.2
E00132115,20,80
E00132116,19.6,80.4
E00132117,13,87
E00132118,22.9,77.1
E00132119,16,84
E00132120,20.6,79.4
E00132121,12.7,87.3
E00132123,12.1,87.9
E00132124,18.6,81.4
E00132125,11.3,88.7
E00132128,15.3,84.7
E00132129,19.1,80.9
E00132130,16.3,83.7
E00132131,16.8,83.2
E00132132,22.7,77.3
E00132133,14.3,85.7
E00132134,15.9,84.1
E00132135,26.1,73.9
E00132136,10.1,89.9
E00132137,18.3,81.7
E00132138,27.3,72.7
E00132139,18.4,81.6
E00132140,14.5,85.5
