geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00131960,6.2,0.8,1.9,89.2,1.9
E00131961,0.3,1.1,1.6,94.3,2.7
E00131962,3,1.4,2.8,87.3,5.6
E00131964,1.2,1.2,0.8,91.8,5.1
E00131965,2.4,3,0.9,89.3,4.5
E00131966,4.9,0,3.1,89.9,2.1
E00131979,0,0,0,97.8,2.2
E00131980,0.5,0.5,1.7,97.3,0
E00131981,0,1,2.9,96.1,0
E00131982,2.5,0,3,92.1,2.5
E00131983,2.1,0.5,4,88.7,4.7
E00131984,0,1.3,1,97.7,0
E00131985,0.7,0,3.5,94.5,1.4
E00131986,1.5,0,0.8,96.1,1.7
E00131987,0,0.8,2.9,93.8,2.5
E00131988,0.6,0.2,4.5,92.9,1.9
E00131989,1,0,1.7,96.3,1
E00131990,0.4,0.4,0.4,98.9,0
E00131991,0.7,0,1.3,98,0
E00131994,9.4,0,1.2,89.4,0
E00131995,2.2,1.9,0.8,95,0
E00132002,2,1.7,1.2,94.1,1
E00132005,1.6,0,0.4,97.5,0.4
E00132006,4.1,1.4,0,94.5,0
E00132011,0,0,0.5,99.5,0
E00132012,0,0.3,0,99.4,0.3
E00132013,0,0,0,100,0
E00132021,0,0,0.6,98.7,0.6
E00132022,2.1,0.4,1.1,96.4,0
E00132023,1.2,0.4,0,98.5,0
E00132024,3.1,0,0.2,96.6,0
E00132025,0.5,0.5,0,98.7,0.3
E00132027,4.3,0,2,93.8,0
E00132029,0,0.4,1.1,98.5,0
E00132030,0.3,0.3,2.6,96.7,0
E00132032,2,0,3.2,94.7,0
E00132034,0,0,1,99,0
E00132036,0,0,0,100,0
E00132037,0.3,0,0,99.7,0
E00132038,11.1,0.4,1.1,83.3,4.1
E00132039,11.6,0.3,1,83.3,3.8
E00132040,4.2,3,2.1,87.6,3
E00132041,16.8,1.1,0.8,79.8,1.5
E00132042,7.3,0.7,1.6,87.8,2.6
E00132043,27,4.5,0.6,64.3,3.5
E00132044,9.7,2.3,1,81.9,5.2
E00132045,14,2.5,1.2,80.7,1.6
E00132046,6.8,2.1,2.1,88.9,0
E00132047,18.9,3.1,2.4,74.1,1.4
E00132048,1.4,0,0.3,98.3,0
E00132049,17.4,8.1,1.7,66.9,5.9
E00132061,3.2,0.3,0,93.1,3.5
E00132062,1.4,0.3,0.8,95.9,1.6
E00132063,0,0.3,2.7,97,0
E00132064,2.3,0.3,1.3,91.1,5.1
E00132065,5.5,1.4,2.3,83.6,7.3
E00132066,3,0,0.9,93.1,3
E00132067,4.4,0.2,2.2,93.2,0
E00132068,1.6,0,0,96.8,1.6
E00132069,1.8,2.9,1.5,93.2,0.7
E00132070,1,0.3,1.8,95,1.8
E00132071,0,0,0,97.9,2.1
E00132072,1.8,0,3.3,93.8,1.1
E00132073,1.9,1.5,3.6,89.3,3.6
E00132074,1.6,0,1.6,95.6,1.2
E00132075,0,0,1.6,98.4,0
E00132076,0,0,1.6,97.4,1
E00132077,1.5,1.2,2.3,93,2
E00132078,4.1,0,1.4,94.5,0
E00132079,2.2,0,4.3,85.2,8.3
E00132080,3,0.6,0.6,95.8,0
E00132081,0,0.4,4.4,91.6,3.6
E00132082,6.9,0,0.3,91.4,1.4
E00132083,0,0.3,2.4,96.3,1
E00132084,1,0,0.7,98,0.3
E00132085,3.1,0,0,96.9,0
E00132086,0,3.4,0,96.6,0
E00132088,1.6,1.4,1.4,93.3,2.2
E00132089,0.8,0,1.6,94.8,2.8
E00132090,1.6,0.3,1.3,95.8,1
E00132091,1.1,0,0.9,97.9,0
E00132092,1.2,0,3.8,92.5,2.6
E00132093,0,0,1.2,98,0.8
E00132094,4.1,0,2.3,93.2,0.5
E00132095,2.5,0,3.9,91.8,1.8
E00132096,1.5,1.5,2.2,92.6,2.2
E00132097,1.3,0,0,98.7,0
E00132098,0,0,2,96,2
E00132099,1.3,0.2,1.1,96.3,1.1
E00132100,0.6,0,0.3,98.2,0.9
E00132101,2.7,0,3.1,92.6,1.6
E00132102,0,0,1.6,98.4,0
E00132103,0,2.7,2.7,92.7,1.8
E00132104,0.8,0.3,1.3,96.5,1.3
E00132105,3.2,1.1,1.3,86.6,7.8
E00132106,1.7,0,2,88.9,7.4
E00132107,2.6,0.9,2.3,88.3,6
E00132108,0.8,0.4,0.8,97.9,0
E00132109,0,0,0.7,95.6,3.7
E00132110,1.2,2.4,3.6,91.1,1.8
E00132111,0,0,1.3,98.7,0
E00132112,0.3,0,2.9,96.9,0
E00132113,1.3,0,0,98.4,0.3
E00132115,0.3,0,0.8,99,0
E00132116,2.1,0.7,0,96.9,0.3
E00132117,1.7,0,1.3,97.1,0
E00132118,0,0.3,0.9,98.7,0
E00132119,0,0,0.8,98.9,0.3
E00132120,0,0,0,100,0
E00132121,1.5,1.3,0.5,96.7,0
E00132123,0,0,1.2,98.8,0
E00132124,4.4,0.9,0.6,94.1,0
E00132125,6.1,0.7,1.4,91.7,0
E00132128,1.4,0.3,0.8,96.3,1.1
E00132129,1.8,0.6,0.6,91.7,5.4
E00132130,2.5,0,3.1,92.3,2.2
E00132131,3.4,2.2,1.9,88.5,4
E00132132,3.8,3.1,0.3,90.6,2.1
E00132133,1.4,1.8,0.4,96.4,0
E00132134,0,0,0.4,99.2,0.4
E00132135,1.3,0.2,1.7,95.5,1.3
E00132136,1.3,3.6,0,93.7,1.3
E00132137,2.7,0.3,4.8,91.1,1
E00132138,0,0.3,1,98.4,0.3
E00132139,2.9,0,3.8,93.3,0
E00132140,0.3,0,1.1,95.4,3.2
E00132141,0.4,0,0,99.6,0
E00132142,0,0,0.9,98.7,0.4
E00132143,2.3,0,0,97.7,0
E00132144,1.2,0.3,3.8,94.7,0
E00132145,3.1,0,1.1,95.8,0
E00132146,0.4,0,0.8,98.9,0
E00132147,0,0,0,100,0
E00132148,0,0.3,1.1,98.6,0
E00132149,0,0,2.4,97.6,0
E00132151,0,0.3,1.6,98.1,0
E00132152,0.4,0,1.5,94.5,3.7
E00132153,0.4,1.9,1.5,96.2,0
E00132201,1.4,0,1.4,96.8,0.4
E00132202,2,0.2,2.3,95.3,0.2
E00132204,0,0,2.3,97.3,0.3
E00132207,0,0,1,99,0
E00132208,0,0,2,98,0
E00132209,0.3,0,0.3,99.3,0
E00132210,0,0,0.2,99.8,0
E00132211,0,0.4,1.7,97.4,0.4
E00132212,0,0,1.5,98.1,0.4
E00132213,0,0,1,98.8,0.2
E00132214,0.6,0,1.2,97.7,0.6
E00132215,0.7,0,1.3,98,0
E00132217,0,1.1,1.4,96.9,0.6
E00132218,0.7,0.3,0.7,98.3,0
E00132228,0,0.4,1.8,97.9,0
E00132229,0.3,1,1.6,97,0
E00132230,0,0.3,0,99.7,0
E00132231,0.7,0,2.1,97.2,0
E00132232,0.3,0.6,0.3,98.9,0
E00132233,2.6,0,0.6,96.8,0
E00132234,0,0,0,100,0
E00132347,0,1,1,98.1,0
E00132348,1.2,0.3,1.5,97,0
E00132349,0,0,0,100,0
E00132942,0.8,0,0.8,98.5,0
E00132943,4.2,0,2.4,93.4,0
E00132944,0,0,0,100,0
E00132945,0,0,0,100,0
E00132946,1.3,0,0,98.7,0
E00132947,1.6,2.5,1.2,94.5,0.2
E00132948,0,0,0.5,98.4,1.1
E00132949,0,0.2,1.9,97.9,0
E00133029,0,0.5,0.5,99.1,0
E00133030,0.3,0,1.6,98.1,0
E00133032,0.3,0,0,99.7,0
E00133033,0.4,0,0,99.6,0
E00133034,0.5,0,1.3,98.2,0
E00133035,1.2,0,2,96.8,0
E00133036,1.3,0,1.3,95.3,2.2
E00133037,0,0,0,100,0
E00133038,0,1.8,0,98.2,0
E00133039,2.3,0,0,97.7,0
E00133040,2,0,1,97,0
E00133041,0.8,0.3,0.3,98.6,0
E00133042,0,0,0.4,99.6,0
E00133043,0.5,0,0,99.5,0
E00133045,0,0,0.5,99.5,0
E00133069,2.6,0.3,2.6,94.6,0
E00133070,0.6,0,1.6,97.8,0
E00133074,0.4,0.2,1.1,96.9,1.3
E00133075,0.2,1.2,0.5,98.1,0
E00133089,0.8,0,1.3,97.9,0
E00133090,0,0,0,100,0
E00133091,0,0.4,1.1,98.6,0
E00133092,0.3,0.3,1.2,98.2,0
E00133155,0,0,0,100,0
E00133263,0,0.3,0.3,99.4,0
E00169322,1.7,1.7,1.7,91.1,3.8
E00169323,2.6,1.6,0,88.4,7.4
E00169324,0,1.4,0,97.8,0.8
E00169325,2,1.1,3.1,92.6,1.1
E00169326,0,1.8,1.8,93.9,2.4
E00169339,1,0,0,99,0
E00169340,0,0.3,3.1,96.2,0.3
E00169341,0,0,0.5,99.1,0.5
E00169342,0,0,1.8,98.2,0
E00169343,0,2.8,0,97.2,0
E00169347,8.7,1,0,90.3,0
E00185273,0,2.5,0.8,92.4,4.2
E00185286,4.4,3.3,1.1,91.1,0
E00185291,0.8,0.3,2.4,94.9,1.6
E00185298,0.7,0,1.4,97.2,0.7
E00185302,0.3,0,1.4,98.3,0
E00185334,0,0.9,1.5,96,1.5
E00185335,0.2,0,1,98.8,0
E00185337,3,0,0,96.7,0.3
E00185351,6,2.7,2.4,88.9,0
E00185358,1.4,0,0,96.4,2.1
E00185362,0,0,4.7,95.3,0
E00185372,0,0.4,0,98.5,1.2
E00185375,1.4,1.3,3.8,93,0.5
E00185376,0,0,0.7,99.3,0
E00185382,0.9,0,2.4,95.8,0.9
E00185384,0.6,0.3,0,99,0
E00185389,1.6,0,1.6,95.9,0.8
E00185403,2.3,1.6,0.2,96,0
E00185413,0.6,0.3,0.9,98.1,0
E00185415,0,0.9,0.6,98.5,0
E00185416,4.9,2.1,3.5,89.4,0
E00185421,5.4,0.7,5.4,87.9,0.7
E00185424,0,0.5,2.5,97,0
E00185425,5.8,2.7,3,88.4,0
E00185434,0.3,0,0.3,99.4,0
E00185435,1.8,0,0,98.2,0
E00185441,0.9,0,2.3,96.3,0.6
E00185444,0.8,0,0,97.5,1.7
E00185445,0,0,1.2,97.2,1.7
E00185448,1.2,0.8,2.2,95.4,0.4
