areacd,heating_type_3a-001,heating_type_3a-002
E00131349,1.9,98.1
E00131350,0.8,99.2
E00131351,0.8,99.2
E00131352,0,100
E00131353,1,99
E00131354,0,100
E00131355,0.7,99.3
E00131356,0,100
E00131357,2.1,97.9
E00131358,0,100
E00131359,0,100
E00131360,2,98
E00131388,0.9,99.1
E00133760,0,100
E00133761,2,98
E00133762,0,100
E00133873,0,100
E00133874,0,100
E00133875,0.6,99.4
E00133876,0.9,99.1
E00133877,0.6,99.4
E00133878,0,100
E00133879,1.3,98.7
E00133929,0.6,99.4
E00133930,0.7,99.3
E00133931,0,100
E00133932,0,100
E00133935,0,100
E00143418,0,100
E00143419,0,100
E00143420,0.8,99.2
E00143421,0,100
E00143422,0.9,99.1
E00143423,0,100
E00143424,0,100
E00143425,0,100
E00143426,0,100
E00143427,0.7,99.3
E00143428,1.5,98.5
E00143429,0,100
E00143746,0.8,99.2
E00143750,2.1,97.9
E00143751,8.7,91.3
E00144108,0,100
E00144109,0.7,99.3
E00144110,2.4,97.6
E00144111,1.4,98.6
E00144112,1.3,98.7
E00144113,1.3,98.7
E00144114,0.8,99.2
E00144115,0.6,99.4
E00144116,0,100
E00144117,3.5,96.5
E00144118,0.9,99.1
E00144119,5.2,94.8
E00144120,1.8,98.2
E00144121,3.3,96.7
E00144122,1.6,98.4
E00144123,0,100
E00144124,0.9,99.1
E00144125,2.3,97.7
E00144126,0.9,99.1
E00144127,3.7,96.3
E00144128,0.9,99.1
E00144129,0,100
E00144130,0,100
E00144131,0,100
E00144132,0.9,99.1
E00144133,0,100
E00144134,1.5,98.5
E00144136,1.6,98.4
E00144137,0.6,99.4
E00144138,0,100
E00144139,0,100
E00144140,0.8,99.2
E00144141,3.5,96.5
E00144142,0.8,99.2
E00144143,0,100
E00144144,0.8,99.2
E00144145,2.6,97.4
E00144146,0.9,99.1
E00144147,1,99
E00144148,3.7,96.3
E00144149,0.7,99.3
E00144150,1.5,98.5
E00144151,2.3,97.7
E00144152,2.9,97.1
E00144153,0.9,99.1
E00144155,1.7,98.3
E00144156,0,100
E00144158,0,100
E00144159,4.3,95.7
E00144207,0.9,99.1
E00144208,0,100
E00144209,0,100
E00144210,0.6,99.4
E00144211,0.7,99.3
E00144212,1.2,98.8
E00144213,0.8,99.2
E00144214,2.2,97.8
E00144215,0,100
E00144216,0,100
E00144217,0.7,99.3
E00144218,1.1,98.9
E00144219,0.8,99.2
E00144220,0,100
E00144221,2,98
E00144222,0,100
E00144223,0,100
E00144224,1.9,98.1
E00144225,0.7,99.3
E00144226,1.2,98.8
E00144227,0,100
E00144228,2.5,97.5
E00144229,3.3,96.7
E00144230,0,100
E00144231,1.1,98.9
E00144232,1,99
E00144233,0,100
E00144234,2.1,97.9
E00144236,3.6,96.4
E00144237,0,100
E00144238,0.6,99.4
E00144239,1.7,98.3
E00144240,0.8,99.2
E00144241,1,99
E00144242,2.3,97.7
E00144243,0,100
E00144244,1.4,98.6
E00144245,2.1,97.9
E00144246,0,100
E00144250,10,90
E00144285,0.8,99.2
E00144286,0.7,99.3
E00144287,0,100
E00144288,3.4,96.6
E00144289,2,98
E00144290,0.9,99.1
E00144291,1.9,98.1
E00144292,1.6,98.4
E00144293,0,100
E00144294,0,100
E00144295,1.6,98.4
E00144296,3.4,96.6
E00144297,0.7,99.3
E00144298,2.8,97.2
E00144299,0,100
E00144300,2.9,97.1
E00144301,0.5,99.5
E00144320,1,99
E00144321,2.8,97.2
E00144322,0,100
E00144323,0,100
E00144324,0.8,99.2
E00144325,0,100
E00144326,0,100
E00144327,0,100
E00144328,0,100
E00144329,1.8,98.2
E00144330,1.7,98.3
E00144331,0,100
E00144332,0.9,99.1
E00144333,0.8,99.2
E00144334,0,100
E00144336,0.6,99.4
E00144337,0,100
E00144338,0.6,99.4
E00144339,0,100
E00144340,0,100
E00144341,0,100
E00144342,0,100
E00144343,0.4,99.6
E00144344,0,100
E00144345,0.7,99.3
E00144346,0,100
E00144347,0,100
E00144348,0,100
E00144351,0,100
E00144352,1.7,98.3
E00144355,0,100
E00144356,0,100
E00144357,0,100
E00144358,0.8,99.2
E00144359,1.6,98.4
E00144360,0.5,99.5
E00144361,0,100
E00144362,0,100
E00144363,0,100
E00144365,0,100
E00144366,0,100
E00144367,1.2,98.8
E00144368,1,99
E00144369,0,100
E00144370,1.6,98.4
