areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E00097971,99.3,0.7,0,0
E00097972,100,0,0,0
E00097973,99.1,0,0,0.9
E00097974,99.2,0.8,0,0
E00097980,100,0,0,0
E00097981,98.2,0.9,0,0.9
E00097982,100,0,0,0
E00097983,99.2,0.8,0,0
E00127314,99.2,0.8,0,0
E00127315,99.1,0.9,0,0
E00127316,97.4,1.3,0.7,0.7
E00127317,97.3,2.7,0,0
E00127318,99.2,0,0,0.8
E00127319,98.4,0.8,0.8,0
E00127320,96.8,0.8,0,2.4
E00127321,100,0,0,0
E00127322,96,0,0,4
E00127323,96.9,0.8,0.8,1.6
E00127324,98.7,0,0,1.3
E00127325,96.9,0.8,0,2.4
E00127326,95.8,2.1,0,2.1
E00127327,99.2,0,0,0.8
E00127328,100,0,0,0
E00127382,97.4,0.7,0,2
E00127383,92.9,2.1,0.7,4.3
E00127385,96,4,0,0
E00127386,96.2,2.3,0,1.5
E00127387,96.4,1.4,0,2.2
E00127389,89,4.4,0.7,5.9
E00127390,91.4,3.4,0,5.2
E00127393,92,1.8,3.5,2.7
E00127394,94,1.5,1.5,3
E00127397,94.9,1.7,1.7,1.7
E00127398,92.7,2.4,1.6,3.3
E00127412,100,0,0,0
E00127424,97.3,2,0.7,0
E00127425,96.6,2.5,0,0.8
E00127434,93.8,1.6,2.3,2.3
E00127435,91,2.3,3.8,3
E00127436,93.3,3,0,3.7
E00127437,87.9,6,0.9,5.2
E00127438,92.9,1,0,6.1
E00127439,94.7,0.9,2.6,1.8
E00127440,86.4,0,0,13.6
E00127441,88.9,2.4,2.4,6.3
E00127442,92.5,0.9,0,6.6
E00127443,94.4,4,0,1.6
E00127444,97,2.3,0,0.8
E00127445,97,1.5,0,1.5
E00127446,94.1,1.7,2.5,1.7
E00127447,95.6,0,1.5,3
E00127448,96.6,0.8,0,2.5
E00127449,94.5,3.9,0,1.6
E00127450,95.9,0,2.5,1.6
E00127451,88.6,2.6,0,8.8
E00127452,96,0,2.4,1.6
E00127453,96.4,1.8,1.8,0
E00127454,88.4,2.1,2.1,7.4
E00127455,89.8,4.2,1.7,4.2
E00127456,90.5,2.6,0.9,6
E00127457,98.9,0,0,1.1
E00127458,95.3,3.8,0,0.9
E00127459,98.4,1.6,0,0
E00127460,97.8,0.7,0.7,0.7
E00127461,92.2,0,0,7.8
E00127462,96.1,2.9,0,1
E00127463,97.5,1.7,0.8,0
E00127464,99.1,0.9,0,0
E00127465,95.6,1.8,1.8,0.9
E00127466,96.7,0.8,0,2.5
E00127467,99.2,0,0,0.8
E00127468,96.7,2.5,0,0.8
E00127469,96.1,1.3,0.7,2
E00127470,98.1,0.9,0,0.9
E00127471,96.6,1.7,0.8,0.8
E00127472,88,4,2.4,5.6
E00127473,95.2,2.4,0.8,1.6
E00127474,93.8,2.1,0,4.2
E00127475,91.4,1.7,0.9,6
E00127476,97.3,0.9,0,1.8
E00127477,94.4,0,0.9,4.7
E00127478,99.2,0.8,0,0
E00127479,96.4,1.2,1.2,1.2
E00127480,92.4,0,0,7.6
E00127481,96.3,1.8,0,1.8
E00127482,91.5,3.1,0.8,4.7
E00127483,90.1,3,0.5,6.4
E00127484,93,2.6,0,4.4
E00127485,98.1,0.9,0,0.9
E00127486,98.4,0,0.8,0.8
E00127487,95.8,0.8,2.5,0.8
E00127488,97.4,2.6,0,0
E00127489,96,3,0,1
E00127490,79.4,2.8,1.9,15.9
E00127491,91,2,0,7
E00127492,81.2,6.8,0,12
E00127493,93.8,0,0.9,5.4
E00127494,97.8,0.7,0,1.5
E00127495,94,0.8,3,2.3
E00127496,95,2.5,0,2.5
E00127497,92.1,1.6,2.4,4
E00127499,93.2,2.3,0,4.5
E00127500,96.8,2.1,0,1.1
E00127501,99.2,0,0.8,0
E00127502,100,0,0,0
E00127503,96.6,1.7,0.9,0.9
E00127504,94.2,3.3,0,2.5
E00127505,96.1,3.1,0,0.8
E00127506,99.3,0,0,0.7
E00127507,98.5,1.5,0,0
E00127508,98.4,0,0.8,0.8
E00127509,100,0,0,0
E00127512,98.5,1.5,0,0
E00127513,98.4,0,0.8,0.8
E00127514,97.7,2.3,0,0
E00127560,100,0,0,0
E00127561,96.6,2.1,0.7,0.7
E00127564,97.4,1.5,0.5,0.5
E00127565,100,0,0,0
E00127566,96.3,1.9,0.9,0.9
E00127567,98.3,0,0.8,0.8
E00127568,99.1,0.9,0,0
E00127569,96.9,0.8,1.6,0.8
E00127570,93.5,2.8,1.9,1.9
E00127571,87.6,1.5,2.9,8
E00127572,99.1,0,0,0.9
E00127573,85.4,2.4,2.4,9.8
E00127574,97.7,1.6,0,0.8
E00127575,92.2,1.4,0,6.4
E00127576,96.8,0.8,0,2.4
E00127577,92.7,0.9,0.9,5.5
E00127578,97.9,0,0,2.1
E00127579,97.6,0.8,0.8,0.8
E00127580,94.8,0.9,0.9,3.4
E00127581,93.9,3.5,0.9,1.7
E00127582,98.3,0,0,1.7
E00127583,97.2,0,0.9,1.9
E00127584,95.5,2.7,0,1.8
E00127585,95.1,0,1.9,2.9
E00127586,100,0,0,0
E00127587,99.1,0,0,0.9
E00127588,95.6,2.6,0,1.8
E00127589,99.1,0.9,0,0
E00127590,95.9,0,1,3.1
E00127591,99,0,0,1
E00127592,89.3,6.3,0,4.5
E00127593,93,2.6,1.8,2.6
E00127594,95.8,0,0,4.2
E00127595,95.1,0.8,0,4.1
E00127596,93.6,1.8,0.9,3.6
E00127666,99.2,0.8,0,0
E00127667,97.6,1.6,0.8,0
E00127668,99.2,0.8,0,0
E00127669,96.9,2.3,0,0.8
E00127671,95.6,3,0,1.5
E00127673,98.5,0,0.7,0.7
E00127674,96.8,0,0.8,2.4
E00127675,96.3,0,0,3.7
E00127677,94,3.7,0,2.2
E00127678,93.8,1.4,2.1,2.8
E00127679,93.7,3.6,0.9,1.8
E00127681,82.3,2.7,5.3,9.7
E00127686,96.7,1.1,0,2.2
E00127694,98.4,1.6,0,0
E00127697,98.4,1.6,0,0
E00127702,96.7,1.7,0.8,0.8
E00127703,97.5,0.8,1.6,0
E00127704,100,0,0,0
E00127705,100,0,0,0
E00127706,99,1,0,0
E00127707,100,0,0,0
E00127708,97.3,1.8,0,0.9
E00127709,99.1,0.9,0,0
E00127710,100,0,0,0
E00127711,100,0,0,0
E00127712,98.4,0.8,0.8,0
E00127713,100,0,0,0
E00127714,100,0,0,0
E00127715,100,0,0,0
E00127716,100,0,0,0
E00127717,99.1,0,0.9,0
E00127718,99.2,0,0,0.8
E00127719,100,0,0,0
E00127720,98.5,1.5,0,0
E00127721,97.8,2.2,0,0
E00127722,98.5,0.7,0,0.7
E00127723,96.4,1,0.5,2.1
E00127724,100,0,0,0
E00127725,93.8,4.1,0,2.1
E00127726,98.6,0,1.4,0
E00127745,97.7,0,0,2.3
E00127746,98.2,1.8,0,0
E00127747,94.1,3,0,3
E00127748,93.2,0.8,0.8,5.3
E00127749,92.1,2.4,0.8,4.8
E00127750,95.7,3.3,1.1,0
E00127751,94.9,0.8,1.7,2.5
E00127752,91.5,0.8,2.3,5.4
E00127753,99.1,0,0.9,0
E00127754,99.2,0,0,0.8
E00127755,96.3,0.7,0.7,2.2
E00127756,94.9,0,0,5.1
E00127757,97.5,1.7,0,0.8
E00127758,92,2.4,1.6,4
E00127760,96.5,1.8,0,1.8
E00127761,94.3,0.8,2.5,2.5
E00127762,96.5,1.8,0,1.8
E00127763,95.4,0,0,4.6
E00127764,93,3.1,0.8,3.1
E00127765,96.8,1.6,0,1.6
E00127766,91.9,0.8,2.4,4.9
E00127767,93.2,3,1.5,2.3
E00127768,87.6,5.6,1.2,5.6
E00170164,95.3,0.8,1.6,2.3
E00170166,99.1,0.9,0,0
E00170167,99,0,0,1
E00170172,100,0,0,0
E00185574,96.7,0.8,0.8,1.6
E00185592,92.6,4.1,0.8,2.5
E00185593,89.2,2.1,2.1,6.7
E00185598,93.5,2.2,0,4.3
E00185610,89.9,7.2,0,2.9
E00185613,92,2.1,2.1,3.7
E00185619,91.5,4.3,0,4.3
E00185624,90.3,6,0,3.7
E00185637,96.3,2.2,0,1.5
E00185639,93.8,6.2,0,0
E00185649,100,0,0,0
E00185657,98.9,0,0,1.1
