areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00006057,74.6,3,22.5
E00006058,60.8,3.8,35.4
E00006059,74.9,3.1,22
E00006060,69.2,4.5,26.3
E00006061,76.9,6.1,17
E00006062,69.9,4.1,26.1
E00006063,70.4,2.4,27.2
E00006064,66.9,3.4,29.7
E00006065,64.8,2.4,32.8
E00006066,81.9,3.4,14.7
E00006067,65.8,3.3,30.9
E00006068,84.3,2.2,13.5
E00006069,79.7,3.7,16.6
E00006071,70.7,2.5,26.8
E00006072,73.3,5.2,21.5
E00006073,83.6,1.4,15
E00006074,81.3,4.4,14.3
E00006075,64.2,4.2,31.7
E00006076,78.6,3.6,17.8
E00006077,69.3,3.1,27.7
E00006078,66.4,3.6,30
E00006079,75.2,3,21.8
E00006080,70.5,3.2,26.3
E00006081,64.8,3.1,32.1
E00006082,73.3,3.7,23.1
E00006083,60.9,1.2,37.9
E00006084,72.2,2.7,25.1
E00006085,63.5,1,35.4
E00006086,53.9,2.6,43.5
E00006087,58.1,4.4,37.5
E00006088,59.7,2.5,37.9
E00006089,58.1,6.2,35.7
E00006090,58.5,2,39.6
E00006270,74.4,1.3,24.3
E00006271,73.8,2.1,24.1
E00006272,68.7,5.2,26.2
E00006273,74.9,2.6,22.5
E00006274,73.4,5.7,20.9
E00006275,68.3,2.7,29.1
E00006276,77.5,2.1,20.4
E00006277,76.9,4.2,18.9
E00006278,83.1,3.4,13.5
E00006279,70.5,6.1,23.4
E00006280,72.9,5.4,21.7
E00006281,79.9,0.4,19.8
E00006282,79.7,3.5,16.8
E00006283,78.8,4.7,16.5
E00006284,69.7,3.4,26.9
E00006285,75.1,3.4,21.5
E00006286,72.6,3,24.4
E00006287,73.6,4,22.4
E00006288,64.6,2.6,32.8
E00006289,74.4,2.5,23.1
E00006290,60.8,6.6,32.7
E00006291,75.7,5.4,18.9
E00006292,71.8,6.2,22
E00006295,63.7,2.9,33.4
E00006296,69.8,4,26.2
E00006300,66.5,3.1,30.4
E00006301,78.5,2.9,18.7
E00006304,66.1,4.3,29.7
E00006305,58.3,4.3,37.4
E00006307,69.3,4,26.7
E00006308,58.1,2.3,39.6
E00006309,64.5,4.7,30.7
E00006310,73.4,5.3,21.3
E00006311,74.1,3.5,22.3
E00006312,63,6.6,30.4
E00006317,64.8,7.4,27.8
E00006318,67.6,3.2,29.2
E00006320,71.2,4.9,23.8
E00006322,56,7.3,36.7
E00006324,63.2,3.4,33.4
E00006327,57.3,7.7,35
E00006328,69.8,4,26.3
E00006329,62.9,6,31.1
E00006334,74,4.1,21.9
E00006337,69.2,6.5,24.4
E00006338,76.1,4.2,19.7
E00006340,77.4,3,19.6
E00006341,62.8,5,32.1
E00006342,73.5,3.6,22.9
E00006344,80.5,3.6,15.9
E00006347,69.6,2.7,27.7
E00006351,69.1,3.6,27.3
E00006443,69.5,3.1,27.4
E00006444,71,5.2,23.8
E00006445,73.8,2.4,23.8
E00006446,63.1,6.1,30.8
E00006447,76.2,4.5,19.3
E00006448,71.1,4.3,24.6
E00006449,66.7,3.1,30.2
E00006450,56.1,3.8,40.1
E00006451,76.4,2.8,20.9
E00006452,70,2.6,27.4
E00006453,61.2,3.3,35.5
E00006454,62.4,2.7,34.8
E00006455,73.6,2.7,23.7
E00006456,68.1,4.8,27.1
E00006457,64.6,6.4,29
E00006458,74.5,1.6,23.9
E00006459,56,6,38.1
E00006460,78.7,4.7,16.7
E00006462,71.8,2,26.3
E00006464,61.5,3.6,34.9
E00006465,61,5.6,33.4
E00006466,71.3,2.1,26.6
E00006467,75.5,3.9,20.6
E00006468,73.1,2.6,24.3
E00006469,69.3,1.8,29
E00006470,61.6,6.2,32.2
E00006471,61.2,3,35.8
E00006472,70.4,4.2,25.4
E00006473,77.4,3.8,18.8
E00006522,63.8,3.4,32.8
E00006541,78.1,3.8,18.1
E00006543,70.3,2.1,27.6
E00006545,60.8,6.9,32.4
E00006546,64.3,5.2,30.5
E00006548,68.1,5.2,26.6
E00006549,60.1,6.3,33.6
E00006555,48.8,4.9,46.3
E00006556,68.3,3.6,28.1
E00006557,61.8,3.1,35.1
E00006558,69,3.8,27.2
E00006559,77.8,3.4,18.8
E00006560,61.7,6.3,32
E00006561,65.2,2.2,32.6
E00006562,82.7,3.3,14.1
E00006563,69,2.3,28.7
E00006564,79.8,2.4,17.8
E00006565,77.3,3.4,19.3
E00006566,76.9,3.8,19.2
E00006567,73.1,4.3,22.6
E00006568,69.1,3.9,27
E00006569,71.8,6.1,22.1
E00006570,71.5,3.4,25.1
E00006571,75.9,1.7,22.3
E00006572,68.2,5,26.9
E00006573,62.1,4,33.9
E00006574,61.8,3.6,34.6
E00006575,71.7,7.6,20.7
E00006576,67.8,3,29.1
E00006577,59.6,3.9,36.5
E00006578,69.9,5.3,24.7
E00006579,69.2,1.7,29.1
E00006580,72.9,3.9,23.2
E00006581,64.6,3.5,31.9
E00006582,70.5,5,24.6
E00006583,73.9,4.6,21.5
E00006585,72.9,1.4,25.6
E00006586,70.1,4.4,25.5
E00006587,69.2,3.8,27.1
E00006588,80.8,3.4,15.7
E00006589,55.6,4.2,40.3
E00006590,76.7,5.2,18.1
E00006591,69.8,4,26.1
