geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00162389,91.9,7.4,0.7
E00162390,86.3,10.6,3.1
E00162391,84,12.7,3.3
E00162392,83.1,12.6,4.3
E00162393,82.3,13.7,4
E00162394,86.1,10.7,3.3
E00162395,82.2,11,6.7
E00162403,80.4,16.5,3
E00162404,82.3,14.9,2.8
E00162407,83.6,13.2,3.2
E00162408,85,11.1,3.9
E00162409,86.4,10.4,3.1
E00162410,85.8,10.2,4
E00162411,86.5,10.9,2.6
E00162412,69.3,19.5,11.2
E00162413,84.9,13,2.1
E00162414,81.8,12.6,5.7
E00162415,85,11.4,3.6
E00162416,80.3,14.7,4.9
E00162417,78.6,16.7,4.7
E00162418,84.1,12.3,3.6
E00162419,82.4,12.7,4.9
E00162427,89.4,9.5,1.1
E00162428,85.5,11.9,2.5
E00162430,81.8,12.5,5.7
E00162431,82.4,12.4,5.2
E00162432,83.5,11.5,5
E00162439,83.3,12.6,4.2
E00162440,79.4,17.7,2.8
E00162441,87.1,12.5,0.4
E00162442,87.3,10.2,2.5
E00162443,78.3,17,4.7
E00162444,64.6,24.4,11.1
E00162445,77.4,17.4,5.2
E00162446,71.2,17.8,11
E00162447,74.2,19.4,6.4
E00162448,81.6,13.9,4.5
E00162449,77,18.5,4.4
E00162450,78.9,14.1,7
E00162451,81.2,13.4,5.4
E00162452,79.2,15,5.8
E00162453,74.9,19.2,5.8
E00162454,77.7,17.2,5
E00162455,72.9,20.3,6.8
E00162456,80.5,14.4,5.1
E00162457,70,19.8,10.1
E00162458,72.4,20.9,6.7
E00162459,77.3,17,5.7
E00162460,84,11,5
E00162461,80.4,15.1,4.5
E00162462,71.8,17.3,10.8
E00162463,74.2,17.7,8.1
E00162464,63.7,26.1,10.2
E00162465,73.5,17.5,9
E00162466,76.2,20,3.8
E00162467,71.7,20.2,8.1
E00162468,82.6,13.3,4.1
E00162469,72,19.3,8.6
E00162470,74.9,16.3,8.7
E00162471,84.5,11.1,4.4
E00162472,77.5,16.5,6
E00162473,77.6,17.3,5.1
E00162474,79.4,15.4,5.1
E00162475,77.8,16.6,5.6
E00162476,83.6,12.5,3.8
E00162477,81.2,13.6,5.2
E00162478,81.4,11.8,6.8
E00162479,80.1,15.8,4.1
E00162480,78,17.2,4.8
E00162481,85.3,8.8,5.9
E00162482,86.1,12.1,1.8
E00162483,86.6,10.4,3
E00162484,84.6,10,5.4
E00162486,80.6,12.9,6.5
E00162487,74.9,16.6,8.5
E00162527,80.9,13.9,5.2
E00162529,75.5,17.2,7.3
E00162530,83.8,12.3,3.8
E00162531,84.8,9.9,5.4
E00162532,84.2,13.1,2.7
E00162533,82,14.1,3.9
E00162534,79.5,14.6,5.9
E00162535,68.4,20.4,11.3
E00162541,78.6,16.8,4.6
E00162542,83.8,11.3,4.9
E00162543,79.9,14.3,5.8
E00162544,86.1,13.1,0.7
E00162545,82,11.7,6.3
E00162546,81.5,15.4,3.1
E00162547,84.4,10.7,4.9
E00162548,76.8,16.7,6.5
E00162549,88.3,8.9,2.8
E00162550,66.9,24.2,8.8
E00162551,86.5,9.2,4.2
E00162552,85,10.8,4.1
E00162553,82,13.8,4.2
E00162554,87.6,11.9,0.5
E00162557,89.4,10,0.6
E00162558,87.7,7.6,4.7
E00162559,84.2,12.9,2.9
E00162560,79,17.2,3.8
E00162561,81.1,13.8,5.1
E00162562,76.5,16.1,7.4
E00162563,78.6,15.6,5.8
E00162575,83.9,14,2.2
E00162578,77.7,14,8.3
E00162579,83.5,13.6,2.9
E00162580,90,7.9,2.1
E00162582,79.2,15.6,5.2
E00162583,87.1,10.9,2
E00162584,91.4,6,2.6
E00162585,82,13.9,4.1
E00162586,83.3,12.8,3.8
E00162614,82.9,13.9,3.2
E00162615,86.2,10.4,3.5
E00162616,85.4,12.1,2.5
E00162617,95.3,3.3,1.4
E00162618,70.4,21.6,7.9
E00162619,77.7,16.1,6.3
E00162620,77.8,17.4,4.8
E00162621,91.1,7.3,1.6
E00162622,87.7,9.8,2.5
E00162623,83.1,12.5,4.3
E00162624,85.8,11.9,2.3
E00162625,70.7,18.8,10.5
E00162626,85.5,11.9,2.6
E00162627,82.3,14.1,3.6
E00162628,88,8.4,3.6
E00162735,85,11.8,3.2
E00163071,82.6,13.9,3.5
E00163091,82.5,10.2,7.2
E00163130,78.5,15.2,6.3
E00163133,82.7,12.5,4.8
E00163135,84.4,10.5,5.1
E00163142,83.3,10.6,6.1
E00163177,83.9,12.7,3.4
E00163179,94.2,3.9,1.9
E00163180,90,7.8,2.3
E00163181,83.5,13.3,3.2
E00163183,78,13.5,8.5
E00163184,73.6,20.9,5.4
E00163185,94.1,4.3,1.6
E00163187,88.3,10.3,1.4
E00163188,87.8,9,3.2
E00163190,80.5,14,5.5
E00163191,79.3,15.1,5.5
E00163192,80.3,14.8,4.9
E00163193,80.2,15.3,4.5
E00163194,82.2,12.1,5.7
E00163195,83.2,12.7,4.1
E00163196,77.7,16,6.3
E00163353,83.1,12.3,4.6
E00163354,80.7,14.1,5.2
E00163355,73.9,17.3,8.8
E00163356,86.9,10.5,2.6
E00163357,81.4,11.8,6.8
E00163358,87.8,9.7,2.5
E00163359,84.7,10.3,5
E00163363,79.4,15.5,5.2
E00163502,81.1,15.9,3
E00163503,74.3,15.5,10.2
E00163504,87.7,9.4,2.9
E00163597,85.3,11.3,3.4
E00163601,77.3,16.7,6
E00163602,85.8,11.2,3
E00163603,82.7,11.6,5.8
E00163642,88.1,10.1,1.8
E00166342,87.8,11.1,1.1
E00166343,90,8.5,1.5
E00166348,82.7,12.7,4.7
E00166357,89.4,9.1,1.5
E00166359,89.8,7.3,3
E00166360,82.3,13.4,4.2
E00166362,79.8,16.8,3.4
E00166363,86.6,10.6,2.8
E00166364,82.9,13,4.1
E00166365,87.2,11.4,1.4
E00166371,89.6,7.9,2.5
E00166372,83.5,12.4,4.1
E00166373,79,16.5,4.5
E00166392,91.7,6.3,2
E00166396,81.6,10.9,7.5
E00166419,96.3,3,0.7
E00166420,94.2,5.4,0.4
E00166421,95,4.5,0.5
E00166460,86.1,11.7,2.2
E00166463,86.7,9.3,4
E00184156,82.8,11.8,5.4
E00184169,92.7,7.3,0
E00184174,85.7,10.8,3.5
E00184184,83.4,14,2.6
E00184185,86.3,10.9,2.9
E00184186,70.5,15.8,13.7
E00184190,84.7,12.1,3.2
E00184204,85.2,11.6,3.2
E00184211,89.6,8.2,2.2
E00184216,97.9,1.4,0.7
E00184258,86.3,8.5,5.1
E00184261,96.4,2.5,1.2
E00184269,89.3,9.2,1.5
E00184295,83.3,15,1.7
E00184306,73,14.1,13
E00184319,97,3,0
E00184321,88.7,8.9,2.4
E00184331,97.5,2.3,0.2
E00184333,88.3,10,1.7
