areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02003524,84.8,15.2,0
E02003525,65.1,34.9,0
E02003526,81.2,17.4,1.4
E02003527,80.7,19.1,0.2
E02003529,81.1,18.9,0
E02003530,62.2,37.8,0
E02003531,90.1,9.5,0.4
E02003532,68.9,31.1,0
E02003533,80.7,19.3,0
E02003534,80.9,19.1,0.1
E02003535,84.3,15.7,0
E02003536,30.8,69.2,0
E02003537,81.2,18.8,0
E02003538,77.1,22.8,0.1
E02003540,77.9,22,0.1
E02003541,25.7,74.2,0.1
E02003542,85.2,14.7,0
E02003543,66.5,33.5,0
E02003544,81,19,0
E02003545,24.4,75.6,0
E02003546,64.1,34.1,1.9
E02003547,25,75,0
E02003548,53.3,46.7,0
E02003549,71.6,28.3,0
E02003551,62.8,37.2,0
E02003553,79,21,0
E02003556,79.2,20.8,0
E02003557,53.3,46.6,0.1
E02003561,48.3,51.4,0.3
E02003562,54.4,45.4,0.2
E02003564,66.7,33.3,0
E02003565,50.8,49.1,0.1
E02003566,71.8,28.2,0
E02003570,37.3,62.5,0.3
E02003572,84.3,15.7,0
E02003573,65.8,34.1,0.1
E02003574,80.7,19.2,0.1
E02003575,52.8,47.2,0
E02003576,68,31.9,0.2
E02003578,80.7,18.8,0.5
E02003579,60.2,39.8,0
E02003580,50.6,49.4,0
E02003581,75.1,24.8,0.1
E02003582,95.5,3.8,0.7
E02003583,79.3,16.6,4.1
E02004697,93.2,6.6,0.2
E02004698,62.1,37.8,0.1
E02004699,81.2,18.8,0.1
E02004700,79.1,20.8,0.1
E02004702,86.8,13.1,0.2
E02004703,94.7,5,0.3
E02004704,90.4,6.3,3.3
E02004705,82,17.7,0.3
E02004706,86.6,12.8,0.6
E02004707,89.2,10.6,0.2
E02004708,70.1,27.2,2.7
E02004709,91.4,8.3,0.3
E02004710,91.3,7.7,1
E02004712,88,11.9,0.1
E02004713,92,8,0
E02004714,80.3,19.6,0
E02004715,74.1,25.8,0.1
E02004716,88.5,11.5,0.1
E02004717,76,23.9,0.1
E02004718,63.8,36.2,0.1
E02004719,91.3,8,0.8
E02004720,84,14.2,1.9
E02004721,89.8,10.1,0.1
E02004722,78.7,15.3,6
E02004723,90.7,9.2,0.1
E02004724,87.8,11.8,0.4
E02004725,75.3,24.4,0.3
E02004726,83.1,16,0.9
E02004727,93.4,6.6,0
E02004728,81.6,18.4,0.1
E02004729,79.6,20.3,0.1
E02004730,93.7,6.3,0
E02004731,87,12,1
E02004732,86.1,10.6,3.3
E02004733,88.8,11,0.3
E02004734,78.2,21.7,0
E02004735,93.2,6.8,0
E02004736,93.5,5.6,0.9
E02004737,66.1,33.9,0
E02004738,86.5,13.4,0.1
E02004739,93.1,6.9,0
E02004740,93,6.9,0.1
E02004741,90.7,9.2,0
E02004742,83.1,16.9,0
E02004743,93.8,6.1,0.1
E02004744,64.8,35.1,0.1
E02004745,73.4,26.5,0
E02004746,78,22,0
E02004747,84.4,15.5,0.1
E02004748,42.6,56.6,0.8
E02004749,83,13.5,3.5
E02004750,85.9,14,0.1
E02004764,85.8,14.2,0
E02004765,90,10,0
E02004766,70.9,29.1,0
E02004767,73.5,26.5,0
E02004768,85.6,14.3,0.1
E02004769,78.6,21.4,0
E02004770,73.5,26.5,0.1
E02004771,76.3,23.7,0
E02004772,82.6,17.3,0.1
E02004774,86.6,13.2,0.1
E02004775,77.8,22.2,0
E02004776,89.3,10.1,0.6
E02004777,66.5,33.4,0
E02004778,74.4,20.3,5.3
E02004789,87,12.8,0.2
E02004791,93.1,6.9,0
E02004792,89.7,5.9,4.3
E02004827,98,1.9,0.1
E02004829,93.2,5.7,1.1
E02004830,87.5,12,0.5
E02004831,90.5,8.1,1.4
E02004832,88.1,10.6,1.3
E02004833,80.5,19.4,0.1
E02004834,62.8,37.1,0.1
E02004835,52.1,47.7,0.2
E02004836,73.3,26.6,0.1
E02004837,92.7,6.3,1
E02004838,85.8,8.8,5.4
E02004839,95,4,1
E02004840,86.7,12.9,0.3
E02004841,81.6,16.5,1.8
E02004842,85,12.2,2.8
E02006454,77.2,22.7,0.1
E02006455,73.4,26.6,0
E02006559,87.3,12.7,0.1
E02006560,88,8.3,3.7
E02006561,91.3,8.6,0.1
E02006563,93.1,6.9,0
E02006564,76.4,23.5,0.1
E02006566,88.9,11.1,0.1
E02006567,91.9,7.1,1
E02006568,64.3,35.5,0.2
E02006569,88.5,7.4,4.2
E02006570,59.7,40.2,0.1
E02006571,87.4,12.5,0.1
E02006572,80.9,14.5,4.6
E02006573,88,10.5,1.5
E02006821,88.2,11.7,0
E02006822,91,9,0
E02006829,90.3,9.6,0
E02006830,72.8,27.2,0
E02006831,90.6,9.4,0
E02006838,87.3,11.5,1.2
E02006839,81.3,18.6,0.1
E02006975,13.2,86.8,0
E02006976,22.3,77.7,0
E02007074,14.2,85.8,0
E02007075,7.4,92,0.7
