areacd,country_of_birth_3a-001,country_of_birth_3a-002
E02003524,91.8,8.2
E02003525,85.1,14.9
E02003526,90.9,9.1
E02003527,89.1,10.9
E02003529,90.1,9.9
E02003530,87.1,12.9
E02003531,90.8,9.2
E02003532,83.2,16.8
E02003533,84.8,15.2
E02003534,85.3,14.7
E02003535,85.1,14.9
E02003536,79.3,20.7
E02003537,90.7,9.3
E02003538,75.6,24.4
E02003540,86.5,13.5
E02003541,74,26
E02003542,81.1,18.9
E02003543,76.5,23.5
E02003544,85.2,14.8
E02003545,75.5,24.5
E02003546,83.7,16.3
E02003547,74.9,25.1
E02003548,78.5,21.5
E02003549,71.4,28.6
E02003551,75.7,24.3
E02003553,66.1,33.9
E02003556,87.4,12.6
E02003557,72.8,27.2
E02003561,67.4,32.6
E02003562,80.9,19.1
E02003564,85.3,14.7
E02003565,62.9,37.1
E02003566,86,14
E02003570,49.8,50.2
E02003572,86.4,13.6
E02003573,88.3,11.7
E02003574,90.1,9.9
E02003575,88.9,11.1
E02003576,86.8,13.2
E02003578,89.5,10.5
E02003579,83.2,16.8
E02003580,85.7,14.3
E02003581,90.7,9.3
E02003582,94,6
E02003583,94.9,5.1
E02004697,90.3,9.7
E02004698,88.7,11.3
E02004699,91,9
E02004700,84.4,15.6
E02004702,89,11
E02004703,91.9,8.1
E02004704,89.7,10.3
E02004705,88.5,11.5
E02004706,90.2,9.8
E02004707,90.5,9.5
E02004708,89.3,10.7
E02004709,94,6
E02004710,94.4,5.6
E02004712,88.1,11.9
E02004713,90,10
E02004714,88.8,11.2
E02004715,89.5,10.5
E02004716,94,6
E02004717,86.2,13.8
E02004718,85,15
E02004719,94.3,5.7
E02004720,91,9
E02004721,91.1,8.9
E02004722,94.3,5.7
E02004723,94,6
E02004724,90.7,9.3
E02004725,93.5,6.5
E02004726,92,8
E02004727,92.6,7.4
E02004728,91.9,8.1
E02004729,93.5,6.5
E02004730,93.1,6.9
E02004731,92.8,7.2
E02004732,93.7,6.3
E02004733,93.7,6.3
E02004734,92.3,7.7
E02004735,93.3,6.7
E02004736,94.9,5.1
E02004737,91.7,8.3
E02004738,94.8,5.2
E02004739,92.9,7.1
E02004740,94.5,5.5
E02004741,94.1,5.9
E02004742,92.8,7.2
E02004743,95.2,4.8
E02004744,89.5,10.5
E02004745,92.9,7.1
E02004746,93.7,6.3
E02004747,92.7,7.3
E02004748,90.8,9.2
E02004749,93.9,6.1
E02004750,92.8,7.2
E02004764,94.2,5.8
E02004765,93.9,6.1
E02004766,92.8,7.2
E02004767,94.8,5.2
E02004768,90.1,9.9
E02004769,95.5,4.5
E02004770,95.3,4.7
E02004771,94.1,5.9
E02004772,94,6
E02004774,92.7,7.3
E02004775,91.6,8.4
E02004776,94.2,5.8
E02004777,92.7,7.3
E02004778,93.8,6.2
E02004789,94.1,5.9
E02004791,96.4,3.6
E02004792,94.8,5.2
E02004827,85.9,14.1
E02004829,90,10
E02004830,89.2,10.8
E02004831,87.3,12.7
E02004832,92.3,7.7
E02004833,85.3,14.7
E02004834,82.8,17.2
E02004835,80.5,19.5
E02004836,88,12
E02004837,85.6,14.4
E02004838,91.3,8.7
E02004839,93.7,6.3
E02004840,94.7,5.3
E02004841,91.2,8.8
E02004842,93.3,6.7
E02006454,86.2,13.8
E02006455,85.2,14.8
E02006559,91.8,8.2
E02006560,93,7
E02006561,90.2,9.8
E02006563,90,10
E02006564,90.2,9.8
E02006566,91.7,8.3
E02006567,94.1,5.9
E02006568,86.3,13.7
E02006569,89.1,10.9
E02006570,83.5,16.5
E02006571,90.4,9.6
E02006572,87.7,12.3
E02006573,93.2,6.8
E02006821,93.7,6.3
E02006822,93.1,6.9
E02006829,93.3,6.7
E02006830,93.7,6.3
E02006831,94.7,5.3
E02006838,90.3,9.7
E02006839,85.9,14.1
E02006975,72,28
E02006976,76,24
E02007074,57.1,42.9
E02007075,59.8,40.2
