areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02003524,21.3,28.9,37.9,12
E02003525,19.5,21.8,39.4,19.3
E02003526,51.5,32.7,6,9.9
E02003527,30.9,32.6,15.6,20.9
E02003529,35.2,41.7,8.5,14.6
E02003530,25.8,30.6,23.1,20.6
E02003531,40.8,37.6,3.5,18.2
E02003532,27.2,34.8,5.7,32.3
E02003533,23.3,29.6,15.8,31.4
E02003534,29.4,37.4,3.4,29.9
E02003535,22.3,35.7,6.3,35.8
E02003536,9.7,11.1,64.1,15.1
E02003537,33.4,38.3,12.9,15.5
E02003538,18,27.7,14.1,40.1
E02003540,33.2,34.9,12.5,19.5
E02003541,11.8,9.5,45.8,33
E02003542,24.4,30.1,5.6,39.9
E02003543,18.8,22.3,8.1,50.8
E02003544,24.6,34.7,7.4,33.3
E02003545,18.5,18.5,14.2,48.8
E02003546,33,26.3,6.7,34
E02003547,28.7,16.7,8.5,46.1
E02003548,26.3,28,3.2,42.5
E02003549,32.7,31.5,9.9,25.8
E02003551,20.9,21.8,38.5,18.8
E02003553,15.7,17.6,23,43.7
E02003556,36.8,36,8.8,18.5
E02003557,29.4,20.4,7.3,42.8
E02003561,17.4,17,18.2,47.4
E02003562,26.5,32.3,9,32.3
E02003564,30.3,32.1,20.8,16.7
E02003565,11.1,14.6,13.1,61.2
E02003566,28.4,32.2,27.3,12.1
E02003570,9,14,24.8,52.2
E02003572,34.7,39.2,8.2,17.9
E02003573,25.2,24.2,41.5,9
E02003574,35.4,35.6,11.6,17.4
E02003575,17.1,20.6,49.9,12.3
E02003576,21.1,33.6,21.2,24.1
E02003578,32.2,37.8,11.6,18.4
E02003579,23.1,34.6,14.1,28.2
E02003580,16.5,20.1,50.2,13.2
E02003581,32.4,27.9,8.8,30.8
E02003582,49.5,30.3,5.2,15.1
E02003583,39.9,26,15.8,18.3
E02004697,40.3,35.9,7.6,16.2
E02004698,23.8,23.8,36.2,16.2
E02004699,44.2,32.9,9.3,13.7
E02004700,17.2,43.5,22.8,16.5
E02004702,33.6,39.1,14.7,12.6
E02004703,44.6,37.4,7.3,10.7
E02004704,40.7,35.7,10.5,13.1
E02004705,39.1,36.6,12.2,12
E02004706,42.4,33,11.1,13.5
E02004707,45.6,30,9.1,15.4
E02004708,35.1,26.9,19.1,18.9
E02004709,44.2,39,9,7.8
E02004710,42.7,36.8,12,8.4
E02004712,49.4,37.9,1.7,11
