areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02003524,57.5,4.2,38.2
E02003525,58.1,3.9,38
E02003526,54.7,1.8,43.6
E02003527,61.2,3,35.8
E02003529,65.1,2.4,32.5
E02003530,62.4,3.2,34.4
E02003531,64,2.7,33.4
E02003532,64.9,3.4,31.8
E02003533,61,4.2,34.7
E02003534,66.7,3.4,29.9
E02003535,66.7,4.7,28.6
E02003536,45.5,6.1,48.4
E02003537,63.2,2.9,33.9
E02003538,61.3,4.8,33.8
E02003540,58.8,3,38.2
E02003541,39.6,7.4,53
E02003542,61.1,4.8,34.1
E02003543,53.5,5.9,40.6
E02003544,68,3.7,28.2
E02003545,58.3,4.4,37.3
E02003546,60.7,3.4,36
E02003547,52.6,4.7,42.6
E02003548,61.5,4.1,34.4
E02003549,44.4,4,51.6
E02003551,43.6,4.8,51.6
E02003553,46.3,4.9,48.9
E02003556,63.1,3,33.8
E02003557,48.2,3.4,48.5
E02003561,48.8,4.7,46.5
E02003562,66.4,3.1,30.6
E02003564,58.4,3.3,38.3
E02003565,53.2,5.2,41.5
E02003566,57.6,3.2,39.2
E02003570,52.1,7,40.9
E02003572,61.9,2.9,35.2
E02003573,54.6,4.7,40.7
E02003574,60.1,3,36.9
E02003575,55.8,4.8,39.4
E02003576,64.2,3.5,32.3
E02003578,63.7,2.8,33.5
E02003579,66.5,3,30.5
E02003580,53.8,5.4,40.8
E02003581,58.1,3.2,38.6
E02003582,53.9,2.6,43.5
E02003583,48.5,2.6,48.9
E02004697,57.9,2.1,40
E02004698,59.3,3.8,36.9
E02004699,59.4,2.1,38.5
E02004700,72.3,2.7,25
E02004702,66.4,2.7,30.8
E02004703,58.4,1.9,39.7
E02004704,62.8,2.2,35
E02004705,59.3,2.3,38.4
E02004706,56.4,2,41.6
E02004707,55.9,2.1,42
E02004708,59.2,2.9,38
E02004709,60.7,2.1,37.2
E02004710,58.6,2.3,39.2
E02004712,55.2,2.1,42.7
E02004713,58.9,2.1,39
E02004714,58.7,2.1,39.1
E02004715,63.4,2.9,33.7
E02004716,63.1,2.4,34.6
E02004717,65.7,3.3,31
E02004718,67.9,3.1,29
E02004719,64.9,2.1,33
E02004720,60.6,2,37.4
E02004721,75.4,2.1,22.4
E02004722,58.2,1.9,39.9
E02004723,60.8,2.2,36.9
E02004724,66.3,2.9,30.8
E02004725,56.4,2.9,40.7
E02004726,60.8,2.6,36.6
E02004727,67.5,2.4,30.2
E02004728,61,2.6,36.3
E02004729,58.1,3,38.9
E02004730,55.7,1.8,42.5
E02004731,59,2.2,38.7
E02004732,59.3,2,38.7
E02004733,60.2,2,37.8
E02004734,59.4,2.3,38.3
E02004735,54.7,1.8,43.5
E02004736,56.7,1.8,41.6
E02004737,60.8,2.8,36.4
E02004738,56.8,2.6,40.5
E02004739,50.8,1.5,47.7
E02004740,50.9,1.5,47.6
E02004741,55.2,2.8,42
E02004742,54.9,2.7,42.4
E02004743,62.3,2.7,35.1
E02004744,64.8,4.4,30.8
E02004745,61,3.7,35.4
E02004746,53.3,2.2,44.5
E02004747,58.1,3,38.9
E02004748,54.9,4.5,40.5
E02004749,51.4,1.9,46.8
E02004750,57.6,2.8,39.6
E02004764,52.1,2.4,45.5
E02004765,60.4,2.1,37.5
E02004766,56.3,2.8,40.9
E02004767,57.7,4,38.3
E02004768,60.4,2.9,36.8
E02004769,56.9,4.4,38.7
E02004770,57.4,4.5,38.2
E02004771,56.4,4.4,39.2
E02004772,59.2,2.4,38.4
E02004774,50.2,2,47.8
E02004775,57.3,2.8,39.8
E02004776,46.5,2.2,51.3
E02004777,44,2.6,53.5
E02004778,44.4,2.8,52.8
E02004789,54.7,2.2,43.1
E02004791,56.1,3.3,40.6
E02004792,52.1,1.9,46
E02004827,67.8,1.7,30.5
E02004829,62.9,1.6,35.5
E02004830,61.7,2.1,36.2
E02004831,57.8,2,40.2
E02004832,54.7,2.1,43.2
E02004833,52.8,3.8,43.4
E02004834,56.1,3.9,40
E02004835,56,3.5,40.5
E02004836,44.7,6.1,49.1
E02004837,59,2.1,38.9
E02004838,60.3,1.8,37.8
E02004839,57.3,1.8,40.9
E02004840,58.1,2.1,39.8
E02004841,64.5,2.2,33.3
E02004842,61.1,1.8,37
E02006454,58,3,39
E02006455,60.2,2.3,37.5
E02006559,40.5,1.8,57.7
E02006560,48.9,2.2,48.9
E02006561,58.1,2.5,39.4
E02006563,55.3,2.3,42.4
E02006564,54.2,2,43.8
E02006566,50.5,2.1,47.3
E02006567,56.8,2,41.2
E02006568,54,3.8,42.1
E02006569,56.2,2.2,41.6
E02006570,53,3.4,43.5
E02006571,55,2.5,42.5
E02006572,59.9,3.4,36.7
E02006573,49.4,2.1,48.5
E02006821,63.6,2.2,34.2
E02006822,58,2.4,39.6
E02006829,56.1,1.6,42.2
E02006830,57.8,3.6,38.6
E02006831,55.4,2.1,42.5
E02006838,53,2.1,44.9
E02006839,56.4,1.7,41.8
E02006975,29.1,10.8,60
E02006976,44.4,5.9,49.7
E02007074,50.3,7.6,42.1
E02007075,74.5,3.6,21.8
