areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02003524,72.7,4.5,22.8
E02003525,68.7,10.5,20.7
E02003526,87,4.1,8.9
E02003527,78.8,6,15.2
E02003529,83.3,5.4,11.3
E02003530,79.6,7.4,12.9
E02003531,85.3,4.6,10.1
E02003532,77,10.4,12.5
E02003533,70.3,11.7,18
E02003534,79,9.1,11.9
E02003535,74.2,9.8,16
E02003536,63.1,13.3,23.6
E02003537,81.6,6,12.4
E02003538,65.7,17.4,17
E02003540,80.1,7.9,12
E02003541,69.9,14.9,15.2
E02003542,77.4,12.5,10.1
E02003543,74.7,15.9,9.4
E02003544,79.1,9.4,11.4
E02003545,75.2,16.8,8.1
E02003546,79.5,10.7,9.8
E02003547,75.7,16.7,7.6
E02003548,77.4,14.3,8.3
E02003549,76.5,17.8,5.6
E02003551,68.1,18,13.9
E02003553,62.8,24.7,12.5
E02003556,78.7,8.9,12.4
E02003557,75.9,18.2,5.9
E02003561,64.1,24.9,11.1
E02003562,76.2,13,10.8
E02003564,73.6,9.9,16.6
E02003565,62.7,28.9,8.4
E02003566,73.8,8.8,17.4
E02003570,56.8,33.8,9.4
E02003572,77.5,8.4,14.1
E02003573,69.2,8.1,22.6
E02003574,79.1,6.8,14.1
E02003575,67.6,8.3,24.2
E02003576,74.2,9.4,16.4
E02003578,77.2,7.6,15.3
E02003579,74.6,12.4,13
E02003580,64.4,11.3,24.3
E02003581,75.9,5.1,18.9
E02003582,82.1,3.1,14.9
E02003583,75.3,2.3,22.4
E02004697,87.4,4.1,8.5
E02004698,73,6.4,20.6
E02004699,83.5,4.5,12
E02004700,76.2,8.6,15.2
E02004702,78.9,5.5,15.6
E02004703,88.2,3.6,8.2
E02004704,84.6,4.6,10.8
E02004705,85.3,5.5,9.2
E02004706,84.3,3.9,11.8
E02004707,88.2,3.7,8.1
E02004708,81,5.3,13.6
E02004709,87,2.4,10.6
E02004710,87.7,2,10.3
E02004712,89,4.8,6.2
E02004713,85.7,4,10.3
E02004714,85.8,5.3,8.9
E02004715,79.3,5.6,15.2
E02004716,82.1,2.7,15.1
E02004717,74.7,7.8,17.5
E02004718,75.4,9,15.6
E02004719,87.6,2.5,9.9
E02004720,85,4.4,10.5
E02004721,87.1,4.6,8.3
E02004722,82.7,2.7,14.7
E02004723,88.1,2.7,9.2
E02004724,82,5.2,12.9
E02004725,85,3.8,11.2
E02004726,86.4,4.6,9
E02004727,88.9,3,8.1
E02004728,84.8,3.7,11.5
E02004729,80.3,3,16.7
E02004730,87.9,2.4,9.7
E02004731,89.2,2.9,7.9
E02004732,88.6,2.4,9.1
E02004733,86.6,2.3,11.1
E02004734,84.8,3.7,11.5
E02004735,87,2.4,10.6
E02004736,87.4,1.7,10.9
E02004737,77.5,4.2,18.2
E02004738,85.3,2.2,12.5
E02004739,85.6,2.9,11.5
E02004740,89.1,1.6,9.3
E02004741,78.4,2.4,19.1
E02004742,76.4,3.3,20.3
E02004743,82.5,1.8,15.6
E02004744,69.3,5.9,24.8
E02004745,75.9,4,20.2
E02004746,86,2.2,11.8
E02004747,77.1,2.9,20
E02004748,72.5,4.6,22.9
E02004749,86,1.9,12.1
E02004750,82.8,3,14.2
E02004764,84.5,2,13.5
E02004765,88.1,2.5,9.4
E02004766,78.4,3.4,18.2
E02004767,72.2,2.9,24.9
E02004768,78,4.4,17.6
E02004769,71.7,2.4,25.9
E02004770,70.9,2.7,26.4
E02004771,71.1,3.2,25.7
E02004772,86.5,2.1,11.4
E02004774,85.3,2.9,11.9
E02004775,85.5,3.7,10.8
E02004776,87,2.4,10.5
E02004777,80.7,3.6,15.7
E02004778,82,3.1,14.9
E02004789,81.1,2.5,16.4
E02004791,77.3,1.2,21.5
E02004792,82.3,2.3,15.4
E02004827,88.7,5.4,5.9
E02004829,86.6,4,9.4
E02004830,86.6,4.7,8.7
E02004831,85.8,5.7,8.5
E02004832,86.5,3.6,9.9
E02004833,82.1,8.1,9.8
E02004834,73.8,10,16.2
E02004835,83.4,10.5,6.1
E02004836,78.6,6.2,15.1
E02004837,85.5,6.8,7.7
E02004838,88,3.3,8.7
E02004839,88.5,2.4,9.1
E02004840,84.8,2.4,12.8
E02004841,84.3,4.9,10.8
E02004842,84.8,3.4,11.8
E02006454,85.7,6.2,8.1
E02006455,81.1,8.2,10.7
E02006559,86.1,4.9,9
E02006560,81.8,4.3,13.9
E02006561,85.5,4.4,10.1
E02006563,86.7,3.8,9.5
E02006564,82.5,4.8,12.7
E02006566,84.1,3.9,12
E02006567,86.3,2.2,11.5
E02006568,77.7,8.3,14.1
E02006569,84.7,4.8,10.6
E02006570,78,10.6,11.4
E02006571,84.2,4.9,10.9
E02006572,78,8,13.9
E02006573,85.3,2.8,11.9
E02006821,87.1,3,10
E02006822,83.6,2.8,13.6
E02006829,87.2,3,9.8
E02006830,77,2.8,20.2
E02006831,86.2,1.6,12.2
E02006838,88,3.8,8.2
E02006839,86.3,6.1,7.6
E02006975,69.3,20.3,10.4
E02006976,63.8,13.2,22.9
E02007074,58.3,31.8,9.9
E02007075,63.6,31.3,5.1
