areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02003524,9.2,25.2,65.6
E02003525,8.9,27,64.1
E02003526,5.5,26.9,67.6
E02003527,6.3,27.7,66
E02003529,7.4,24,68.6
E02003530,5.8,29.1,65.1
E02003531,5.1,28.8,66.2
E02003532,9.5,31.6,58.9
E02003533,8.2,31.2,60.5
E02003534,9.9,24.6,65.5
E02003535,9.5,25.6,64.9
E02003536,8.7,36.4,54.9
E02003537,7.2,26.4,66.4
E02003538,11.4,31.1,57.6
E02003540,6.9,32.4,60.7
E02003541,18.7,38.4,42.8
E02003542,17.3,27.3,55.4
E02003543,24.5,30.8,44.7
E02003544,7.4,32.1,60.5
E02003545,10.3,46.1,43.7
E02003546,6.9,35.3,57.8
E02003547,8.4,48.4,43.2
E02003548,11.4,37.4,51.2
E02003549,13,25.5,61.6
E02003551,7,39.8,53.2
E02003553,25.3,22.4,52.3
E02003556,6.1,26.2,67.7
E02003557,19.2,33.2,47.6
E02003561,17.3,39.2,43.5
E02003562,6.1,34,59.9
E02003564,5.7,30.7,63.5
E02003565,25.3,34.5,40.2
E02003566,6.3,30.6,63
E02003570,16.7,36.2,47.1
E02003572,6.3,26.3,67.3
E02003573,5.8,30.9,63.3
E02003574,4.8,32.3,62.9
E02003575,4.6,33.7,61.7
E02003576,7.1,31.5,61.4
E02003578,5.9,30.7,63.4
E02003579,6.2,33.5,60.2
E02003580,5.3,32.6,62.1
E02003581,5.9,38,56.1
E02003582,4.6,28.6,66.8
E02003583,4.4,33.2,62.4
E02004697,4.4,21.6,73.9
E02004698,4.6,37.5,57.8
E02004699,3.8,29.1,67.1
E02004700,5.5,23.3,71.2
E02004702,6,26.8,67.1
E02004703,5.5,18.8,75.7
E02004704,6,23.9,70.1
E02004705,4.5,27.9,67.6
E02004706,4.1,26,69.9
E02004707,3.5,25.9,70.6
E02004708,3.6,34.9,61.5
E02004709,4,21.8,74.2
E02004710,5.2,23.4,71.4
E02004712,4.3,20.2,75.5
E02004713,4.1,23.5,72.4
E02004714,3.9,29.1,67
E02004715,5.7,29.3,65
E02004716,4.4,25,70.6
E02004717,6.9,26.8,66.3
E02004718,8.2,33.2,58.6
E02004719,4.3,21.6,74.1
E02004720,3.9,31.1,65
E02004721,4.4,19.6,76
E02004722,3.7,32.2,64.1
E02004723,4.1,24.1,71.8
E02004724,5.8,24.2,70
E02004725,4.1,34.3,61.6
E02004726,4.2,28,67.7
E02004727,4.8,17.2,78.1
E02004728,5,26.8,68.1
E02004729,5.2,27,67.8
E02004730,4.9,24.6,70.6
E02004731,4.3,27.5,68.2
E02004732,4.4,25.1,70.5
E02004733,3.8,26.7,69.4
E02004734,5,31.2,63.8
E02004735,3.4,25.2,71.4
E02004736,4.6,25.5,69.9
E02004737,5.2,34.3,60.5
E02004738,4.9,28.2,66.9
E02004739,4.5,29.5,66
E02004740,2.9,26.4,70.7
E02004741,6.8,28.1,65.1
E02004742,5.9,33.6,60.5
E02004743,5.6,26.4,68
E02004744,7.2,24.6,68.2
E02004745,5.2,33.5,61.3
E02004746,3.4,29.6,67
E02004747,4.6,33.9,61.6
E02004748,4.5,44.1,51.4
E02004749,3.8,28.4,67.8
E02004750,4.7,32.5,62.8
E02004764,5.4,28.9,65.6
E02004765,4,29.7,66.3
E02004766,7,32.5,60.5
E02004767,5.5,27.9,66.6
E02004768,6,29.7,64.4
E02004769,7.1,24.8,68
E02004770,6.2,30.7,63.1
E02004771,6.9,28.1,65
E02004772,5.4,27.7,66.9
E02004774,3.9,32.4,63.7
E02004775,4.9,32.3,62.8
E02004776,5.5,26.8,67.7
E02004777,4,38.6,57.4
E02004778,4.7,34.1,61.2
E02004789,5.5,26.3,68.2
E02004791,5.8,22.9,71.2
E02004792,5.4,28.2,66.5
E02004827,3.7,18.1,78.2
E02004829,3.6,22.3,74.1
E02004830,4.3,24.6,71.1
E02004831,4.5,23.1,72.4
E02004832,3.5,29.7,66.7
E02004833,7,25.8,67.2
E02004834,9.4,37.1,53.5
E02004835,6.1,42.5,51.5
E02004836,21.2,25.5,53.3
E02004837,6.4,23.6,70
E02004838,4.2,25.1,70.8
E02004839,4.6,21.3,74.1
E02004840,4,29.7,66.3
E02004841,4.8,27.2,67.9
E02004842,4.4,24.4,71.2
E02006454,3.4,27.6,69
E02006455,3.7,29.9,66.5
E02006559,4.2,28.7,67.1
E02006560,4.5,31.9,63.6
E02006561,3.9,24.1,71.9
E02006563,4.8,25.5,69.6
E02006564,3.3,35,61.7
E02006566,4.9,29.7,65.4
E02006567,4.6,27.5,67.9
E02006568,9.1,36.1,54.8
E02006569,4.6,28.6,66.8
E02006570,6.3,44.1,49.6
E02006571,4.9,29.1,66
E02006572,6.7,29.3,64
E02006573,5.1,29.9,65
E02006821,5.5,22.4,72.1
E02006822,6,24.5,69.5
E02006829,3.1,27.9,68.9
E02006830,5.8,30.3,63.8
E02006831,4.4,26.2,69.4
E02006838,4.4,25.8,69.8
E02006839,4.5,27.1,68.4
E02006975,11.8,43.4,44.8
E02006976,9.8,38.5,51.7
E02007074,10.8,39.2,49.9
E02007075,9.2,46.1,44.7
