areacd,sex-001,sex-002
E02003524,51.7,48.3
E02003525,52.9,47.1
E02003526,51.6,48.4
E02003527,50.7,49.3
E02003529,52.2,47.8
E02003530,51.2,48.8
E02003531,50.6,49.4
E02003532,50.5,49.5
E02003533,51.7,48.3
E02003534,50.1,49.9
E02003535,50.3,49.7
E02003536,52.5,47.5
E02003537,50.8,49.2
E02003538,49.5,50.5
E02003540,51.5,48.5
E02003541,50.4,49.6
E02003542,49.1,50.9
E02003543,47.9,52.1
E02003544,51.6,48.4
E02003545,48.2,51.8
E02003546,50.7,49.3
E02003547,47.6,52.4
E02003548,49.4,50.6
E02003549,49.6,50.4
E02003551,47.4,52.6
E02003553,47.3,52.7
E02003556,50.5,49.5
E02003557,49.2,50.8
E02003561,48.9,51.1
E02003562,50.3,49.7
E02003564,52.4,47.6
E02003565,46.3,53.7
E02003566,52,48
E02003570,46.3,53.7
E02003572,50.2,49.8
E02003573,52.4,47.6
E02003574,50,50
E02003575,52,48
E02003576,50.6,49.4
E02003578,50.2,49.8
E02003579,51,49
E02003580,51.3,48.7
E02003581,52,48
E02003582,52.1,47.9
E02003583,51.4,48.6
E02004697,52.1,47.9
E02004698,51.7,48.3
E02004699,51.3,48.7
E02004700,50.4,49.6
E02004702,50.5,49.5
E02004703,51.3,48.7
E02004704,50.5,49.5
E02004705,52.3,47.7
E02004706,51.7,48.3
E02004707,51.5,48.5
E02004708,53,47
E02004709,51.5,48.5
E02004710,51,49
E02004712,51.1,48.9
E02004713,51.2,48.8
E02004714,51.9,48.1
E02004715,50.2,49.8
E02004716,50.6,49.4
E02004717,51.1,48.9
E02004718,50.3,49.7
E02004719,50.7,49.3
E02004720,51.6,48.4
E02004721,51.5,48.5
E02004722,51.8,48.2
E02004723,51.7,48.3
E02004724,50.4,49.6
E02004725,51.5,48.5
E02004726,51.5,48.5
E02004727,50.8,49.2
E02004728,51.6,48.4
E02004729,51.5,48.5
E02004730,51.2,48.8
E02004731,51.1,48.9
E02004732,51.9,48.1
E02004733,51.3,48.7
E02004734,51.4,48.6
E02004735,51.6,48.4
E02004736,50.8,49.2
E02004737,51.1,48.9
E02004738,51.5,48.5
E02004739,49.8,50.2
E02004740,52.1,47.9
E02004741,51.1,48.9
E02004742,51.6,48.4
E02004743,51,49
E02004744,51,49
E02004745,50.2,49.8
E02004746,51.8,48.2
E02004747,50.6,49.4
E02004748,50.9,49.1
E02004749,52.3,47.7
E02004750,50.1,49.9
E02004764,51.3,48.7
E02004765,51.1,48.9
E02004766,52,48
E02004767,52,48
E02004768,52,48
E02004769,52.1,47.9
E02004770,51.5,48.5
E02004771,52.1,47.9
E02004772,51,49
E02004774,52.4,47.6
E02004775,51.9,48.1
E02004776,51.8,48.2
E02004777,52.6,47.4
E02004778,52,48
E02004789,52,48
E02004791,51.2,48.8
E02004792,50.5,49.5
E02004827,51.1,48.9
E02004829,50.7,49.3
E02004830,50.5,49.5
E02004831,50.5,49.5
E02004832,52.6,47.4
E02004833,51.2,48.8
E02004834,53.8,46.2
E02004835,49,51
E02004836,54.7,45.3
E02004837,51.6,48.4
E02004838,51.3,48.7
E02004839,51.1,48.9
E02004840,52.1,47.9
E02004841,50.3,49.7
E02004842,50.6,49.4
E02006454,51.7,48.3
E02006455,51.1,48.9
E02006559,52.3,47.7
E02006560,51.8,48.2
E02006561,50.9,49.1
E02006563,50.5,49.5
E02006564,53.6,46.4
E02006566,52.7,47.3
E02006567,52.2,47.8
E02006568,53.3,46.7
E02006569,47.9,52.1
E02006570,53.9,46.1
E02006571,52.3,47.7
E02006572,52,48
E02006573,52.6,47.4
E02006821,50.9,49.1
E02006822,50.7,49.3
E02006829,51.6,48.4
E02006830,51.5,48.5
E02006831,51.4,48.6
E02006838,51.2,48.8
E02006839,51.7,48.3
E02006975,47.9,52.1
E02006976,51.1,48.9
E02007074,46.9,53.1
E02007075,45.1,54.9
