geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00123460,2.6,1.9,1.6,93.9,0
E00123461,2.2,1.1,0.8,95.8,0
E00123462,3.1,0,2.8,94.1,0
E00123463,2.3,1,3,91.3,2.3
E00123464,8.5,5.3,2.4,82.4,1.4
E00123465,6.6,2.6,3.3,85.3,2.2
E00123466,10.5,3.9,2.4,82,1.1
E00123467,4.9,0,0,95.1,0
E00123468,7.4,0,0,92.6,0
E00123469,4.7,4.4,2,87.9,1
E00123471,0.9,0,3.1,96,0
E00123472,0,0,0,99.5,0.5
E00123473,0,1,0.3,98.6,0
E00123474,1.1,0,2.6,95.1,1.1
E00123475,1.8,0,0.9,97.3,0
E00123476,3.4,0,0.4,96.2,0
E00123477,3.8,0.6,2,93.6,0
E00123478,0,3.1,1.2,94.1,1.6
E00123479,4.4,0.6,3.8,90.5,0.6
E00123480,6.5,0,3.1,90.4,0
E00123482,5.8,2.4,1,90.8,0
E00123483,0,0.3,0,99.7,0
E00123484,6.7,1.1,2.2,89.9,0
E00123485,5.5,0.3,2.2,91.2,0.8
E00123486,1.3,0.6,0,97.8,0.3
E00123487,5.1,1.7,0,91.6,1.7
E00123488,2.4,0,2.4,95.2,0
E00123489,1,2,0,96.3,0.7
E00123550,6.7,5,4.5,81.7,2.2
E00123551,7.4,0,2,89.6,0.9
E00123552,3.9,0,2.7,93.1,0.3
E00123553,3.4,2.7,1,92,1
E00123554,4.8,1.3,2.6,86.5,4.8
E00123555,5.3,4.5,2.1,85.8,2.1
E00123556,3.6,1.4,0.8,93.7,0.5
E00123557,4.6,1.1,4,89.7,0.6
E00123558,11.3,1,1.4,84.3,2
E00123559,13,0,2.4,84.5,0
E00123560,10.7,1,5,81,2.4
E00123562,8.2,0,3.1,87.1,1.6
E00123563,8.4,0.9,2.6,84.9,3.2
E00123564,8.7,1.7,4.7,80.8,4.1
E00123565,1.5,1.5,3.4,93.2,0.3
E00123567,0,3.3,0,96.7,0
E00123568,1,0,0.7,98.3,0
E00123569,0,0,0.4,98.5,1.1
E00123570,1.9,3.2,0.8,94.1,0
E00123571,0,1.2,1.6,97.2,0
E00123572,0.5,0,1,98.5,0
E00123573,2.3,0,1.7,96,0
E00123574,0.3,0,0,99.7,0
E00123575,0,0,0.4,99.6,0
E00123576,4.2,0,0,95.8,0
E00123577,0,1.3,2.6,95.7,0.3
E00123578,0.4,0,1.8,97.1,0.7
E00123579,0.5,1,1.4,97.1,0
E00123580,0,0.3,3.1,96.2,0.3
E00123581,0.6,0,2.2,96.5,0.6
E00123582,0.9,0.6,1.4,96.2,0.9
E00123583,0.6,0,0.3,98.8,0.3
E00123584,1.2,0,1.2,97.7,0
E00123585,0.8,2.4,4.8,91.2,0.8
E00123586,1.8,1.1,3.9,93.2,0
E00123587,0,0,0.9,98.2,0.9
E00123588,1.3,0.6,2.1,96.1,0
E00123610,16.3,1.6,1.3,80.3,0.6
E00123615,6.7,3.2,3.5,86,0.7
E00123616,3.9,0.9,6.1,87.4,1.7
E00123629,5.6,4.6,3.6,83,3.3
E00123631,18,2,4.3,68.5,7.2
E00123636,12.4,3.6,3.3,78.8,1.9
E00123637,5.4,3.1,7.5,82.4,1.7
E00123638,5,0.3,6.2,88.1,0.3
E00123639,6.6,1.9,0.9,90.5,0
E00123640,7.8,0.3,3.8,86.5,1.6
