geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00123460,1.5,22.7,34.1,41.7
E00123461,1.4,30,46.4,22.1
E00123462,0.8,37.4,50.4,11.4
E00123463,0.9,23.9,21.4,53.8
E00123464,1.3,34,42.8,22
E00123465,0,42.4,47.5,10.2
E00123466,0,15.9,49.8,34.4
E00123467,1.7,59.2,32.5,6.7
E00123468,3.4,61.3,30.3,5
E00123469,3.8,20.8,46.9,28.5
E00123471,3.9,76,14,6.2
E00123472,0.9,58.8,27.2,13.2
E00123473,1.8,17,42,39.3
E00123474,1.7,23.1,57,18.2
E00123475,7.2,15.2,36.8,40.8
E00123476,3.1,48,36.2,12.6
E00123477,0,5.5,58.6,35.9
E00123478,0.8,48,37.4,13.8
E00123479,1.7,5.8,60.3,32.2
E00123480,1.7,40.9,35.7,21.7
E00123482,0.8,23.3,21.7,54.2
E00123483,0,10.5,69.2,20.3
E00123484,0.6,9.9,45.7,43.8
E00123485,0,12.7,42.7,44.7
E00123486,8.6,41.7,22.1,27.6
E00123487,0,19,55.6,25.4
E00123488,17.3,28.8,31.4,22.4
E00123489,0,18.1,51.4,30.6
E00123550,34.4,44.2,13.5,7.9
E00123551,17.9,16.7,25.6,39.9
E00123552,3.5,47.5,42.6,6.4
E00123553,22.7,22,18,37.3
E00123554,9.2,40,36.9,13.8
E00123555,43.4,39.3,6.4,11
E00123556,3.2,8.1,36.3,52.4
E00123557,0.8,14.8,41,43.4
E00123558,6.9,22.8,32.3,38.1
E00123559,1.6,27.6,18.1,52.8
E00123560,7.2,30.7,10.8,51.2
E00123562,2.4,44,37.6,16
E00123563,0,10.6,20.5,68.9
E00123564,39,33.3,6.2,21.5
E00123565,8.6,49.3,28.9,13.2
E00123567,48.7,27.7,16,7.6
E00123568,0.8,31.7,54,13.5
E00123569,22.4,32.1,27.6,17.9
E00123570,0,4.6,68,27.4
E00123571,3.2,26.3,50,20.5
E00123572,0.7,7.5,70.1,21.8
E00123573,0,31.7,50.8,17.5
E00123574,0,2.4,76.2,21.4
E00123575,0.8,39.5,51.3,8.4
E00123576,0,17.4,61.7,20.9
E00123577,3.4,38.5,53,5.1
E00123578,6.8,17.1,37.6,38.5
E00123579,12,51.9,19.4,16.7
E00123580,0,16.5,40.2,43.3
E00123581,13.3,32.6,31.9,22.2
E00123582,5.2,3.7,36.6,54.5
E00123583,5.8,8.3,43.3,42.5
E00123584,7.1,20.7,25,47.1
E00123585,10.4,27.1,43.8,18.8
E00123586,6.4,19.1,38.9,35.7
E00123587,2.4,21.4,47.6,28.6
E00123588,6,15.8,40.9,37.2
E00123610,30,39.3,25,5.7
E00123615,54.7,33.5,8.7,3.1
E00123616,46.3,39,10.3,4.4
E00123629,0.8,73.2,20.3,5.7
E00123631,5.3,61.1,28.3,5.3
E00123636,9.5,36.7,45.6,8.3
E00123637,3,76.7,18.8,1.5
E00123638,1.5,22.9,58.8,16.8
E00123639,0,8.8,75.2,16
E00123640,0.9,7,69.6,22.6
E00123641,28.8,49.6,14.4,7.2
E00123642,0.7,42.6,50,6.6
E00123643,16.9,22.5,35.9,24.6
E00123644,4.2,44.2,46.7,5
E00123645,26.5,33.3,17.5,22.8
E00123646,23.8,24.5,23.8,27.9
E00123647,22.7,46,22.2,9.1
E00123648,9.6,15.8,52.6,21.9
E00123649,5.3,40.9,44.7,9.1
E00123650,8.6,31.4,45,15
E00123652,10,32.7,38.2,19.1
E00123653,4.7,44.1,46.5,4.7
E00123654,4.8,27.2,42.2,25.9
E00123655,14.1,38.9,37.6,9.4
E00123656,40.3,18.5,37.8,3.4
E00123657,23.5,28.7,40.4,7.4
E00123658,6.5,21.8,49.2,22.6
E00123659,4.9,56.8,22.8,15.4
E00123660,16.7,54.7,22.7,6
E00123661,30.2,32.6,30.2,7
E00123662,6.8,61.7,23.3,8.3
E00123697,5.5,28.1,35.9,30.5
E00123698,9.6,28.8,51.4,10.3
E00123699,0.8,3.3,79.2,16.7
E00123701,2.4,70.9,15.2,11.5
E00123702,6.1,11.6,76.2,6.1
E00123703,8,9.3,56,26.7
E00123704,0.6,32.2,27,40.2
E00123706,6.7,22.7,63.2,7.4
E00123707,4.5,15.2,62.1,18.2
E00123708,4.4,29.8,49.1,16.7
E00123709,0,17.5,54.8,27.8
E00123710,0,1.6,82.3,16.1
E00123711,2.8,33.3,43.9,20
E00123713,15.7,11.4,57.1,15.7
E00123714,13.5,25.4,49.2,11.9
E00123717,0.8,18.9,75.4,4.9
E00123718,9.8,16,52.8,21.5
E00123719,5.1,17.4,51.4,26.1
E00123729,35.2,28.1,15.3,21.4
E00123732,31.1,36,18.3,14.6
E00123734,34.8,34.8,22,8.5
E00123736,12.3,4.3,63.8,19.6
E00123744,6.7,7.8,36.7,48.9
E00123745,2.3,15.2,64.4,18.2
E00123746,6.5,17.9,28.5,47.2
E00123747,1,10.8,31.3,56.9
E00123748,1.6,19.5,50,28.9
E00123749,2.3,17.8,42.6,37.2
E00123750,6.2,28.5,43.1,22.3
E00123751,2.7,22,36.7,38.7
E00123761,0,24.7,34.8,40.4
E00123762,6.6,19.3,30.7,43.4
E00123763,39.1,12.8,39.8,8.3
E00123764,1.4,30.1,37.1,31.5
E00123765,8.9,23.2,61.6,6.3
E00123766,0.7,4.7,40.7,54
E00123767,21.1,17.9,36.6,24.4
E00123768,3.9,15.6,35.2,45.3
E00123769,8,41.5,14.3,36.2
E00123770,17.7,13.1,55.4,13.8
E00123771,7.4,19.8,42.9,30
E00123772,6.4,47.1,31.2,15.3
E00123773,1.9,19.1,31.8,47.1
E00123774,3.7,9.8,28.7,57.9
E00123777,21.4,35.7,39.3,3.6
E00123780,6.8,65.3,22.1,5.8
E00123782,0.7,36.6,49,13.7
E00123783,15.4,18.1,43.4,23.1
E00123785,15.6,47.6,27.9,8.8
E00123786,5.4,56.8,30.6,7.2
E00123787,13.1,55.2,23.4,8.3
E00123789,63.6,19.7,12.1,4.5
E00123796,8.2,6.4,81.8,3.6
E00123799,22.4,8.4,64.5,4.7
E00123869,0,3.8,77.9,18.3
E00123870,3.1,30,50,16.9
E00123871,15.7,20.1,50.7,13.4
E00123872,2.9,22.6,48.2,26.3
E00123873,1.8,5.3,14.2,78.8
E00123874,0.8,6.1,41.7,51.5
E00123878,1.7,18.4,71.3,8.6
E00123880,10.9,43.7,36.1,9.2
E00123881,8.5,16.4,24.9,50.2
E00123883,7.4,32,55.7,4.9
E00123884,0.8,33.1,58.7,7.4
E00123885,13.9,41.7,38.3,6.1
E00123887,2.7,31,48.7,17.7
E00123888,8.8,57.3,28,5.9
E00123889,2.5,46.3,48.8,2.5
E00123890,26.8,45.5,21.1,6.5
E00123892,6,23.9,49.6,20.5
E00123893,8.4,16.8,66.8,7.9
E00125579,12.3,25.4,34.6,27.6
E00125580,1.7,27.4,25.1,45.8
E00125581,1.4,16.5,35.3,46.8
E00125582,7.6,22.8,39.2,30.4
E00125583,1.4,21.7,55.1,21.7
E00125592,14.8,24.6,36.6,23.9
E00125593,11.1,34.2,46.2,8.5
E00125594,0.8,9.6,71.2,18.4
E00125595,1.5,18,48.9,31.6
E00125596,0.9,0.9,77.8,20.5
E00125597,3.1,24.8,31.8,40.3
E00125598,15.8,19.8,46.5,17.8
E00125599,3.8,27.2,49.4,19.6
E00125600,5.7,15.1,28.3,50.9
E00125601,3.6,24.5,25.2,46.8
E00125602,4.5,11.4,39.4,44.7
E00125616,0.6,27.4,32.9,39
E00125617,14.6,16.7,36.1,32.6
E00125676,0.7,53.3,38,8
E00125677,0,21.4,16.6,62.1
E00125678,0.8,0.8,10.5,87.9
E00125680,0.8,2.4,9.7,87.1
E00125681,1.3,1.3,15.4,82.1
E00125682,0,38.2,37.5,24.3
E00125683,1.4,0,20.7,77.9
E00125779,1.8,19.6,41.1,37.5
E00125780,5.3,21.1,40.4,33.3
E00125781,13,16.7,27.8,42.6
E00125782,8.8,14.2,26.4,50.7
E00125783,12.9,9.8,29.5,47.7
E00125784,10.3,41,27.4,21.4
E00125785,0,7.3,22.6,70.2
E00125786,23.6,13.5,39.3,23.6
E00125797,2.4,17.3,27.6,52.8
E00125864,12.5,28.3,55,4.2
E00125865,0,0,69.2,30.8
E00125866,3.1,24.4,43.8,28.8
E00125936,0,6.1,55.7,38.3
E00125939,27.2,38.1,30.6,4.1
E00125940,27.8,39.1,29.6,3.5
E00125947,21,24.9,43.6,10.5
E00125948,9.8,36.3,48,5.9
E00125949,39.1,42.8,15.2,2.9
E00125954,3.3,19.9,58.3,18.5
E00125955,0,3.7,71.3,25
E00125956,2.4,30.7,54.3,12.6
E00125957,6.3,5.6,54,34.1
E00167610,0,1.8,23.7,74.6
E00167611,0.8,17.1,35.7,46.5
E00167612,5.4,14.4,32.4,47.7
E00167614,8.5,25.5,44.3,21.7
E00167615,0,23.2,37.7,39.1
E00167616,3.8,40.8,33.8,21.7
E00167617,3.1,29.9,32.3,34.6
E00167618,0,32.3,15.3,52.4
E00167627,0.7,7.9,10.6,80.8
E00167628,0,29.8,41.2,29
E00167629,0,18.7,30.5,50.7
E00167630,1.6,13.9,29.5,54.9
E00167637,0.8,0,13.4,85.7
E00170334,37.4,35.5,20.9,6.2
E00170335,0,7.9,38.1,54
E00170336,39,58.7,1.9,0.5
E00170337,23.4,22.5,46.8,7.2
E00170338,55.4,17.4,8.7,18.5
E00170339,3.3,37.4,39,20.3
E00170340,5.3,53.5,23.7,17.5
E00170342,7.1,31.2,29.1,32.6
E00170343,0,16.2,35.4,48.5
E00170344,3.9,29.7,43,23.4
E00170345,4.2,43.1,40.3,12.5
E00170346,13.9,79.2,6.9,0
E00170347,36.9,63.1,0,0
E00170348,29.9,66.1,3.1,0.8
E00170349,29.8,17.5,29.8,22.8
E00170350,11.8,45.3,23,19.9
E00170356,34.8,51.4,9,4.8
E00170359,1,45.6,43.7,9.7
E00170360,22.3,50,23.4,4.3
E00170361,38.9,43.2,15.8,2.1
E00170362,28.4,68.4,2.1,1.1
E00170363,4.7,62.6,28.7,4.1
E00170364,9.4,76.6,14.1,0
E00170366,0,42.5,52.9,4.6
E00170368,26.5,73.5,0,0
E00170369,33.1,55.4,8.3,3.3
E00170370,11.1,27.4,46.2,15.4
E00170376,0,14.5,39.1,46.4
E00186663,19.7,33.8,35.2,11.3
E00186678,27.3,48.2,18.2,6.4
E00186684,1.7,32.2,56.5,9.6
E00186687,1.8,45.5,33,19.6
E00186691,14.6,37.4,30.1,17.9
E00186692,6.8,26.8,44.4,22
E00186696,47.6,49.2,1.6,1.6
E00186698,3,31.7,34.7,30.7
E00186700,51.7,40.4,6.6,1.3
E00186704,24.1,38.9,32.4,4.6
E00186708,10.1,27.4,30.4,32.1
E00186721,89.9,5.8,2.9,1.4
E00186724,0.7,3.6,80.4,15.2
E00186728,0.6,14,31,54.4
E00186732,0.9,31,36.3,31.9
E00186740,9.2,67.1,14.5,9.2
E00186751,9.7,21.4,39.3,29.7
E00186755,8.2,60,16.3,15.5
E00186756,46,24,18,12
E00186763,14.3,27.1,28.6,30.1
E00186767,5.9,25.4,29.8,39
E00186768,31.4,56.4,7.4,4.8
E00186781,33.2,54.8,7,5
E00186789,4.4,17.5,34.2,43.9
E00186790,4.5,16.4,46.3,32.8
E00186793,1.7,5.1,74.6,18.6
E00186798,0.8,7.6,40.3,51.3
E00186807,0,8.9,26.8,64.3
E00186815,54.7,40,3.7,1.6
E00186817,17,51.8,25,6.3
E00186831,34.7,63.9,1.4,0
E00186834,57.5,37.9,2.3,2.3
E00186835,0,29.9,28.9,41.2
