geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
W00003361,69.5,19.3,11.1
W00003362,66.1,20.5,13.4
W00003363,58,22.2,19.8
W00003364,74.3,18.2,7.5
W00003365,78.7,14.6,6.6
W00003366,77.7,13.9,8.4
W00003367,76,15.5,8.6
W00003368,62.6,22.7,14.7
W00003369,67.9,19.2,12.9
W00003370,74.8,19.9,5.2
W00003372,66.9,27.8,5.3
W00003373,80.8,13,6.3
W00003374,74.4,13.8,11.8
W00003375,64.9,21.3,13.8
W00003376,73.8,18.3,7.9
W00003377,79.3,16.4,4.3
W00003378,61.8,23.9,14.4
W00003379,75.6,18.5,5.9
W00003380,70,17.6,12.4
W00003381,62.8,20.9,16.2
W00003382,76.8,18.2,5
W00003383,82.5,13.3,4.2
W00003384,66.4,28,5.6
W00003385,72.2,21.9,5.9
W00003386,66.4,16.8,16.8
W00003387,75.9,13.1,11
W00003388,68.8,19.8,11.5
W00003389,70.8,15.6,13.6
W00003390,75.4,19.9,4.6
W00003391,77.7,14.2,8.1
W00003392,78.3,14,7.7
W00003393,75.2,14.2,10.6
W00003394,82.7,13.3,4
W00003395,83.9,11.9,4.2
W00003396,78.7,15.9,5.5
W00003397,82.9,11.1,5.9
W00003398,74.7,16.4,8.9
W00003414,79.2,14.5,6.4
W00003415,75.9,13.9,10.1
W00003416,74.2,19.1,6.6
W00003418,72.6,14.9,12.5
W00003419,60.5,22.5,17
W00003422,66.1,19.3,14.6
W00003423,79.6,14,6.3
W00003497,81.9,9.9,8.2
W00003498,70,20,10
W00003499,83.5,10.1,6.4
W00003500,77.9,14.5,7.6
W00003501,83,10.3,6.6
W00003502,81.6,11.3,7.1
W00003503,64.4,21.9,13.6
W00003504,77.7,14,8.3
W00003505,60.1,23.7,16.3
W00003506,71.2,17.8,11.1
W00003507,76,15.2,8.8
W00003508,81.4,11.7,6.8
W00003509,60.7,26.6,12.7
W00003510,78.9,14.2,6.9
W00003511,68.9,23.4,7.7
W00003512,75.6,14.4,10
W00003513,71.1,23,5.9
W00003514,70.7,20.5,8.8
W00003515,74.7,16.6,8.7
W00003516,74.5,19.6,5.8
W00003517,85.1,10.6,4.3
W00003518,84.3,10.4,5.2
W00003519,48.1,31.2,20.8
W00003520,73.5,19.8,6.7
W00003521,72,18.6,9.5
W00003522,81.9,10.8,7.3
W00003523,73.5,15,11.5
W00003524,76.8,13.2,9.9
W00003525,78.2,13.4,8.4
W00003526,74.6,12.6,12.9
W00003527,71,18.4,10.7
